Site Name,Pulse Name,Date Used,Window Start,Window End,Earliest Rec,Total Recordings in Window,Total Chirper Calls Present,Ratio Chirper,Total Triller Calls Present,Ratio Triller,Total Pacific Tree Frog Calls Present,Ratio Pacific Tree Frog
2021 Hale Road 2,2021 Hale Road 2 p1,Hatch,2021-05-13,2021-05-24,2021-05-13,864,5,0.0058,0,0.0,87,0.1007
2021 Hay Landfill,2021 Hay Landfill p1,Hatch,2021-04-24,2021-05-05,2021-04-24,273,6,0.022,1,0.0037,0,0.0
2021 Iron Point,2021 Iron Point p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2021 Kern 1,2021 Kern 1 p1,Hatch,2021-06-01,2021-06-12,2021-06-01,864,3,0.0035,3,0.0035,0,0.0
2021 Kern 2,2021 Kern 2 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2021 Kern 3,2021 Kern 3 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2021 Kern 4,2021 Kern 4 p1,Hatch,2021-05-24,2021-06-04,2021-05-24,864,58,0.0671,0,0.0,172,0.1991
2021 Kern 5,2021 Kern 5 p1,Fledge,2021-05-07,2021-05-18,2021-05-07,864,0,0.0,0,0.0,209,0.2419
2021 Kern 5,2021 Kern 5 p2,Hatch,2021-05-23,2021-06-03,2021-05-23,864,12,0.0139,0,0.0,157,0.1817
2021 Kern 6,2021 Kern 6 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2021 Kern 7,2021 Kern 7 p1,Hatch,2021-05-31,2021-06-11,2021-05-31,864,6,0.0069,0,0.0,0,0.0
2021 Markham Ravine,2021 Markham Ravine p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2021 Orchard Creek,2021 Orchard Creek p1,Hatch,2021-04-28,2021-05-09,2021-04-28,864,191,0.2211,0,0.0,0,0.0
2021 Orchard Creek,2021 Orchard Creek p2,Hatch,2021-05-25,2021-06-05,2021-05-25,864,11,0.0127,70,0.081,0,0.0
2021 Panoche Creek Preserve 1W,2021 Panoche Creek Marsh East 1 p1,Hatch,2021-05-02,2021-05-13,2021-05-02,864,120,0.1389,30,0.0347,194,0.2245
2021 Panoche Creek Preserve 2E,2021 Panoche Creek Marsh East 2 p1,Hatch,2021-04-30,2021-05-11,2021-04-30,864,76,0.088,18,0.0208,261,0.3021
2021 Plumas Arboga,2021 Plumas Arboga p1,Hatch,2021-05-27,2021-06-07,2021-05-27,614,39,0.0635,0,0.0,60,0.0977
2021 Rancho Jamul,2021 Rancho Jamul p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2021 Rodeo Grounds 1,2021 Rodeo Grounds p1,Hatch,2021-05-02,2021-05-13,n/a,864,0,0.0,0,0.0,0,0.0
2021 Rush Ranch,2021 Rush Ranch p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2021 SJWA,2021 San Jacinto Wildlife Area - Bridge Street Pond p1,Hatch,2021-06-15,2021-06-26,2021-06-15,864,36,0.0417,56,0.0648,1,0.0012
2021 Sedgwick,2021 Sedgwick Reserve Pond p1,Hatch,2021-04-28,2021-05-09,2021-04-28,289,11,0.0381,1,0.0035,0,0.0
2021 Willey Wetlands 1,2021 Willey Wetlands 1 p1,Hatch,2021-06-20,2021-07-01,2021-06-20,864,190,0.2199,0,0.0,0,0.0
2021 Willey Wetlands 2,2021 Willey Wetlands 2 p1,Hatch,2021-06-12,2021-06-23,2021-06-12,864,135,0.1562,0,0.0,0,0.0
2021 Willey Wetlands 3,2021 Willey Wetlands 3 p1,Fledge,2021-06-13,2021-06-24,2021-06-13,864,111,0.1285,0,0.0,0,0.0
2021 Wind Wolves Preserve,2021 Wind Wolves Preserve p1,Hatch,2021-05-14,2021-05-25,2021-05-14,365,15,0.0411,0,0.0,0,0.0
2022 Baja 1,2022 Baja Ciénega Redonda North p1,Hatch,2022-04-14,2022-04-25,n/a,864,0,0.0,0,0.0,0,0.0
2022 Baja 2,2022 Baja Ciénega Redonda North 2 p1,Hatch,2022-04-15,2022-04-26,2022-04-15,862,0,0.0,0,0.0,0,0.0
2022 Colusa NWR T27.1,2022 Colusa NWR T27-1&2 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2022 Colusa NWR T27.2,2022 Colusa NWR T27-2S p1,Hatch,2022-05-31,2022-06-11,2022-05-31,864,0,0.0,76,0.088,0,0.0
2022 Conaway New Easement Pond West,2022 Conaway New Easement Pond West p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2022 Conaway North,2022 Conaway North p1,Hatch,2022-05-21,2022-06-01,2022-05-21,1728,19,0.011,3,0.0017,296,0.1713
2022 Conaway North A,2022 Conaway North A p1,Hatch,2022-05-22,2022-06-02,2022-05-22,1728,269,0.1557,50,0.0289,70,0.0405
2022 Conaway East,2022 Conaway Ranch Reservoir p1,Hatch,2022-05-23,2022-06-03,2022-05-23,1728,57,0.033,13,0.0075,138,0.0799
2022 Creed Road,2022 Denverton Creek p1,Hatch,2022-04-15,2022-04-26,2022-04-15,864,0,0.0,0,0.0,116,0.1343
2022 Foley Ranch A,2022 Virginia at Ostrom A p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2022 Foley Ranch B,2022 Virginia at Ostrom B p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2022 Hay Landfill,2022 Hay Landfill p1,Hatch,2022-04-12,2022-04-23,2022-04-12,864,0,0.0,0,0.0,0,0.0
2022 Hay Landfill,2022 Hay Landfill p2,Hatch,2022-05-19,2022-05-30,2022-05-19,864,11,0.0127,0,0.0,24,0.0278
2022 Laguna Seca,2022 Laguna Seca p1,Hatch,2022-04-15,2022-04-26,n/a,864,0,0.0,0,0.0,0,0.0
2022 Laguna Seca,2022 Laguna Seca p2,Hatch,2022-05-28,2022-06-08,n/a,864,0,0.0,0,0.0,0,0.0
2022 Los Vaqueros Reservoir,2022 Los Vaqueros Playa p1,Hatch,2022-04-19,2022-04-30,2022-04-19,864,131,0.1516,36,0.0417,94,0.1088
2022 Marsh Creek Reservoir,2022 Marsh Creek Reservoir p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2022 Newberry Springs - Lake Wainani,2022 Newberry Springs - Lake Wainani p1,n/a,pre,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2022 OR1,2022 Oregon State - Warm Springs Dizney Lane p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2022 OR2,2022 Oregon State - Prineville Woodward Rd p1,Hatch,2022-05-16,2022-05-27,n/a,1728,0,0.0,0,0.0,0,0.0
2022 Paicines Ranch - Teal Pond,2022 Paicines Ranch - Teal Pond p1,Hatch,2022-04-22,2022-05-03,2022-04-22,864,248,0.287,52,0.0602,262,0.3032
2022 Paicines Ranch - Teal Pond B,2022 Paicines Ranch - Teal Pond B p1,Hatch,2022-04-22,2022-05-03,2022-04-22,864,182,0.2106,16,0.0185,0,0.0
2022 Panoche Creek Preserve Loc4,2022 Panoche Creek Marsh East 1 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2022 Panoche Creek Preserve Loc5,2022 Panoche Creek Marsh East 2 p1,Hatch,2022-04-20,2022-05-01,2022-04-20,864,139,0.1609,45,0.0521,236,0.2731
2022 Panoche Creek Preserve Loc3,2022 Panoche Creek Preserve Location 3 p1,Hatch,2022-04-20,2022-05-01,2022-04-20,865,124,0.1434,36,0.0416,143,0.1653
2022 Plumas Arboga East,2022 Plumas Arboga 6 East p1,Fledge,2022-05-01,2022-05-12,2022-05-04,1218,0,0.0,0,0.0,0,0.0
2022 Plumas Arboga East,2022 Plumas Arboga 6 East p2,Hatch,2022-05-22,2022-06-02,2022-05-22,1728,0,0.0,0,0.0,0,0.0
2022 Plumas Arboga West,2022 Plumas Arboga 6 West p1,Hatch,2022-05-24,2022-06-04,2022-05-24,1728,0,0.0,0,0.0,0,0.0
2022 Private Site 1 - not real lat lon,2022 Private Site 1 - approximate lat lon p1,Hatch,2022-04-30,2022-05-11,n/a,864,0,0.0,0,0.0,0,0.0
2022 Private Site 2 - not real lat lon,2022 Private Site 2 - approximate lat lon p1,Fledge,2022-04-14,2022-04-25,2022-04-19,458,14,0.0306,2,0.0044,0,0.0
2022 Private Site 3 - not real lat lon,2022 Private Site 3 - approximate lat lon p1,Fledge,2022-04-28,2022-05-09,2022-04-28,864,4,0.0046,0,0.0,0,0.0
2022 Rancho Jamul,2022 Rancho Jamul p1,Hatch,2022-04-14,2022-04-25,2022-04-14,864,0,0.0,0,0.0,0,0.0
2022 SJWA,2022 San Jacinto Wildlife Area - Bridge Street Pond p1,Hatch,2022-05-26,2022-06-06,2022-05-26,864,23,0.0266,47,0.0544,0,0.0
2022 Ohlone - Santa Lucia Preserve,2022 Santa Lucia Preserve - Ohlone Pond p1,Hatch,2022-05-02,2022-05-13,2022-05-02,864,0,0.0,0,0.0,0,0.0
2022 Sedgwick,2022 Sedgwick Reserve Pond p1,Hatch,2022-04-10,2022-04-21,2022-04-10,864,24,0.0278,6,0.0069,169,0.1956
2022 Sedgwick,2022 Sedgwick Reserve Pond p2,Hatch,2022-05-21,2022-06-01,2022-05-21,864,45,0.0521,5,0.0058,67,0.0775
2022 WA Harder Spring,2022 Washington State - Harder Spring p1,Hatch,2022-05-17,2022-05-28,2022-05-17,864,0,0.0,0,0.0,0,0.0
2022 WA Harder Spring,2022 Washington State - Harder Spring p2,Hatch,2022-06-07,2022-06-18,2022-06-07,864,34,0.0394,0,0.0,0,0.0
2022 WA1,2022 Washington State - McCain Wetands p1,n/a,pre,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2022 Wind Wolves Preserve Pleitito Creek,2022 Wind Wolves Preserve - Pleitito Creek p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2022 Wind Wolves Preserve Santiago Wetlands,2022 Wind Wolves Preserve - Santiago Wetlands p1,Hatch,2022-04-20,2022-05-01,2022-04-20,864,0,0.0,0,0.0,0,0.0
2023 Laguna Fry Confluence - 45 Sump,2023 45 Sump p1,Hatch,2023-05-11,2023-05-22,2023-05-11,864,0,0.0,0,0.0,0,0.0
2023 Baja Rancho Cinega,2023 Baja Ciénega Redonda North p1,Fledge,2023-04-20,2023-05-01,2023-04-20,864,0,0.0,0,0.0,0,0.0
2023 Colusa NWR T27.1,2023 Colusa NWR T27-1&2 p1,Hatch,2023-07-16,2023-07-27,2023-07-16,864,10,0.0116,0,0.0,0,0.0
2023 Colusa NWR T27.2,2023 Colusa NWR T27-2S p1,Hatch,2023-06-20,2023-07-01,n/a,864,0,0.0,0,0.0,0,0.0
2023 Conaway Ranch - HQ,2023 Conaway Ranch Headquarters p1,Hatch,2023-06-13,2023-06-24,2023-06-13,864,5,0.0058,0,0.0,0,0.0
2023 Conaway Ranch NE,2023 Conaway Ranch NE p1,Hatch,2023-06-11,2023-06-22,2023-06-11,864,49,0.0567,0,0.0,63,0.0729
2023 Conaway Ranch North 1,2023 Conaway Ranch North 1 p1,Hatch,2023-06-18,2023-06-29,2023-06-18,864,85,0.0984,2,0.0023,106,0.1227
2023 Conaway Ranch North 2,2023 Conaway Ranch North 2 p1,Hatch,2023-06-28,2023-07-09,2023-06-28,864,0,0.0,0,0.0,0,0.0
2023 Delevan T6,2023 Delevan NWR T6 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 Delevan NWR T43.1,2023 Delevan NWR T43-1 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 Delevan NWR T43.2,2023 Delevan NWR T43-2 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 Creed Rd,2023 Denverton Creek p1,Hatch,2023-05-18,2023-05-29,2023-05-18,864,0,0.0,0,0.0,14,0.0162
2023 Hale Road,2023 Hale Road p1,Hatch,2023-06-06,2023-06-17,2023-06-06,864,0,0.0,0,0.0,47,0.0544
2023 Hale Road,2023 Hale Road p2,n/a,post,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 Hale Road Site 2,2023 Hale Road Site 2 p1,Hatch,2023-06-06,2023-06-17,2023-06-06,864,0,0.0,0,0.0,0,0.0
2023 Iron Point,2023 Iron Point p1,n/a,pre,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 Kentucky Lateral,2023 Kentucky Lateral p1,Hatch,2023-04-26,2023-05-07,2023-04-26,864,0,0.0,0,0.0,0,0.0
2023 Kern - Canebreak Ecological Reserve 4,2023 Kern - Canebreak Ecological Reserve 4 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 Kern - HQ2,2023 Kern - Headquarters 2 p1,Hatch,2023-06-08,2023-06-19,2023-06-08,864,2,0.0023,10,0.0116,255,0.2951
2023 Kern - HQ2,2023 Kern - Headquarters 2 p2,Hatch,2023-07-05,2023-07-16,2023-07-05,863,0,0.0,30,0.0348,130,0.1506
2023 Laguna Fry Confluence - Site 1,2023 Laguna Frye Confluence 3 p1,Hatch,2023-05-17,2023-05-28,2023-05-17,864,49,0.0567,24,0.0278,0,0.0
2023 Weagell Property 1,2023 Laguna Frye Confluence 1 p1,Hatch,2023-05-03,2023-05-14,2023-05-03,864,0,0.0,0,0.0,0,0.0
2023 Weagell Property 1,2023 Laguna Frye Confluence 1 p2,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 Weagell Property 1,2023 Laguna Frye Confluence 1 p3,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 Weagell Property 1,2023 Laguna Frye Confluence 1 p4,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 Weagell Property 2,2023 Laguna Frye Confluence 2 p1,Hatch,2023-05-19,2023-05-30,2023-05-20,864,1,0.0012,0,0.0,0,0.0
2023 Weagell Property 2,2023 Laguna Frye Confluence 2 p2,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 Los Vaqueros - Walnut Trail Marsh,2023 Los Vaqueros - Walnut Trail Marsh p1,Hatch,2023-04-26,2023-05-07,2023-04-26,864,148,0.1713,49,0.0567,286,0.331
2023 Los Vaqueros Reservoir,2023 Los Vaqueros Playa p1,Hatch,2023-04-28,2023-05-09,2023-04-28,864,94,0.1088,30,0.0347,252,0.2917
2023 Los Vaqueros Reservoir,2023 Los Vaqueros Playa p2,Hatch,2023-06-15,2023-06-26,2023-06-15,863,33,0.0382,0,0.0,42,0.0487
2023 Markham Ravine,2023 Markham Ravine p1,Hatch,2023-05-31,2023-06-11,2023-05-31,864,134,0.1551,55,0.0637,165,0.191
2023 Merced NWR - Cottonwood,2023 Merced NWR - Cottonwood Trail p1,n/a,pre,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 Merced NWR - Cottonwood,2023 Merced NWR - Cottonwood Trail p2,Hatch,2023-05-24,2023-06-04,2023-05-24,864,163,0.1887,80,0.0926,0,0.0
2023 Merced NWR Deadman Wetland Ditch,2023 Merced NWR - Deadman Wetland Ditch p1,Hatch,2023-05-31,2023-06-11,2023-05-31,864,87,0.1007,15,0.0174,0,0.0
2023 North Regional Pond,2023 North Regional Pond p1,Hatch,2023-05-04,2023-05-15,2023-05-04,861,0,0.0,0,0.0,0,0.0
2023 OR Dizney Rd,2023 Oregon State - Warm Springs Dizney Lane p1,Hatch,2023-05-19,2023-05-30,n/a,864,0,0.0,0,0.0,0,0.0
2023 OR Eureka Rd,2023 Oregon State - Metolius Eureka Lane p1,Hatch,2023-05-19,2023-05-30,n/a,864,0,0.0,0,0.0,0,0.0
2023 OR Prineville North,2023 Oregon State - Prineville Grimes Rd p1,Hatch,2023-05-15,2023-05-26,2023-05-15,862,0,0.0,0,0.0,221,0.2564
2023 OR Prineville North,2023 Oregon State - Prineville Grimes Rd p2,Hatch,2023-06-21,2023-07-02,2023-06-21,864,9,0.0104,0,0.0,180,0.2083
2023 Panoche Creek Preserve - Corrals NW,2023 Panoche Creek Preserve - Corrals North West p1,Fledge,2023-04-27,2023-05-08,2023-04-29,665,7,0.0105,0,0.0,0,0.0
2023 Panoche Creek Preserve - Corrals SE,2023 Panoche Creek Preserve - Corrals Southeast p1,Fledge,2023-04-26,2023-05-07,2023-04-29,594,0,0.0,0,0.0,0,0.0
2023 Peterson Ranch Pond - East,2023 Petersen Ranch Pond - East p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 Peterson Ranch Pond - West,2023 Petersen Ranch Pond - West p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 Plumas Arboga 2,2023 Plumas Arboga 2 p1,Hatch,2023-06-07,2023-06-18,2023-06-07,864,0,0.0,0,0.0,57,0.066
2023 Plumas Arboga 8 - North Regional Pond,2023 Plumas Arboga 8 p1,Hatch,2023-05-06,2023-05-17,2023-05-06,864,0,0.0,0,0.0,303,0.3507
2023 Plumas Arboga 8 - North Regional Pond,2023 Plumas Arboga 8 p2,Hatch,2023-06-15,2023-06-26,2023-06-15,864,3,0.0035,0,0.0,175,0.2025
2023 Rancho Jamul North Pond - fix lat lon,2023 Rancho Jamul - North Pond p1,Hatch,2023-05-16,2023-05-27,2023-05-16,864,6,0.0069,0,0.0,0,0.0
2023 Rancho Jamul Site 1 fix lat lon,2023 Rancho Jamul - Site 1 p1,Hatch,2023-04-25,2023-05-06,2023-04-25,864,0,0.0,10,0.0116,0,0.0
2023 Rancho Jamul Site 1 fix lat lon,2023 Rancho Jamul - Site 1 p2,Hatch,2023-06-18,2023-06-29,2023-06-18,864,0,0.0,13,0.015,0,0.0
2023 Bridge St Pond,2023 San Jacinto Wildlife Area - Bridge St. Pond p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 West of Davis,2023 San Jacinto Wildlife Area West of Davis p1,n/a,pre,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 West of Davis,2023 San Jacinto Wildlife Area West of Davis p2,Hatch,2023-05-22,2023-06-02,2023-05-22,864,0,0.0,70,0.081,0,0.0
2023 San Luis NWR - West Bank Creek,2023 San Luis NWR - Fiddleneck Lake p1,Hatch,2023-06-15,2023-06-26,2023-06-15,864,17,0.0197,11,0.0127,0,0.0
2023 San Luis Bear Creek,2023 San Luis NWR - Tanager Slough p1,Hatch,2023-07-05,2023-07-16,2023-07-05,864,89,0.103,35,0.0405,0,0.0
2023 Sedgwick,2023 Sedgwick Reserve Pond p1,Hatch,2023-04-15,2023-04-26,2023-04-15,864,155,0.1794,16,0.0185,252,0.2917
2023 South Virginia Road 3,2023 South Virginia Road 3 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 Virginia at Ostrom,2023 Virginia at Ostrom p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 WA Harder Spring,2023 Washington State - Harder Spring p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 WA Harder Spring,2023 Washington State - Harder Spring p2,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2023 WA McCain Wetlands,2023 Washington State - McCain Wetlands p1,Hatch,2023-05-11,2023-05-22,2023-05-11,864,1,0.0012,0,0.0,26,0.0301
2023 Wind Wolves Preserve site 1,2023 Wind Wolves Preserve - Los Lobos p1,Hatch,2023-05-05,2023-05-16,2023-05-05,863,29,0.0336,0,0.0,0,0.0
2023 Wind Wolves Preserve Site 2,2023 Wind Wolves Preserve - Santiago Wetlands p1,Hatch,2023-05-01,2023-05-12,2023-05-01,864,0,0.0,0,0.0,0,0.0
2024 Baja Rancho Cinega Redonda 1,2024 Baja Ciénega Redonda North p1,Fledge,2024-04-25,2024-05-06,2024-04-25,864,0,0.0,0,0.0,0,0.0
2024 Baja Rancho Cinega Redonda 1,2024 Baja Ciénega Redonda North p2,Hatch,2024-05-25,2024-06-05,2024-05-25,864,77,0.0891,0,0.0,0,0.0
2024 Baja Rancho Cinega Redonda 2,2024 Baja Ciénega Redonda South p1,Hatch,2024-04-29,2024-05-10,n/a,864,0,0.0,0,0.0,0,0.0
2024 Baja Rancho Cinega Redonda 2,2024 Baja Ciénega Redonda South p2,Hatch,2024-06-04,2024-06-15,n/a,864,0,0.0,0,0.0,0,0.0
2024 Baja Lago Mesa Redonda,2024 Baja Lago Mesa Redonda p1,Fledge,2024-04-22,2024-05-03,2024-05-02,116,13,0.1121,2,0.0172,0,0.0
2024 Baja Lago Mesa Redonda,2024 Baja Lago Mesa Redonda p2,Hatch,2024-05-25,2024-06-05,2024-05-25,864,194,0.2245,0,0.0,0,0.0
2024 Colusa NWR T27.1,2024 Colusa NWR T27-1&2 p1,Hatch,2024-06-13,2024-06-24,2024-06-13,864,0,0.0,11,0.0127,0,0.0
2024 Colusa NWR T27.2,2024 Colusa NWR T27-2S p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,2024 Dagnino Pond p1,Hatch,2024-05-29,2024-06-09,2024-05-29,864,102,0.1181,2,0.0023,0,0.0
2024 Kern 1 - check lat lon,2024 Kern 1 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2024 Los Vaqueros Reservoir,2024 Los Vaqueros Playa p1,Hatch,2024-05-05,2024-05-16,2024-05-05,864,38,0.044,0,0.0,136,0.1574
2024 Los Vaqueros Reservoir,2024 Los Vaqueros Playa p2,Hatch,2024-06-09,2024-06-20,2024-06-09,848,18,0.0212,32,0.0377,0,0.0
