Site Name,Pulse Name,Date Used,Window Start,Window End,Earliest Rec,Total Recordings in Window,Total Chirper Calls Present,Ratio Chirper,Total Triller Calls Present,Ratio Triller,Total Pacific Tree Frog Calls Present,Ratio Pacific Tree Frog
2017 Rush Ranch,2017 Rush Ranch p1,Hatch,2017-05-01,2017-05-12,2017-05-01,864,18,0.0208,5,0.0058,68,0.0787
2017 Rush Ranch,2017 Rush Ranch p2,Hatch,2017-05-30,2017-06-10,2017-05-30,750,77,0.1027,47,0.0627,1,0.0013
2017 Rush Ranch,2017 Rush Ranch p3,Hatch,2017-06-28,2017-07-09,2017-06-28,618,74,0.1197,8,0.0129,15,0.0243
2018 Iron Point,2018 Iron Point p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2018 Markham Ravine Main,2018 Markham Ravine p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2018 Markham Ravine westside,2018 Markham Ravine - West p1,n/a,pre,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2018 Red Wing Ranch,2018 Yankee Slough Ranch Preserve p1,Hatch,2018-05-17,2018-05-28,2018-05-17,864,54,0.0625,16,0.0185,0,0.0
2018 Rush Ranch,2018 Rush Ranch p1,Hatch,2018-05-26,2018-06-06,2018-05-26,949,107,0.1128,35,0.0369,46,0.0485
2018 SJWA-rose-2,2018 San Jacinto Wildlife Area - Bridge St. Pond p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2018 SJWA-rose-1,2018 San Jacinto Wildlife Area - Little Ramona p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2018 SJWA WSS,2018 SJWA Little Ramona p1,Hatch,2018-04-30,2018-05-11,2018-04-30,98,19,0.1939,31,0.3163,31,0.3163
2019 Colusa NWR 27-1,2019 Colusa NWR T27-1N p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2019 Colusa NWR 27-2,2019 Colusa NWR T27-2S p1,Hatch,2019-05-29,2019-06-09,n/a,798,0,0.0,0,0.0,0,0.0
2019 Creed Road,2019 Denverton Creek p1,Hatch,2019-05-10,2019-05-21,2019-05-10,888,0,0.0,0,0.0,0,0.0
2019 Creed Road,2019 Denverton Creek p2,Hatch,2019-05-31,2019-06-11,2019-05-31,888,119,0.134,22,0.0248,0,0.0
2019 Hay Landfill,2019 Hay Landfill p1,Hatch,2019-04-27,2019-05-08,2019-04-27,891,0,0.0,0,0.0,0,0.0
2019 Hay Landfill,2019 Hay Landfill p2,Hatch,2019-06-09,2019-06-20,2019-06-09,890,25,0.0281,21,0.0236,0,0.0
2019 Iron Point,2019 Iron Point p1,Hatch,2019-05-03,2019-05-14,2019-05-03,860,2,0.0023,0,0.0,0,0.0
2019 Leisure Town,2019 Leisure Town Road p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2019 Leisure Town,2019 Leisure Town Road p2,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2019 Markham Ravine,2019 Markham Ravine p1,Hatch,2019-05-28,2019-06-08,2019-05-28,864,20,0.0231,0,0.0,228,0.2639
2019 Markham Ravine 2,2019 Markham Ravine 2 p1,Hatch,2019-05-31,2019-06-11,2019-05-31,864,135,0.1562,50,0.0579,9,0.0104
2019 Rush Ranch,2019 Rush Ranch p1,Hatch,2019-05-17,2019-05-28,2019-05-17,864,66,0.0764,10,0.0116,40,0.0463
2020 Conaway Ranch,2020 Conaway Ranch p1,Hatch,2020-06-06,2020-06-17,2020-06-06,444,12,0.027,6,0.0135,0,0.0
2020 Creed Road,2020 Denverton Creek p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2020 Fort Ord,2020 Fort Ord p1,Hatch,2020-04-24,2020-05-05,2020-04-24,444,4,0.009,0,0.0,0,0.0
2020 Hay Landfill,2020 Hay Landfill p1,Hatch,2020-04-30,2020-05-11,2020-04-30,444,2,0.0045,0,0.0,68,0.1532
2020 Hay Landfill,2020 Hay Landfill p2,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2020 Iron Point,2020 Iron Point p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2020 Markham Ravine,2020 Markham Ravine p1,Hatch,2020-05-19,2020-05-30,2020-05-19,444,14,0.0315,3,0.0068,0,0.0
2020 Rush Ranch,2020 Rush Ranch p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2020 Ohlone - Santa Lucia Preserve,2020 Santa Lucia Preserve - Ohlone Pond p1,Hatch,2020-05-04,2020-05-15,2020-05-04,444,2,0.0045,0,0.0,65,0.1464
2021 Colusa NWR 27-1,2021 Colusa NWR T27-1&2 p1,Hatch,2021-06-06,2021-06-17,n/a,1695,0,0.0,0,0.0,0,0.0
2021 Colusa NWR 27-2,2021 Colusa NWR T27-2S p1,Hatch,2021-06-16,2021-06-27,2021-06-16,637,0,0.0,93,0.146,0,0.0
2021 Conaway East,2021 Conaway East p1,Hatch,2021-06-10,2021-06-21,2021-06-10,864,64,0.0741,32,0.037,159,0.184
2021 Conaway South,2021 Conaway South p1,Hatch,2021-06-09,2021-06-20,2021-06-09,864,100,0.1157,20,0.0231,77,0.0891
2021 Conaway West,2021 Conaway West p1,Hatch,2021-06-02,2021-06-13,2021-06-02,864,227,0.2627,90,0.1042,182,0.2106
2021 Dagnino Pond,2021 Dagnino Pond p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2021 Creed Road,2021 Denverton Creek p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2021 Reeds Creek North,2021 Erle Road-Reeds Creek North p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a
2021 Reeds Creek South,2021 Erle Road-Reeds Creek South p1,Hatch,2021-05-18,2021-05-29,2021-05-18,184,0,0.0,0,0.0,0,0.0
2021 Foley Ranch,2021 Virginia at Ostrom p1,Hatch,2021-05-12,2021-05-23,2021-05-12,864,4,0.0046,0,0.0,288,0.3333
2021 Foley Ranch,2021 Virginia at Ostrom p2,Hatch,2021-06-12,2021-06-23,2021-06-12,186,22,0.1183,13,0.0699,28,0.1505
