

Site ID,Name,Pretty Site Name,Number of Recordings,First Recording,Last Recording,Latitude,Longitude,Altitude,Timezone,Skip Site,Comment for Skip Site,Group,PMJ Male Song,PMJ Male Chorus,PMJ Female Chatter,PMJ Hatchling,PMJ Nestling,PMJ Fledgling,Distance to Colony,Approx Colony Size,Substrate,Site Description,Site Results,Pretty Site Name 2,Breeding Type,Complex Types,p1mcstart,p1mcend,p1incstart,p1hatch,p1fledgestart,p1fledgedisp,p1abandon,p1outcome,p2mcstart,p2mcend,p2incstart,p2hatch,p2fledgestart,p2fledgedisp,p2abandon,p2outcome,p3mcstart,p3mcend,p3incstart,p3hatch,p3fledgestart,p3fledgedisp,p3abandon,p3outcome,p4mcstart,p4mcend,p4incstart,p4hatch,p4fledgestart,p4fledgedisp,p4abandon,p4outcome
2059,2017 Rush Ranch,2017 Rush Ranch,9979,3/2/2017,7/24/2017,38.208,-122.014,6,America/Los_Angeles,,,Solano County,2017 RR MStyp5,2017 RR MC01,2017 RR FS01,2017 RR Hatchling,2017 RR Nestling,2017 RR FC06,3m,800,"Bulrush, cattails","A 0.9-ha, stream-fed pond containing cattails and bulrushes, together covering approximately 60% of the pond. Grassland grazed by cattle surrounds the site.","An initial breeding attempt progressed into early brooding but was classified as Abandoned based on a brief occurrence of recordings containing Begging Calls followed by a rapid decline in Tricolored Blackbird vocal detections. The only Begging Calls detected for this inital attempt were 2-6kHz Nestling Begging Calls. Because the higher 6-8 kHz Hatchling Begging Calls were never detected, an estimated brooding onset was calculated by subtracting 2 days from the first date that Nestling Begging Calls were detected, which is the typical time for Hatchling Begging Calls to develop into Nestling Begging Calls. Two additional breeding attempts occurred later in the season, each characterized by a complete sequence of recordings containing Nestling Begging Calls followed by Fledgling Begging Calls. The temporal spacing and partial overlap of these breeding attempts support classification of this colony as Complex. Recordings containing Fledgling Begging Calls were detected for the latter two attempts, and each was therefore classified as Successful. The ARU deployed at this site was an LG cell phone, which produced lower-quality recordings than AudioMoth units and was prone to intermittent failure, resulting in gaps in recording coverage; while recording quality was sufficient for this analysis, direct comparisons to other datasets should be made with caution. The algorithm used to detetmine dispersal date selected a date in the middle of the weak stutter of Fledgling Begging Calls. The bulk of Fledglings left on 23 Jun, with intermittent detections of Fledgling Begging Calls continuing through the last day of recordings.",2017 Rush Ranch,Sequential,,~3/7/2017,4/12/2017,~4/17/2017,~4/29/2017,ND,ND,5/3/2017,Abandoned,5/8/2017,5/15/2017,5/18/2017,5/30/2017,6/12/2017,6/22/2017,ND,Successful,6/2/2017,6/15/2017,6/17/2017,6/29/2017,ND,ND,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND
3150,2018 Iron Point,2018 Iron Point,1988,4/22/2018,5/19/2018,38.647,-121.104,172,America/Los_Angeles,,,Iron Point,2018 Iron Point MStyp5,2018 IP MC01,2018 Iron Point FS01,2018 Iron Point Hatchling,2018 Iron Point Nestling,2018 Iron Point FC06,15,2000,Himalayan blackberry,"A 0.2-ha patch of Himalayan blackberry in a small area designated as open space surrounded by roadways, commercial stores, parking lots, and a housing development. Commercial and residential construction occurred within 80 m of the nesting site in 2018, and construction activities continued during the breeding period.","Tricolored Blackbird vocalizations were detected immediately following deployment; however, within six days detections declined to fewer than one recording per day containing vocalizations. Female Chatter detections were rare, indicating that sustained breeding effort was not established at this site. Construction activity adjacent to the site was temporally coincident with the deployment and may have contributed to the lack of colony establishment.
The ARU deployed at this site was an LG cell phone, which produced lower-quality recordings than AudioMoth units and was prone to intermittent failure, resulting in gaps in recording coverage. While recording quality was sufficient for this analysis, direct comparisons to other datasets should be made with caution.",2018 Iron Point,No Colony,,ND,ND,ND,ND,ND,ND,ND,No Colony,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
3348,2018 Markham Ravine Main,2018 Markham Ravine,2165,6/26/2018,7/23/2018,38.8897,-121.4653,19,America/Los_Angeles,,,Markham Ravine,2018 Markham Ravine Main MStyp5,2018 MR MC01,2018 Markham Ravine Main FS01,2018 Markham Ravine Hatchling,2018 Markham Ravine Nestling,2018 Markham Ravine FC06,10m,1000,Himalayan blackberry,"Several patches of Himalayan blackberry, totaling approximately 0.6 ha, along Markham Ravine Creek. The site was surrounded by cultivated rice fields, open grassland, and a former irrigated hayfield that was under active construction as a wetland mitigation site during 2018. Construction halted around the colony during the breeding period.","Reduced signal clarity and incomplete data due to device failure in the middle of the deployment precludes assignment of dates for breeding stages. The detection of Fledgling Begging Calls indicates that this colony was Successful. The colony was adjacent to an active wetland mitigation construction project; however, construction activities were halted around the colony during the breeding period and did not appear to affect the observed breeding outcome.
The ARU deployed at this site was an LG cell phone, which produced lower-quality recordings than AudioMoth units and was prone to intermittent failure, resulting in gaps in recording coverage. While recording quality was sufficient for this analysis, direct comparisons to other datasets should be made with caution.",2018 Markham Ravine,Unknown,,ND,ND,ND,ND,ND,ND,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
3366,2018 Markham Ravine westside,2018 Markham Ravine - West,818,6/26/2018,7/13/2018,38.8896,-121.4693,17,America/Los_Angeles,Dupe,2018 Markham Ravine Main:,Markham Ravine,2018 Markham Ravine westside MStyp5,2018 MRW MC01,2018 Markham Ravine westside FS01,2018 Markham Ravine westside Hatchling,2018 Markham Ravine westside Nestling,2018 Markham Ravine westside FC06,20m,1000,Himalayan blackberry,"Several patches of Himalayan blackberry, totaling approximately 0.6 ha, along Markham Ravine Creek. The site was surrounded by cultivated rice fields, open grassland, and a former irrigated hayfield that was under active construction as a wetland mitigation site during 2018. Construction halted around the colony during the breeding period.",This ARU is considered a duplicate dataset of 2018 Markham Ravine Main.,2018 Markham Ravine - West,Unknown,,inf,ND,ND,ND,ND,ND,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
3281,2018 Red Wing Ranch,2018 Yankee Slough Ranch Preserve,2245,5/4/2018,6/4/2018,38.9622,-121.3453,33,America/Los_Angeles,,,Placer County,2018 RWR MStyp5,2018 RWR MC01,2018 RWR FS01,2018 RWR Hatchling,2018 RWR Nestling,2018 RWR FC06,10,3000,"Himalayan blackberry, Bulrush, cattails",A series of small copses of Himalayan blackberry alongside Yankee Slough. Most of the blackberry is on a private conservation preserve. It is closed to the public and accessible with permission only. (Same site where Bob Meese conducted a TCBL banding) station.,"The ARU was deployed during incubation. A limited number of Hatchling Begging Call detections were recorded, followed by a rapid cessation of Tricolored Blackbird detections. The brief occurrence of dependent-young vocalizations followed by complete acoustic absence supports classification of this breeding attempt as Abandoned. A small rain event was temporally coincident with the estimated date of hatching; however, the decline in Female Chatter detections preceded the rain event, and the cause of the Abandonment could not be determined from the available data. 
Tricolored Blackbird vocal detections were present in only a small number of recordings, resulting in reduced confidence in the assignment of breeding-stage dates. Dates were assigned based on the first detected vocalization; however, because detections were infrequent, the true onset of breeding stages likely occurred earlier and reported dates should be considered approximate. 
The ARU deployed at this site was an LG cell phone, which produced lower-quality recordings than AudioMoth units and was prone to intermittent failure, resulting in gaps in recording coverage. While recording quality was sufficient for this analysis, direct comparisons to other datasets should be made with caution.",2018 Yankee Slough Ranch Preserve,Unknown,,inf,inf,5/5/2018,5/17/2018,ND,ND,5/22/2018,Abandoned,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2719,2018 Rush Ranch,2018 Rush Ranch,9043,2/9/2018,6/26/2018,38.208,-122.014,6,America/Los_Angeles,,,Solano County,2018 Rush Ranch MStyp5,2018 RR MC01,2018 Rush Ranch FS01,2018 Rush Ranch Hatchling,2018 Rush Ranch Nestling,2018 Rush Ranch FC06,3m,2000,"Bulrush, cattails","The colony nested in a 0.9-ha, stream-fed pond containing cattails and bulrushes, together covering approximately 60% of the pond. Grassland grazed by cattle surrounds the site.","Male Chorus detections began in March, but Female Chatter detections were not recorded until early May, indicating initiation of breeding. Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful. The ARU deployed at this site was an LG cell phone, which produced lower-quality recordings than AudioMoth units and was prone to intermittent failure, resulting in gaps in recording coverage; while recording quality was sufficient for this analysis, direct comparisons to other datasets should be made with caution.

Note that due to missing data from recorder failure, we did not capture the date of the end of Male Chorus.",2018 Rush Ranch,Simple,,missed,missed,5/14/2018,5/26/2018,6/11/2018,6/23/2018,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
82621,2018 SJWA WSS,2018 SJWA Little Ramona,1984,4/2/2018,5/1/2018,33.869,-117.086,434,America/Los_Angeles,,,San Jacinto Wildlife Area,2018 SJWA WSS MStyp5,2018 SJWA WSS MC01,2018 SJWA WSS FS01,2018 SJWA WSS Hatchling,2018 SJWA Nestling,2018 SJWA FC06,10,30000,"Bulrush, cattails","Unit placed on the levee surrounding Bridge St. Pond on the San Jacinto Wildlife Area. To the west is private land with perennial ryegrass hay and alfalfa. To the south is the pond which is surrounded by a narrow band of willows and mulefat, and has a dense growth of cattails and bulrush in the pond itself. Beyond the pond is weedy fallow fields. To the east is Mystic Lake bed, mostly grown up in tall forbs, native and non-native. To the north is SJWA irrigated, weedy fields.","There were two ARUs deployed in this colony. This ARU had recordings from the most days and is considered the core dataset. Field visits documented a large colony that settled and initiated breeding at this site. Female Chatter detections were present initially but declined abruptly before estimated brooding onset. No Nestling or Fledgling Begging Call detections were recorded following this decline, supporting classification of the breeding attempt as Abandoned. The timing of Abandonment was temporally coincident with repeated helicopter noise detected acoustically at the site. Because no Begging Calls were detected, brooding onset was estimated as being sixteen days after Female Chatter was detected above the daily threshold, reflecting four days of nest building followed by twelve days of incubation prior to brooding onset. This difference is indicated in Table 5 with a ""~"".

The ARU deployed at this site was an LG cell phone, which produced lower-quality recordings than AudioMoth units and was prone to intermittent failure, resulting in gaps in recording coverage. While recording quality was sufficient for this analysis, direct comparisons to other datasets should be made with caution.",2018 SJWA Little Ramona,Unknown,,4/10/2018,4/19/2018,~4/15/2018,~4/27/2018,ND,ND,4/22/2018,Abandoned,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
3417,2018 SJWA-rose-1,2018 San Jacinto Wildlife Area - Little Ramona,242,4/2/2018,4/10/2018,33.869,-117.086,434,America/Los_Angeles,Dupe,2018 SJWA Little Ramona:,San Jacinto Wildlife Area,2018 SJWA r1 MStyp5,2018 SJWA r1 MC01,2018 SJWA r1 FS01,2018 SJWA r1 Hatchling,2018 SJWA r1 Nestling,2018 SJWA r1 FC06,10,30000,"Bulrush, cattails","Unit placed on the levee surrounding Bridge St. Pond on the San Jacinto Wildlife Area.  To the west is private land, perennial ryegrass hay and alfalfa. To the south is the pond which is surrounded by a narrow band of willows and mulefat, and has a dense growth of cattails and bulrush in the pond itself. Beyond the pond is weedy fallow fields. To the east is Mystic Lake bed, mostly grown up in tall forbs, native and non-native. To the north is SJWA irrigated, weedy fields.","The ARU was deployed briefly before being relocated to another area within SJWA. This unit was located within the same colony as the 2018 San Jacinto Wildlife Area – Little Ramona ARU and is considered a duplicate of the primary Little Ramona dataset. Acoustic detections from this unit were insufficient to characterize breeding activity independently.
The ARU deployed at this site was a Song Meter, which produced high-quality recordings; however, direct comparisons to other datasets should be made with caution.",2018 San Jacinto Wildlife Area - Little Ramona,No Colony,,ND,ND,ND,ND,ND,ND,ND,No Colony,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
3682,2018 SJWA-rose-2,2018 San Jacinto Wildlife Area - Bridge St. Pond,1154,4/10/2018,4/27/2018,33.8625,-117.0716,435,America/Los_Angeles,,,San Jacinto Wildlife Area,2018 SJWA rose-2 MStyp5,2018 SJWA rose-2 MC01,2018 SJWA rose-2 FS01,2018 SJWA rose-2 Hatchling,2018 SJWA rose-2 NC01,2018 SJWA rose-2 FC06,10,30000,"Bulrush, cattails",Four acre rectangular pond in a private duck club within the boundaries of the San Jacinto Wildlife Area. Surrounded by open fields belonging to the Wildlife Area. Most fields are currently left in natural state.,"Female Chatter detections indicative of early breeding activity were present initially, followed by a rapid cessation of Tricolored Blackbird vocal detections. No Begging Call detections from dependent young were recorded. This abrupt decline in detections supports classification of the breeding attempt as Abandoned shortly after initiation.
Helicopter noise was detected acoustically at the site and was temporally coincident with the inferred timing of Abandonment.
The ARU deployed at this site was a Song Meter, which produced high-quality recordings; however, direct comparisons to other datasets should be made with caution.",2018 San Jacinto Wildlife Area - Bridge St. Pond,Unknown,,inf,4/20/2018,4/19/2018,ND,ND,ND,4/22/2018,Abandoned,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
5642,2019 Colusa NWR 27-1,2019 Colusa NWR T27-1N,5489,5/27/2019,8/12/2019,39.1441,-122.0293,14,America/Los_Angeles,,,Sacramento National Wildlife Refuge Complex,2019 CNWR 27-1 MS01,2019 CNRW 27-1 MC01,2019 CNWR 27-1 FS01,2019 CNWR 27-1 Hatchling,2019 CNWR 27-1 Nestling,2019 CNWR 27-1 FC06,100,20000,"Bulrush, cattails","In 2015, this seasonal wetland, consisting of two areas, was put into the Giant Garter Snake program, and in 2016 the first Tricolored Blackbird colony was recorded. Each wetland consists of deeper canals and ponds surrounded by shallower wetlands. The site is managed for water and includes winter overwater prescribed fire, sheep grazing, and mowing/disking.","The colony was located approximately 300 m from the ARU, resulting in reduced signal clarity and limiting interpretability of some recordings. Automated pattern matching detected Male Song, Male Chorus, and Fledgling Begging Calls, while detections of Female Chatter and Hatchling and Nestling Begging Calls required manual review to confirm their presence. Manual review did not identify Hatchling Begging Calls, and the onset of brooding could not be determined directly from the acoustic record. Based on the timing of other detected vocalizations, the onset of brooding was estimated to have occurred around 12 June. Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful.",2019 Colusa NWR T27-1N,Simple,,inf,5/29/2019,~6/2/2019(C),~6/14/2019(C),6/27/2019,~7/7/2019,ND,Successful,ND,6/19/2019,~6/21/2019(C),~7/3/2019(C),~7/16/2019,~7/21/2019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
