Site ID,Pulse Name,Breeding_type,Complex_type,Twiddle,Duplicate,Original_MC_Date,Calc_MC_Date,Calc_MC_Delta,MC_msg,Original_Inc_Date,Original_Hatch_Date,Calc_Hatch_Date,Hatch_Comment,Hatch_Delta,Threshold,Original_Fledge_Date,Calc_Fledge_Date,Fledge_Comment,Fledge_Delta,Original_Dispersal_Date,Calc_Dispersal_Date,Dispersal_Comment,Dispersal_Delta,log,rec_count,detections,type
2059,2017 Rush Ranch p1,Sequential,,,,03/07/2017,2017-04-09,-33,OK,04/19/2017,05/01/2017,05/01/2017,equal,equal,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,0.02614698083410777,2949.0,183.0,
2059,2017 Rush Ranch p2,Sequential,,,,05/08/2017,2017-05-08,0,OK,05/18/2017,05/30/2017,05/30/2017,equal,equal,4,06/12/2017,06/12/2017,equal,equal,06/26/2017,2017-06-26,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.02614698083410777,2949.0,183.0,
2059,2017 Rush Ranch p3,Sequential,,,,06/02/2017,2017-06-02,0,OK,06/16/2017,06/28/2017,06/28/2017,equal,equal,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,0.02614698083410777,2949.0,183.0,
3150,2018 Iron Point p1,No Colony,,,,pre,,,No inc start date,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
3348,2018 Markham Ravine p1,Asynchronous,,,,pre,,,No male chorus,pre,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,0.007553137890445907,1197.0,21.0,
3366,2018 Markham Ravine - West p1,Unknown,,,2018 Markham Ravine Main:,pre,,,No male chorus,pre,pre,,Hatch date was not a date,,3,pre,,Fledge date was not a date,,post,,Dispersal date was not a date,,0.004988759816990826,779.0,9.0,
3281,2018 Yankee Slough Ranch Preserve p1,Unknown,,,,pre,,,No male chorus,05/05/2018,05/17/2018,05/17/2018,equal,equal,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
2719,2018 Rush Ranch p1,Simple,,,,05/04/2018,2018-05-04,0,OK,05/14/2018,05/26/2018,05/26/2018,equal,equal,4,06/11/2018,06/11/2018,equal,equal,post,,Dispersal date was not a date,,0.05686777334772786,822.0,115.0,
3682,2018 San Jacinto Wildlife Area - Bridge St. Pond p1,Unknown,,,,pre,,,No inc start date,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
3417,2018 San Jacinto Wildlife Area - Little Ramona p1,No Colony,,,2018 SJWA Little Ramona:,ND,,,No male chorus,ND,ND,,Hatch date was not a date,,1,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
82621,2018 SJWA Little Ramona p1,Unknown,,Twiddle,,04/10/2018,pre,,Last bout started on day 1,04/18/2018,04/30/2018,,not equal,Not in range,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
5642,2019 Colusa NWR T27-1N p1,Simple,,,,pre,,,No inc start date,ND,ND,,Hatch date was not a date,,4,06/27/2019,06/27/2019,equal,equal,07/22/2019,2019-07-22,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.05142490177124016,3365.0,423.0,
5643,2019 Colusa NWR T27-2S p1,Simple,,Twiddle,,pre,,,No male chorus,05/17/2019,05/29/2019,05/29/2019,equal,equal,4,06/14/2019,,not equal,Not in range,06/15/2019,2019-06-15,,0,0.0014797100580478597,293.0,1.0,small
4455,2019 Denverton Creek p1,Sequential,,,,03/24/2019,2019-03-24,0,OK,04/28/2019,05/10/2019,05/10/2019,equal,equal,4,05/23/2019,05/23/2019,equal,equal,06/02/2019,2019-06-02,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.016318794161537458,3369.0,129.0,
4455,2019 Denverton Creek p2,Sequential,,Twiddle,,05/13/2019,2019-05-13,0,OK,05/19/2019,05/31/2019,,not equal,Not in range,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,0.016318794161537458,3369.0,129.0,
4456,2019 Hay Landfill p1,Sequential,,,,04/08/2019,pre,,Last bout started on day 1,04/15/2019,04/27/2019,04/27/2019,equal,equal,4,05/11/2019,05/11/2019,equal,equal,05/30/2019,2019-05-30,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.028119494732751462,4485.0,300.0,
4456,2019 Hay Landfill p2,Sequential,,,,05/20/2019,2019-05-20,0,OK,05/28/2019,06/09/2019,06/09/2019,equal,equal,4,06/23/2019,06/23/2019,equal,equal,07/03/2019,,Reached end of dataset before dispersal threshold was met.,,0.028119494732751462,4485.0,300.0,
4979,2019 Iron Point p1,Asynchronous,,,,pre,,,No MC in range,04/21/2019,05/03/2019,05/03/2019,equal,equal,4,05/14/2019,05/14/2019,equal,equal,07/07/2019,2019-07-10,Threshold met for a 7-day sliding block starting at dispersal_date.,3,0.09494841977928037,5725.0,1399.0,async
4639,2019 Leisure Town Road p1,Sequential,,,,03/29/2019,,,No inc start date,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,0.003377021969473493,3715.0,29.0,
4639,2019 Leisure Town Road p2,Sequential,,,,05/19/2019,,,No inc start date,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,0.003377021969473493,3715.0,29.0,
5637,2019 Markham Ravine p1,Simple,,,,pre,pre,,Last bout started on day 1,05/16/2019,05/28/2019,05/28/2019,equal,equal,4,06/16/2019,06/16/2019,equal,equal,06/22/2019,2019-06-22,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.007221557843040146,2982.0,50.0,
5640,2019 Markham Ravine 2 p1,Simple,,Twiddle,,pre,pre,,Last bout started on day 1,05/19/2019,05/31/2019,05/31/2019,equal,equal,4,06/09/2019,,not equal,Not in range,06/21/2019,2019-06-21,,0,0.0019287721498245371,2696.0,12.0,small
5638,2019 Rush Ranch p1,Unknown,,Twiddle,,05/01/2019,2019-05-01,0,OK,05/05/2019,05/17/2019,,not equal,Not in range,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
7657,2020 Conaway Ranch p1,Asynchronous,,,,pre,pre,,Last bout started on day 1,05/25/2020,06/06/2020,06/06/2020,equal,equal,2,06/18/2020,06/18/2020,equal,equal,post,,Dispersal date was not a date,,0.10237830363855785,805.0,214.0,
2908,2020 Denverton Creek p1,No Colony,,,,ND,,,No inc start date,ND,ND,,Hatch date was not a date,,2,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
57589,2020 Fort Ord p1,Simple,,,,pre,pre,,Last bout started on day 1,04/12/2020,04/24/2020,04/24/2020,equal,equal,2,05/09/2020,05/09/2020,equal,equal,06/01/2020,2020-06-01,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.01833750772445365,2481.0,107.0,
6199,2020 Hay Landfill p1,Asynchronous,,,,04/01/2020,2020-04-01,0,OK,04/18/2020,04/30/2020,04/30/2020,equal,equal,2,05/11/2020,05/11/2020,equal,equal,post,,Dispersal date was not a date,,0.09399070233904602,2239.0,541.0,
