Site ID,Pulse Name,Breeding_type,Complex_type,Twiddle,Duplicate,Original_MC_Date,Calc_MC_Date,Calc_MC_Delta,MC_msg,Original_Inc_Date,Original_Hatch_Date,Calc_Hatch_Date,Hatch_Comment,Hatch_Delta,Threshold,Original_Fledge_Date,Calc_Fledge_Date,Fledge_Comment,Fledge_Delta,Original_Dispersal_Date,Calc_Dispersal_Date,Dispersal_Comment,Dispersal_Delta,log,rec_count,detections,type
6199,2020 Hay Landfill p2,Asynchronous,,,,ND,,,No inc start date,ND,ND,,Hatch date was not a date,,2,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,0.09399070233904602,2239.0,541.0,
7650,2020 Iron Point p1,No Colony,,,,ND,,,No inc start date,ND,ND,,Hatch date was not a date,,2,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
6404,2020 Markham Ravine p1,Simple,,Twiddle,,04/29/2020,pre,,Last bout started on day 1,05/07/2020,05/19/2020,05/19/2020,equal,equal,2,05/30/2020,05/30/2020,equal,equal,06/08/2020,2020-06-08,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.012292173804551299,627.0,18.0,
2915,2020 Rush Ranch p1,No Colony,,,,ND,,,No inc start date,ND,ND,,Hatch date was not a date,,2,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
18572,2020 Santa Lucia Preserve - Ohlone Pond p1,Simple,,Twiddle,,ND,,,No male chorus,04/22/2020,05/04/2020,,not equal,Not in range,2,05/12/2020,05/12/2020,equal,equal,06/19/2020,,No dispersal detected within max_window_days starting at onset.,,0.02541235467821705,2539.0,153.0,
24130,2021 Colusa NWR T27-1&2 p1,Simple,,Twiddle,,05/11/2021,pre,,Last bout started on day 1,05/25/2021,06/06/2021,06/06/2021,equal,equal,8,06/15/2021,,not equal,Not in range,06/17/2021,2021-06-17,,0,0.0032199923736962338,1075.0,8.0,small
24221,2021 Colusa NWR T27-2S p1,Unknown,,,,05/19/2021,pre,,Last bout started on day 1,06/04/2021,06/16/2021,06/16/2021,equal,equal,8,post,,Fledge date was not a date,,post,,Dispersal date was not a date,,,,,
21652,2021 Conaway East p1,Simple,,,2021 Conaway South:,pre,pre,,Last bout started on day 1,05/29/2021,06/10/2021,06/10/2021,equal,equal,4,06/20/2021,06/20/2021,equal,equal,post,,Dispersal date was not a date,,0.0827982346800199,1395.0,293.0,
24652,2021 Conaway South p1,Simple,,,,05/21/2021,pre,,Last bout started on day 1,05/28/2021,06/09/2021,06/09/2021,equal,equal,4,06/23/2021,06/23/2021,equal,equal,07/03/2021,,Reached end of dataset before dispersal threshold was met.,,0.09000765512541305,964.0,222.0,
21591,2021 Conaway West p1,Simple,,,2021 Conaway South:,pre,pre,,Last bout started on day 1,05/21/2021,06/02/2021,06/02/2021,equal,equal,4,06/13/2021,06/13/2021,equal,equal,post,,Dispersal date was not a date,,0.016101021573673952,1112.0,42.0,
24122,2021 Dagnino Pond p1,No Colony,,,,ND,,,No male chorus,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
21681,2021 Denverton Creek p1,No Colony,,,,ND,,,No inc start date,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
24651,2021 Erle Road-Reeds Creek North p1,Unknown,,,2021 Erle Road-Reeds Creek South:,pre,,,No inc start date,ND,ND,,Hatch date was not a date,,4,abandoned,,Fledge date was not a date,,abandoned,,Dispersal date was not a date,,,,,
24653,2021 Erle Road-Reeds Creek South p1,Unknown,,,,pre,,,No qualifying bouts found,05/06/2021,05/18/2021,05/18/2021,equal,equal,4,post,,Fledge date was not a date,,post,,Dispersal date was not a date,,,,,
21668,2021 Virginia at Ostrom p1,Sequential,,,,pre,,,No MC in range,04/30/2021,05/12/2021,05/12/2021,equal,equal,4,05/24/2021,05/24/2021,equal,equal,post,,Dispersal date was not a date,,0.07331797208655368,1914.0,352.0,
21668,2021 Virginia at Ostrom p2,Sequential,,,,05/23/2021,2021-05-23,0,OK,05/31/2021,06/12/2021,06/12/2021,equal,equal,4,post,,Fledge date was not a date,,post,,Dispersal date was not a date,,0.07331797208655368,1914.0,352.0,
21688,2021 Hale Road 2 p1,Simple,,,,pre,,,No male chorus,05/01/2021,05/13/2021,05/13/2021,equal,equal,4,05/28/2021,05/28/2021,equal,equal,06/04/2021,2021-06-04,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.054924547186694726,1261.0,170.0,
11101,2021 Hay Landfill p1,Unknown,,,,03/01/2021,2021-03-01,0,OK,04/12/2021,04/24/2021,04/24/2021,equal,equal,4,post,,Fledge date was not a date,,post,,Dispersal date was not a date,,0.006434110005409903,67.0,1.0,
24658,2021 Iron Point p1,No Colony,,,,ND,,,No inc start date,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
24606,2021 Kern 1 p1,Simple,,Twiddle,,05/06/2021,2021-05-06,0,OK,05/20/2021,06/01/2021,06/01/2021,equal,equal,4,ND,,Fledge date was not a date,,06/24/2021,,"Couldn't check, no fledge start date",,,,,
24544,2021 Kern 2 p1,No Colony,,,,ND,,,No male chorus,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
24641,2021 Kern 3 p1,No Colony,,,,ND,,,No male chorus,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
24655,2021 Kern 4 p1,Simple,,Twiddle,,04/27/2021,2021-04-27,0,OK,05/12/2021,05/24/2021,05/24/2021,equal,equal,4,05/31/2021,06/05/2021,not equal,-5,06/12/2021,2021-06-12,,0,0.0012515699783071609,4851.0,14.0,small
26534,2021 Kern 5 p1,Complex,"Asynchronous, Sequential",,,pre,pre,,inc_start was pre,pre,pre,,Hatch date was not a date,,4,05/18/2021,05/18/2021,equal,equal,06/02/2021,2021-06-05,Threshold met for a 7-day sliding block starting at dispersal_date.,3,0.03341164313370039,6640.0,531.0,async
26534,2021 Kern 5 p2,Complex,"Asynchronous, Sequential",,,ND,,,No inc start date,ND,05/23/2021,05/23/2021,equal,equal,4,06/09/2021,06/09/2021,equal,equal,06/17/2021,2021-06-18,Threshold met for a 7-day sliding block starting at dispersal_date.,1,0.03341164313370039,6640.0,531.0,async
26535,2021 Kern 6 p1,No TRBL,,,,ND,,,No male chorus,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
26536,2021 Kern 7 p1,Unknown,,,,pre,,,No male chorus,05/19/2021,05/31/2021,05/31/2021,equal,equal,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
26432,2021 Markham Ravine p1,No TRBL,,,,ND,,,No male chorus,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
24252,2021 Orchard Creek p1,Additions,,Twiddle,,pre,,,No MC in range,04/16/2021,04/28/2021,04/28/2021,equal,equal,4,05/15/2021,05/15/2021,equal,equal,05/31/2021,,No dispersal detected within max_window_days starting at onset.,,0.04887358118704687,3694.0,440.0,
24252,2021 Orchard Creek p2,Additions,,Twiddle,,05/02/2021,2021-05-02,0,OK,05/13/2021,05/25/2021,05/25/2021,equal,equal,4,06/03/2021,05/29/2021,not equal,5,06/19/2021,2021-06-19,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.04887358118704687,3694.0,440.0,
24233,2021 Panoche Creek Marsh East 1 p1,Simple,,Twiddle,2021 Panoche Creek Marsh East 2: These were definitely in the same colony. 1E had much better data,04/06/2021,2021-04-06,0,OK,04/20/2021,05/02/2021,05/02/2021,equal,equal,4,05/23/2021,,not equal,Not in range,05/25/2021,2021-05-25,,0,0.0004567915034878379,3801.0,4.0,small
24232,2021 Panoche Creek Marsh East 2 p1,Simple,,,,04/07/2021,pre,,Last bout started on day 1,04/18/2021,04/30/2021,04/30/2021,equal,equal,4,05/18/2021,05/18/2021,equal,equal,05/23/2021,2021-05-23,,0,0.0031681818201486044,4234.0,31.0,small
21537,2021 Plumas Arboga p1,Unknown,,,,pre,,,No qualifying bouts found,05/15/2021,05/27/2021,05/27/2021,equal,equal,4,post,,Fledge date was not a date,,post,,Dispersal date was not a date,,,,,
24119,2021 Rancho Jamul p1,Asynchronous,,,,ND,,,No male chorus,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,post,,Dispersal date was not a date,,,,,
24231,2021 Rodeo Grounds p1,Simple,,,,pre,,,No qualifying bouts found,04/20/2021,05/02/2021,05/02/2021,equal,equal,4,05/11/2021,05/11/2021,equal,equal,05/28/2021,2021-05-28,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.03613969360188941,2397.0,208.0,
24549,2021 Rush Ranch p1,No Colony,,,,ND,,,No inc start date,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
25171,2021 San Jacinto Wildlife Area - Bridge Street Pond p1,Unknown,,,,pre,,,No qualifying bouts found,06/03/2021,06/15/2021,06/15/2021,equal,equal,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
11100,2021 Sedgwick Reserve Pond p1,Unknown,,,,04/05/2021,2021-04-05,0,OK,04/16/2021,04/28/2021,04/28/2021,equal,equal,4,post,,Fledge date was not a date,,post,,Dispersal date was not a date,,,,,
24107,2021 Willey Wetlands 1 p1,Simple,,Twiddle,2021 Willey Wetlands 3: ,pre,,,No male chorus,06/08/2021,06/20/2021,06/20/2021,equal,equal,4,07/02/2021,,not equal,Not in range,07/12/2021,2021-07-12,,0,0.001163116403332997,3356.0,9.0,small
24261,2021 Willey Wetlands 2 p1,Simple,,,,pre,,,No male chorus,05/31/2021,06/12/2021,06/12/2021,equal,equal,4,06/28/2021,06/28/2021,equal,equal,07/10/2021,2021-07-10,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.017120936935525362,4004.0,161.0,
24263,2021 Willey Wetlands 3 p1,Simple,,,,pre,,,No male chorus,pre,pre,,Hatch date was not a date,,4,06/24/2021,06/24/2021,equal,equal,07/10/2021,2021-07-10,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.03360990537044332,3542.0,285.0,
24790,2021 Wind Wolves Preserve p1,Simple,,,,04/19/2021,2021-04-19,0,OK,05/02/2021,05/14/2021,05/14/2021,equal,equal,4,05/28/2021,05/28/2021,equal,equal,06/24/2021,2021-06-24,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.009984220906600923,3999.0,93.0,
34485,2022 Baja Ciénega Redonda North p1,Simple,,,,pre,pre,,Last bout started on day 1,04/02/2022,04/14/2022,04/14/2022,equal,equal,4,04/30/2022,04/30/2022,equal,equal,05/23/2022,2022-05-23,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.04661988303101024,4880.0,553.0,
53136,2022 Baja Ciénega Redonda North 2 p1,Simple,,,2022 Baja Ciénega Redonda North: Had less detections than Baja 1. Keep Baja 1.,pre,pre,,Last bout started on day 1,04/03/2022,04/15/2022,04/15/2022,equal,equal,4,04/30/2022,04/30/2022,equal,equal,05/22/2022,2022-05-22,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.03509310276941997,5549.0,467.0,
34044,2022 Colusa NWR T27-1&2 p1,No TRBL,,,,ND,,,No male chorus,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
34079,2022 Colusa NWR T27-2S p1,Simple,,,,ND,,,No male chorus,05/19/2022,05/31/2022,05/31/2022,equal,equal,4,06/16/2022,06/16/2022,equal,equal,06/21/2022,2022-06-21,,0,0.004644905045763538,3813.0,41.0,small
34111,2022 Conaway New Easement Pond West p1,No TRBL,,,,ND,,,No male chorus,ND,ND,,Hatch date was not a date,,8,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
34112,2022 Conaway North p1,Simple,,,,pre,pre,,Last bout started on day 1,05/09/2022,05/21/2022,05/21/2022,equal,equal,8,05/31/2022,05/31/2022,equal,equal,06/20/2022,2022-06-20,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.05377180787714673,7898.0,1041.0,
34113,2022 Conaway North A p1,Simple,,,2022 Conaway North:,pre,pre,,Last bout started on day 1,05/10/2022,05/22/2022,05/22/2022,equal,equal,8,06/01/2022,06/01/2022,equal,equal,06/18/2022,2022-06-18,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.07051478159238342,3931.0,693.0,
34115,2022 Conaway Ranch Reservoir p1,Simple,,Twiddle,,pre,,,No qualifying bouts found,05/11/2022,05/23/2022,05/23/2022,equal,equal,8,06/07/2022,06/10/2022,not equal,-3,post,,Dispersal date was not a date,,0.011349669418516494,5514.0,146.0,
34078,2022 Denverton Creek p1,Simple,,,,03/24/2022,2022-03-24,0,OK,04/03/2022,04/15/2022,04/15/2022,equal,equal,4,04/28/2022,04/28/2022,equal,equal,05/25/2022,2022-05-25,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.04061590893356908,7987.0,783.0,
34118,2022 Virginia at Ostrom A p1,No Colony,,,,ND,,,No inc start date,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,0.019305155195386624,330.0,15.0,
34119,2022 Virginia at Ostrom B p1,No Colony,,,2022 Foley Ranch A:,ND,,,No inc start date,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,0.01165092326653643,331.0,9.0,
33966,2022 Hay Landfill p1,Sequential,,,,02/24/2022,2022-02-24,0,OK,03/31/2022,04/12/2022,04/12/2022,equal,equal,4,04/27/2022,04/27/2022,equal,equal,05/20/2022,2022-05-20,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.017061971110760046,9334.0,374.0,
33966,2022 Hay Landfill p2,Sequential,,,,05/01/2022,2022-05-01,0,OK,05/07/2022,05/19/2022,05/19/2022,equal,equal,4,06/01/2022,06/01/2022,equal,equal,06/27/2022,2022-06-27,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.017061971110760046,9334.0,374.0,
34077,2022 Laguna Seca p1,Sequential,,,,03/27/2022,2022-03-27,0,OK,04/03/2022,04/15/2022,04/15/2022,equal,equal,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
34077,2022 Laguna Seca p2,Sequential,,,,05/03/2022,2022-05-03,0,OK,05/16/2022,05/28/2022,05/28/2022,equal,equal,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
34117,2022 Los Vaqueros Playa p1,Unknown,,,,pre,,,No MC in range,04/07/2022,04/19/2022,,not equal,Not in range,4,04/28/2022,04/28/2022,equal,equal,05/28/2022,2022-05-28,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.04747707035290195,3428.0,396.0,
34076,2022 Marsh Creek Reservoir p1,No TRBL,,,,ND,,,No male chorus,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
34075,2022 Newberry Springs - Lake Wainani p1,Unknown,,,,pre,pre,,inc_start was pre,pre,pre,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,post,,Dispersal date was not a date,,0.0041559597711577035,104.0,1.0,
33851,2022 Oregon State - Warm Springs Dizney Lane p1,No Colony,,,,ND,,,No male chorus,ND,ND,,Hatch date was not a date,,8,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
34073,2022 Oregon State - Prineville Woodward Rd p1,Simple,,Twiddle,,ND,,,No male chorus,05/04/2022,05/16/2022,,not equal,Not in range,8,05/25/2022,,not equal,Not in range,post,,Dispersal date was not a date,,0.01470248662141961,1394.0,48.0,
34071,2022 Paicines Ranch - Teal Pond p1,Simple,,,,pre,,,No MC in range,04/10/2022,04/22/2022,04/22/2022,equal,equal,4,05/08/2022,05/08/2022,equal,equal,05/28/2022,2022-05-28,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.01569757465652655,6738.0,248.0,
34072,2022 Paicines Ranch - Teal Pond B p1,Simple,,,2022 Paicines Ranch - Teal Pond:,pre,,,No MC in range,04/10/2022,04/22/2022,04/22/2022,equal,equal,4,05/09/2022,05/09/2022,equal,equal,06/04/2022,2022-06-04,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.017892761377200965,5825.0,245.0,
52598,2022 Panoche Creek Marsh East 1 p1,No Colony,,,,ND,,,No inc start date,ND,ND,,Hatch date was not a date,,4,ND,,Fledge date was not a date,,ND,,Dispersal date was not a date,,,,,
34130,2022 Panoche Creek Marsh East 2 p1,Simple,,,,pre,,,No male chorus,04/08/2022,04/20/2022,04/20/2022,equal,equal,4,05/01/2022,05/01/2022,equal,equal,05/16/2022,2022-05-16,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.010040648436324072,3848.0,90.0,
52597,2022 Panoche Creek Preserve Location 3 p1,Simple,,,,pre,pre,,Last bout started on day 1,04/08/2022,04/20/2022,04/20/2022,equal,equal,4,05/03/2022,05/03/2022,equal,equal,05/21/2022,2022-05-21,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.008698938479457208,3707.0,75.0,
34012,2022 Plumas Arboga 6 East p1,Complex,"Asynchronous, Sequential",,,pre,pre,,inc_start was pre,pre,pre,,Hatch date was not a date,,8,05/12/2022,05/12/2022,equal,equal,05/31/2022,2022-06-03,Threshold met for a 7-day sliding block starting at dispersal_date.,3,0.08037854059457068,6822.0,1387.0,async
34012,2022 Plumas Arboga 6 East p2,Complex,"Asynchronous, Sequential",,,ND,pre,,Last bout started on day 1,05/10/2022,05/22/2022,05/22/2022,equal,equal,8,06/07/2022,06/07/2022,equal,equal,post,,Dispersal date was not a date,,0.08037854059457068,6822.0,1387.0,
34013,2022 Plumas Arboga 6 West p1,Simple,,,2022 Plumas Arboga 6 East:,pre,,,No male chorus,05/12/2022,05/24/2022,,not equal,Not in range,8,06/01/2022,06/01/2022,equal,equal,post,,Dispersal date was not a date,,0.10302832775800795,4807.0,1287.0,
34131,2022 Private Site 1 - approximate lat lon p1,Asynchronous,,,,pre,,,No male chorus,04/18/2022,04/30/2022,04/30/2022,equal,equal,4,05/08/2022,05/08/2022,equal,equal,05/28/2022,2022-05-28,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.05550821827381236,1907.0,260.0,async
34133,2022 Private Site 2 - approximate lat lon p1,Asynchronous,,,,pre,,,No male chorus,pre,pre,,Hatch date was not a date,,4,04/25/2022,04/25/2022,equal,equal,post,,Dispersal date was not a date,,0.07904865728704581,546.0,109.0,
34132,2022 Private Site 3 - approximate lat lon p1,Asynchronous,,,,pre,,,No male chorus,pre,pre,,Hatch date was not a date,,4,05/09/2022,05/09/2022,equal,equal,05/26/2022,2022-05-26,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.030585911451036986,1905.0,139.0,async
34045,2022 Rancho Jamul p1,Asynchronous,,,,03/20/2022,2022-03-20,0,OK,04/02/2022,04/14/2022,04/14/2022,equal,equal,4,04/27/2022,04/27/2022,equal,equal,post,,Dispersal date was not a date,,0.057777321580729964,4554.0,648.0,
34046,2022 San Jacinto Wildlife Area - Bridge Street Pond p1,Asynchronous,,Twiddle,,pre,pre,,Last bout started on day 1,05/14/2022,05/26/2022,05/26/2022,equal,equal,4,06/11/2022,,not equal,Not in range,post,,Dispersal date was not a date,,0.00579550861457167,1191.0,16.0,
34090,2022 Santa Lucia Preserve - Ohlone Pond p1,Asynchronous,,,,04/05/2022,2022-04-05,0,OK,04/20/2022,05/02/2022,05/02/2022,equal,equal,4,05/20/2022,05/20/2022,equal,equal,06/28/2022,2022-06-28,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.008208776317155666,6813.0,130.0,async
33985,2022 Sedgwick Reserve Pond p1,Sequential,,,,pre,pre,,Last bout started on day 1,03/29/2022,04/10/2022,04/10/2022,equal,equal,4,04/26/2022,04/26/2022,equal,equal,05/13/2022,2022-05-13,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.02173160234361268,5145.0,264.0,
33985,2022 Sedgwick Reserve Pond p2,Sequential,,,,05/01/2022,2022-05-01,0,OK,05/09/2022,05/21/2022,05/21/2022,equal,equal,4,06/03/2022,06/03/2022,equal,equal,06/17/2022,2022-06-17,Threshold met for a 7-day sliding block starting at dispersal_date.,0,0.02173160234361268,5145.0,264.0,
