Site_ID,Group,Site_Name,Pulse_Name,Deployment_Start,Deployment_End,Breeding_Type,Complex_Types,Outcome,Substrate,Approx_Colony_Size,Colony_Size,mcstart,incstart,Hatch_Date,fledgestart,fledgedisp,Abandoned_Date,Partial_Abandon_Date,Comment,Source Row,Review Status,Review Notes
2059,Solano County,2017 Rush Ranch,2017 Rush Ranch p1,3/2/2017,7/24/2017,Sequential,,Abandoned,"Bulrush, cattails",800,800,~3/7/2017,~4/17/2017,~4/29/2017,ND,ND,5/3/2017,ND,,4,OK,
2059,Solano County,2017 Rush Ranch,2017 Rush Ranch p2,3/2/2017,7/24/2017,Sequential,,Successful,"Bulrush, cattails",800,800,5/8/2017,5/18/2017,5/30/2017,6/12/2017,6/22/2017,ND,ND,,4,OK,
2059,Solano County,2017 Rush Ranch,2017 Rush Ranch p3,3/2/2017,7/24/2017,Sequential,,Successful,"Bulrush, cattails",800,800,6/2/2017,6/17/2017,6/29/2017,ND,ND,ND,ND,,4,OK,
3150,Iron Point,2018 Iron Point,2018 Iron Point p1,4/22/2018,5/19/2018,No Colony,,No Colony,Himalayan blackberry,2000,2000,ND,ND,ND,ND,ND,ND,ND,,5,OK,
3348,Markham Ravine,2018 Markham Ravine Main,2018 Markham Ravine p1,6/26/2018,7/23/2018,Unknown,,Successful,Himalayan blackberry,1000,1000,ND,ND,ND,ND,ND,ND,ND,,6,REVIEW,"p1Outcome is 'Successful', but all exported date fields are blank or ND."
3366,Markham Ravine,2018 Markham Ravine westside,2018 Markham Ravine - West p1,6/26/2018,7/13/2018,Unknown,,Successful,Himalayan blackberry,1000,1000,inf,inf,inf,7/6/2018,7/7/2018,ND,ND,2018 Markham Ravine Main:,7,OK,
3281,Placer County,2018 Red Wing Ranch,2018 Yankee Slough Ranch Preserve p1,5/4/2018,6/4/2018,Unknown,,Abandoned,"Himalayan blackberry, Bulrush, cattails",3000,3000,inf,5/5/2018,5/17/2018,ND,ND,5/22/2018,ND,,8,OK,
2719,Solano County,2018 Rush Ranch,2018 Rush Ranch p1,2/9/2018,6/26/2018,Simple,,Successful,"Bulrush, cattails",2000,2000,missed,5/14/2018,5/26/2018,6/11/2018,6/23/2018,ND,ND,,9,OK,
3682,San Jacinto Wildlife Area,2018 SJWA-rose-2,2018 San Jacinto Wildlife Area - Bridge St. Pond p1,4/10/2018,4/27/2018,Unknown,,Abandoned,"Bulrush, cattails",30000,30000,inf,4/19/2018,ND,ND,ND,4/22/2018,ND,,10,OK,
3417,San Jacinto Wildlife Area,2018 SJWA-rose-1,2018 San Jacinto Wildlife Area - Little Ramona p1,4/2/2018,4/10/2018,No Colony,,No Colony,"Bulrush, cattails",30000,30000,ND,ND,ND,ND,ND,ND,ND,2018 SJWA Little Ramona:,11,OK,
82621,San Jacinto Wildlife Area,2018 SJWA WSS,2018 SJWA Little Ramona p1,4/2/2018,5/1/2018,Unknown,,Abandoned,"Bulrush, cattails",30000,30000,4/10/2018,~4/18/2018,~4/30/2018,ND,ND,4/22/2018,ND,,12,OK,
5642,Sacramento National Wildlife Refuge Complex,2019 Colusa NWR 27-1,2019 Colusa NWR T27-1N p1,5/27/2019,8/12/2019,Simple,,Successful,"Bulrush, cattails",20000,20000,inf,missed,missed,6/27/2019,7/22/2019,ND,ND,,13,OK,
5643,Sacramento National Wildlife Refuge Complex,2019 Colusa NWR 27-2,2019 Colusa NWR T27-2S p1,5/21/2019,6/18/2019,Simple,,Partially Abandoned,"Bulrush, cattails",200,200,inf,5/17/2019,5/29/2019,~6/14/2019,~6/15/2019,ND,5/26/2019,,16,OK,
4455,Solano County,2019 Creed Road,2019 Denverton Creek p1,3/17/2019,7/7/2019,Sequential,,Successful,Himalayan blackberry,1000,1000,3/23/2019,4/28/2019,5/10/2019,5/23/2019,6/1/2019,ND,ND,,17,OK,
4455,Solano County,2019 Creed Road,2019 Denverton Creek p2,3/17/2019,7/7/2019,Sequential,,Abandoned,Himalayan blackberry,1000,1000,5/13/2019,5/23/2019,~6/4/2019,ND,ND,5/31/2019,ND,,17,OK,
4456,Solano County,2019 Hay Landfill,2019 Hay Landfill p1,4/8/2019,7/7/2019,Sequential,,Successful,"Bulrush, cattails",4000,4000,inf,4/15/2019,4/27/2019,5/11/2019,5/30/2019,ND,ND,,18,OK,
4456,Solano County,2019 Hay Landfill,2019 Hay Landfill p2,4/8/2019,7/7/2019,Sequential,,Partially Abandoned,"Bulrush, cattails",4000,4000,5/20/2019,5/28/2019,6/9/2019,6/23/2019,7/3/2019,ND,6/13/2019,,18,OK,
4979,Iron Point,2019 Iron Point,2019 Iron Point p1,4/24/2019,8/1/2019,Complex,"Asynchronous, Sequential",Successful,Himalayan blackberry,1500,1500,inf,4/21/2019,5/3/2019,5/14/2019,Continuous,ND,ND,,19,OK,
4979,Iron Point,2019 Iron Point,2019 Iron Point p2,4/24/2019,8/1/2019,Complex,"Asynchronous, Sequential",Successful,Himalayan blackberry,1500,1500,5/27/2019,6/2/2019,~6/14/2019,Continuous,Continuous,ND,ND,,19,OK,
4979,Iron Point,2019 Iron Point,2019 Iron Point p3,4/24/2019,8/1/2019,Complex,"Asynchronous, Sequential",Successful,Himalayan blackberry,1500,1500,5/27/2019,5/29/2019,6/10/2019,Continuous,7/7/2019,ND,ND,,19,OK,
4639,Solano County,2019 Leisure Town,2019 Leisure Town Road p1,3/17/2019,7/7/2019,Sequential,,Successful,"Bulrush, cattails",2000,2000,5/19/2019,missed,missed,6/21/2019,6/22/2019,ND,ND,,23,OK,
4639,Solano County,2019 Leisure Town,2019 Leisure Town Road p2,3/17/2019,7/7/2019,Sequential,,Successful,"Bulrush, cattails",2000,2000,ND,ND,ND,ND,ND,ND,ND,,23,REVIEW,"p2Outcome is 'Successful', but all exported date fields are blank or ND."
5637,Markham Ravine,2019 Markham Ravine,2019 Markham Ravine p1,5/10/2019,7/8/2019,Simple,,Partially Abandoned,"Himalayan blackberry, willow",1500,1500,inf,5/16/2019,5/28/2019,6/16/2019,6/20/2019,ND,5/28/2019,,24,OK,
5640,Markham Ravine,2019 Markham Ravine 2,2019 Markham Ravine 2 p1,5/10/2019,7/8/2019,Simple,,Partially Abandoned,"Himalayan blackberry, willow",10000,10000,inf,5/19/2019,5/31/2019,~6/9/2019,~6/21/2019,ND,5/24/2019,,26,OK,
5638,Solano County,2019 Rush Ranch,2019 Rush Ranch p1,2/6/2019,7/6/2019,Unknown,,Abandoned,"Bulrush, cattails",500,500,5/2/2019,5/9/2019,5/21/2019,ND,ND,5/22/2019,ND,,32,OK,
7657,Central Sacramento Valley,2020 Conaway Ranch,2020 Conaway Ranch p1,5/18/2020,7/10/2020,Asynchronous,,Successful,Cattails with bulrush,19000,19000,inf,5/25/2020,6/6/2020,6/18/2020,ND,ND,ND,,34,OK,
2908,Solano County,2020 Creed Road,2020 Denverton Creek p1,2/12/2020,7/11/2020,No Colony,,No Colony,Himalayan blackberry,1000,1000,ND,ND,ND,ND,ND,ND,ND,,35,OK,
57589,Monterey,2020 Fort Ord,2020 Fort Ord p1,4/8/2020,7/15/2020,Simple,,Successful,"Stinging nettle (Urtica spp.), Poison hemlock (Conium maculatum)",No Colony,No Colony,inf,4/12/2020,4/24/2020,5/9/2020,5/28/2020,ND,ND,,36,OK,
6199,Solano County,2020 Hay Landfill,2020 Hay Landfill p1,2/12/2020,7/10/2020,Asynchronous,,Successful,"Bulrush, cattails",4000,4000,3/16/2020,4/15/2020,4/27/2020,5/11/2020,6/14/2020,ND,ND,,38,OK,
6199,Solano County,2020 Hay Landfill,2020 Hay Landfill p2,2/12/2020,7/10/2020,Asynchronous,,Successful,"Bulrush, cattails",4000,4000,ND,ND,ND,ND,ND,ND,ND,,38,REVIEW,"p2Outcome is 'Successful', but all exported date fields are blank or ND."
7650,Iron Point,2020 Iron Point,2020 Iron Point p1,4/19/2020,8/5/2020,No Colony,,No Colony,Himalayan blackberry,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,,39,OK,
6404,Markham Ravine,2020 Markham Ravine,2020 Markham Ravine p1,4/28/2020,6/24/2020,Simple,,Partially Abandoned,"Himalayan blackberry, willow",1000,1000,inf,5/7/2020,5/19/2020,~5/30/2020,6/8/2020,ND,5/18/2020,,40,OK,
2915,Solano County,2020 Rush Ranch,2020 Rush Ranch p1,2/12/2020,7/10/2020,No Colony,,No Colony,"Bulrush, cattails",No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,,41,OK,
18572,Monterey,2020 Ohlone - Santa Lucia Preserve,2020 Santa Lucia Preserve - Ohlone Pond p1,3/25/2020,7/18/2020,Simple,,Successful,Bulrush (Schoenoplectus spp.),80,80,missed,~4/20/2020,~5/2/2020,5/12/2020,6/15/2020,ND,ND,,42,OK,
24130,Sacramento National Wildlife Refuge Complex,2021 Colusa NWR 27-1,2021 Colusa NWR T27-1&2 p1,4/21/2021,6/26/2021,Simple,,Successful,"Bulrush, cattails",Unknown,Unknown,5/11/2021,~5/21/2021,~6/2/2021,~6/13/2021,~6/17/2021,ND,ND,,43,OK,
24221,Sacramento National Wildlife Refuge Complex,2021 Colusa NWR 27-2,2021 Colusa NWR T27-2S p1,4/21/2021,6/21/2021,Unknown,,Unknown,"Bulrush, cattails","10,000",10000,5/19/2021,~6/1/2021,~6/13/2021,ND,ND,ND,ND,,44,OK,
21652,Central Sacramento Valley,2021 Conaway East,2021 Conaway East p1,5/20/2021,7/5/2021,Simple,,Successful,Cattails with bulrush,10000,10000,inf,5/30/2021,6/11/2021,6/20/2021,ND,ND,ND,2021 Conaway South:,45,OK,
24652,Central Sacramento Valley,2021 Conaway South,2021 Conaway South p1,5/20/2021,7/5/2021,Simple,,Successful,Cattails with bulrush,10000,10000,inf,5/29/2021,6/10/2021,6/23/2021,7/1/2021,ND,ND,,46,OK,
21591,Central Sacramento Valley,2021 Conaway West,2021 Conaway West p1,5/12/2021,6/28/2021,Simple,,Successful,Cattails with bulrush,10000,10000,inf,5/21/2021,6/2/2021,6/13/2021,ND,ND,ND,2021 Conaway South:,47,OK,
24122,CNLM,2021 Dagnino Pond,2021 Dagnino Pond p1,4/29/2021,7/12/2021,No Colony,,No Colony,"Bulrush, cattails, Mustard",No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,,48,OK,
21681,Solano County,2021 Creed Road,2021 Denverton Creek p1,2/2/2021,5/12/2021,No Colony,,No Colony,Himalayan blackberry,1000,1000,ND,ND,ND,ND,ND,ND,ND,,49,OK,
24651,Central Sacramento Valley,2021 Reeds Creek North,2021 Erle Road-Reeds Creek North p1,5/4/2021,5/20/2021,Unknown,,Abandoned,"Himalayan blackberry, lettuce",1000,1000,inf,ND,ND,ND,ND,5/14/2021,ND,2021 Erle Road-Reeds Creek South:,50,OK,
