site,old_site,breeding_type,outcome,hatch_date,abandon_date,partial_abandon_date,first_recording,last_recording,distance_to_colony,approx_colony_size,substrate
2017 Rush Ranch P1,2017 Rush Ranch P1,Sequential,Abandoned,~2017-04-29,2017-05-03,ND,,,,,
2017 Rush Ranch P2,2017 Rush Ranch P2,Sequential,Successful,2017-05-30,ND,ND,,,,,
2017 Rush Ranch P3,2017 Rush Ranch P3,Sequential,Successful,2017-06-29,ND,ND,,,,,
2018 Iron Point,2018 Iron Point,No Colony,No Colony,ND,ND,ND,4/22/2018,5/19/2018,15,2000,Himalayan blackberry
2018 Markham Ravine,2018 Markham Ravine Main,Unknown,Successful,ND,ND,ND,6/26/2018,7/23/2018,10m,1000,Himalayan blackberry
2018 Markham Ravine - West P1,2018 Markham Ravine westside P1,Unknown,Successful,ND,ND,ND,,,,,
2018 Yankee Slough Ranch Preserve P1,2018 Red Wing Ranch P1,Unknown,Abandoned,2018-05-17,2018-05-22,ND,,,,,
2018 Rush Ranch P1,2018 Rush Ranch P1,Simple,Successful,2018-05-26,ND,ND,,,,,
2018 SJWA Little Ramona P1,2018 SJWA WSS P1,Unknown,Abandoned,~2018-04-27,2018-04-22,ND,,,,,
2018 San Jacinto Wildlife Area - Little Ramona,2018 SJWA-rose-1,No Colony,No Colony,ND,ND,ND,4/2/2018,4/10/2018,10,30000,"Bulrush, cattails"
2018 San Jacinto Wildlife Area - Bridge St. Pond P1,2018 SJWA-rose-2 P1,Unknown,Abandoned,ND,2018-04-22,ND,,,,,
2019 Colusa NWR T27-1N P1,2019 Colusa NWR 27-1 P1,Simple,Successful,~2019-06-14(C),ND,ND,,,,,
2019 Colusa NWR T27-1N P2,2019 Colusa NWR 27-1 P2,,,~2019-07-03(C),,,,,,,
2019 Colusa NWR T27-2S P1,2019 Colusa NWR 27-2 P1,Simple,Partially Abandoned,2019-05-29,ND,2019-05-26,,,,,
2019 Denverton Creek P1,2019 Creed Road P1,Sequential,Successful,2019-05-10,ND,ND,,,,,
2019 Denverton Creek P2,2019 Creed Road P2,Sequential,Abandoned,2019-06-04(E),2019-05-31,ND,,,,,
2019 Hay Landfill P1,2019 Hay Landfill P1,Sequential,Successful,2019-04-28,ND,ND,,,,,
2019 Hay Landfill P2,2019 Hay Landfill P2,Sequential,Partially Abandoned,2019-06-09,ND,2019-06-13,,,,,
2019 Iron Point P1,2019 Iron Point P1,Complex,Successful,~2019-04-30,ND,ND,,,,,
2019 Iron Point P2,2019 Iron Point P2,Complex,Successful,2019-05-28,ND,ND,,,,,
2019 Iron Point P3,2019 Iron Point P3,Complex,Successful,2019-06-10,ND,ND,,,,,
2019 Leisure Town Road P1,2019 Leisure Town P1,Sequential,Successful,missed,ND,ND,,,,,
2019 Leisure Town Road P2,2019 Leisure Town P2,Sequential,Successful,2019-06-04,ND,ND,,,,,
2019 Markham Ravine 2 P1,2019 Markham Ravine 2 P1,Simple,Partially Abandoned,2019-05-28,ND,2019-05-24,,,,,
2019 Markham Ravine P1,2019 Markham Ravine P1,Simple,Partially Abandoned,2019-05-27,ND,2019-05-28,,,,,
2019 Riosa Redwing Ranch,2019 Red Wing Ranch,No Colony,No Colony,ND,ND,ND,4/24/2019,5/10/2019,No Colony,No Colony,"Himalayan blackberry, Bulrush, cattails"
2019 Rush Ranch P1,2019 Rush Ranch P1,Unknown,Abandoned,2019-05-21(E),2019-05-22,ND,,,,,
2020 Conaway Ranch P1,2020 Conaway Ranch P1,Asynchronous,Successful,~2020-06-04,ND,ND,,,,,
