site,old_site,breeding_type,outcome,hatch_date,abandon_date,partial_abandon_date,first_recording,last_recording,distance_to_colony,approx_colony_size,substrate
2020 Denverton Creek,2020 Creed Road,No Colony,No Colony,ND,ND,ND,2/12/2020,7/11/2020,125m,1000,Himalayan blackberry
2020 Fort Ord P1,2020 Fort Ord P1,Asynchronous,Successful,2020-04-24,ND,ND,,,,,
2020 Hay Landfill P1,2020 Hay Landfill P1,Complex,Successful,2020-04-27,ND,ND,,,,,
2020 Hay Landfill P2,2020 Hay Landfill P2,Complex,Successful,~2020-06-06,ND,ND,,,,,
2020 Iron Point,2020 Iron Point,No Colony,No Colony,ND,ND,ND,4/19/2020,8/5/2020,15,No Colony,Himalayan blackberry
2020 Markham Ravine P1,2020 Markham Ravine P1,Simple,Partially Abandoned,2020-05-19,ND,2020-05-18,,,,,
2020 Santa Lucia Preserve - Ohlone Pond P1,2020 Ohlone - Santa Lucia Preserve P1,Simple,Successful,~2020-05-01,ND,ND,,,,,
2020 Rush Ranch,2020 Rush Ranch,No Colony,No Colony,ND,ND,ND,2/12/2020,7/10/2020,No Colony,No Colony,"Bulrush, cattails"
2021 Colusa NWR T27-1&2 P1,2021 Colusa NWR 27-1 P1,Simple,Successful,~2021-06-02,ND,ND,,,,,
2021 Colusa NWR T27-2S P1,2021 Colusa NWR 27-2 P1,Unknown,Unknown,~2021-06-13,ND,ND,,,,,
2021 Conaway East P1,2021 Conaway East P1,Simple,Successful,~2021-06-08,ND,ND,,,,,
2021 Conaway South P1,2021 Conaway South P1,Simple,Successful,2021-06-09,ND,ND,,,,,
2021 Conaway West P1,2021 Conaway West P1,Simple,Successful,~2021-05-31,ND,ND,,,,,
2021 Denverton Creek,2021 Creed Road,No Colony,No Colony,ND,ND,ND,2/2/2021,5/12/2021,125m,1000,Himalayan blackberry
2021 Dagnino Pond,2021 Dagnino Pond,No Colony,No Colony,ND,ND,ND,4/29/2021,7/12/2021,53,No Colony,"Bulrush, cattails, Mustard"
2021 Virginia at Ostrom P1,2021 Foley Ranch P1,Sequential,Successful,2021-05-12,ND,ND,,,,,
2021 Virginia at Ostrom P2,2021 Foley Ranch P2,Sequential,Unknown,2021-06-13,ND,ND,,,,,
2021 Hale Road 2 P1,2021 Hale Road 2 P1,Simple,Successful,2021-05-14,ND,ND,,,,,
2021 Hay Landfill P1,2021 Hay Landfill P1,Unknown,Unknown,~2021-04-23,ND,ND,,,,,
2021 Iron Point P1,2021 Iron Point P1,Unknown,Abandoned,2021-05-04(E),2021-04-23,ND,,,,,
2021 Kern 1 P1,2021 Kern 1 P1,Simple,Successful,~2021-05-30,ND,ND,,,,,
2021 Kern 2,2021 Kern 2,No Colony,No Colony,ND,ND,ND,4/6/2021,7/30/2021,5,No Colony,Cattails
2021 Kern 3,2021 Kern 3,No Colony,No Colony,ND,ND,ND,4/6/2021,8/5/2021,40,No Colony,Bulrush
2021 Kern 4 P1,2021 Kern 4 P1,Simple,Partially Abandoned,~2021-05-13,ND,2021-05-07,,,,,
2021 Kern 5 P1,2021 Kern 5 P1,Asynchronous,Successful,~2021-04-25,ND,ND,,,,,
2021 Kern 5 P2,,,,2021-05-14,,,,,,,
2021 Kern 6,2021 Kern 6,No TRBL,No TRBL,ND,ND,ND,5/1/2021,8/21/2021,30,No Colony,Cattails
2021 Kern 7 P1,2021 Kern 7 P1,Unknown,Abandoned,2021-05-31,2021-06-05,ND,,,,,
2021 Markham Ravine,2021 Markham Ravine,No TRBL,No TRBL,ND,ND,ND,4/30/2021,6/23/2021,No Colony,No Colony,"Himalayan blackberry, willow"
2021 Orchard Creek P1,2021 Orchard Creek P1,Additions,Successful,2021-05-01,ND,ND,,,,,
2021 Orchard Creek P2,2021 Orchard Creek P2,Additions,Successful,2021-05-25,ND,ND,,,,,
2021 Panoche Creek Marsh East 1 P1,2021 Panoche Creek Preserve 1W P1,Simple,Partially Abandoned,2021-05-04,ND,2021-04-30,,,,,
2021 Panoche Creek Marsh East 2 P1,2021 Panoche Creek Preserve 2E P1,Simple,Successful,2021-05-02,ND,ND,,,,,
2021 Plumas Arboga P1,2021 Plumas Arboga P1,Unknown,Unknown,2021-05-27,ND,ND,,,,,
2021 Rancho Jamul P1,2021 Rancho Jamul P1,Asynchronous,Successful,ND,ND,ND,,,,,
2021 Erle Road-Reeds Creek North P1,2021 Reeds Creek North P1,Unknown,Abandoned,ND,2021-05-14,ND,,,,,
2021 Erle Road-Reeds Creek South P1,2021 Reeds Creek South P1,Unknown,Unknown,2021-05-18,ND,ND,,,,,
2021 Rodeo Grounds P1,2021 Rodeo Grounds 1 P1,Simple,Successful,2021-05-02,ND,ND,,,,,
2021 Rush Ranch,2021 Rush Ranch,No Colony,No Colony,ND,ND,ND,2/2/2021,5/13/2021,2m,No Colony,No Colony
2021 Sedgwick Reserve Pond P1,2021 Sedgwick P1,Unknown,Unknown,2021-04-28,ND,ND,,,,,
2021 San Jacinto Wildlife Area - Bridge Street Pond P1,2021 SJWA P1,Unknown,Abandoned,2021-06-15,2021-06-23,ND,,,,,
2021 Willey Wetlands 1 P1,2021 Willey Wetlands 1 P1,Simple,Successful,2021-06-20,ND,ND,,,,,
2021 Willey Wetlands 2 P1,2021 Willey Wetlands 2 P1,Simple,Successful,~2021-06-12,ND,ND,,,,,
2021 Willey Wetlands 3 P1,2021 Willey Wetlands 3 P1,Simple,Successful,inf,ND,ND,,,,,
2021 Wind Wolves Preserve P1,2021 Wind Wolves Preserve P1,Simple,Successful,2021-05-14,ND,ND,,,,,
2022 Baja Ciénega Redonda North P1,2022 Baja 1 P1,Asynchronous,Successful,~2022-04-12,ND,ND,,,,,
2022 Baja Ciénega Redonda North 2 P1,2022 Baja 2 P1,Asynchronous,Successful,~2022-04-13,ND,ND,,,,,
2022 Colusa NWR T27-1&2,2022 Colusa NWR T27.1,No TRBL,No TRBL,ND,ND,ND,4/18/2022,8/4/2022,No Colony,No Colony,"Bulrush, cattails"
2022 Colusa NWR T27-2S P1,2022 Colusa NWR T27.2 P1,Simple,Successful,2022-05-31,ND,ND,,,,,
2022 Conaway Ranch Reservoir P1,2022 Conaway East P1,Simple,Partially Abandoned,2022-05-23,ND,2022-05-20,,,,,
2022 Conaway New Easement Pond West,2022 Conaway New Easement Pond West,No TRBL,No TRBL,ND,ND,ND,5/11/2022,6/13/2022,No Colony,No Colony,Cattails with bulrush
2022 Conaway North A P1,2022 Conaway North A P1,Simple,Successful,2022-05-22,ND,ND,,,,,
2022 Conaway North P1,2022 Conaway North P1,Simple,Successful,2022-05-21,ND,ND,,,,,
2022 Denverton Creek P1,2022 Creed Road P1,Simple,Successful,2022-04-15,ND,ND,,,,,
2022 Virginia at Ostrom A,2022 Foley Ranch A,No Colony,No Colony,ND,ND,ND,4/24/2022,6/6/2022,20,5000,Himalayan blackberry
2022 Virginia at Ostrom B,2022 Foley Ranch B,No Colony,No Colony,ND,ND,ND,4/24/2022,6/6/2022,20m,5000,Himalayan blackberry
2022 Hay Landfill P1,2022 Hay Landfill P1,Sequential,Partially Abandoned,~2022-04-10,ND,2022-04-08,,,,,
2022 Hay Landfill P2,2022 Hay Landfill P2,Sequential,Successful,2022-05-19,ND,ND,,,,,
2022 Laguna Seca P1,2022 Laguna Seca P1,Sequential,Successful,~2022-04-15,ND,ND,,,,,
2022 Laguna Seca P2,2022 Laguna Seca P2,Sequential,Successful,2022-05-25,ND,ND,,,,,
2022 Los Vaqueros Playa P1,2022 Los Vaqueros Reservoir P1,Unknown,Successful,inf,ND,ND,,,,,
2022 Los Vaqueros Playa P2,2022 Los Vaqueros Reservoir P2,,,2022-04-19,ND,ND,,,,,
2022 Marsh Creek Reservoir,2022 Marsh Creek Reservoir,No TRBL,No TRBL,ND,ND,ND,4/15/2022,6/8/2022,No Colony,No Colony,Cattails
2022 Newberry Springs - Lake Wainani,2022 Newberry Springs - Lake Wainani,Unknown,Successful,inf,ND,ND,5/12/2022,5/20/2022,90m,500,"Cattails, willows"
2022 Santa Lucia Preserve - Ohlone Pond P1,2022 Ohlone - Santa Lucia Preserve P1,Asynchronous,Successful,~2022-05-02,ND,ND,,,,,
2022 Oregon State - Warm Springs Dizney Lane,2022 OR1,No Colony,No Colony,ND,ND,ND,4/18/2022,6/9/2022,10m,50,"Cattails, Himalayan blackberry"
2022 Oregon State - Prineville Woodward Rd P1,2022 OR2 P1,Simple,Successful,2022-05-18(E),ND,ND,,,,,
2022 Paicines Ranch - Teal Pond B P1,2022 Paicines Ranch - Teal Pond B P1,Simple,Successful,2022-04-25,ND,ND,,,,,
2022 Paicines Ranch - Teal Pond P1,2022 Paicines Ranch - Teal Pond P1,Simple,Successful,2022-04-22,ND,ND,,,,,
2022 Panoche Creek Preserve Location 3 P1,2022 Panoche Creek Preserve Loc3 P1,Simple,Successful,2022-04-20,ND,ND,,,,,
2022 Panoche Creek Marsh East 1,2022 Panoche Creek Preserve Loc4,No Colony,No Colony,ND,ND,ND,3/22/2022,4/14/2022,10m,4500,Cattails
2022 Panoche Creek Marsh East 2 P1,2022 Panoche Creek Preserve Loc5 P1,Simple,Successful,2022-04-20,ND,ND,,,,,
2022 Plumas Arboga 6 East P1,2022 Plumas Arboga East P1,Complex,Successful,inf,ND,ND,,,,,
2022 Plumas Arboga 6 East P2,2022 Plumas Arboga East P2,Complex,Successful,2022-05-22,ND,ND,,,,,
2022 Plumas Arboga 6 West P1,2022 Plumas Arboga West P1,Simple,Successful,2022-05-24,ND,ND,,,,,
2022 Private Site 1 - approximate lat lon P1,2022 Private Site 1 - not real lat lon P1,Asynchronous,Successful,~2022-04-28,ND,ND,,,,,
2022 Private Site 2 - approximate lat lon P1,2022 Private Site 2 - not real lat lon P1,Asynchronous,Successful,inf,ND,ND,,,,,
2022 Private Site 3 - approximate lat lon P1,2022 Private Site 3 - not real lat lon P1,Asynchronous,Successful,inf,ND,ND,,,,,
2022 Rancho Jamul P1,2022 Rancho Jamul P1,Asynchronous,Successful,2022-04-14,ND,ND,,,,,
2022 Sedgwick Reserve Pond P1,2022 Sedgwick P1,Sequential,Successful,2022-04-10,ND,ND,,,,,
2022 Sedgwick Reserve Pond P2,2022 Sedgwick P2,Sequential,Successful,2022-05-21,ND,ND,,,,,
2022 San Jacinto Wildlife Area - Bridge Street Pond P1,2022 SJWA P1,Asynchronous,Successful,~2022-05-27,ND,ND,,,,,
2022 Washington State - Harder Spring P1,2022 WA Harder Spring P1,Additions,Successful,~2022-05-17,ND,ND,,,,,
2022 Washington State - Harder Spring P2,2022 WA Harder Spring P2,Additions,Successful,2022-06-07,ND,ND,,,,,
2022 Washington State - McCain Wetands P1,2022 WA1 P1,Unknown,Successful,inf,ND,ND,,,,,
2022 Wind Wolves Preserve - Pleitito Creek,2022 Wind Wolves Preserve Pleitito Creek,No Colony,No Colony,ND,ND,ND,3/11/2022,5/26/2022,No Colony,No Colony,Stinging nettle
2022 Wind Wolves Preserve - Santiago Wetlands P1,2022 Wind Wolves Preserve Santiago Wetlands P1,Asynchronous,Successful,~2022-04-21,ND,ND,,,,,
2023 Baja Ciénega Redonda North P1,2023 Baja Rancho Cinega P1,Unknown,Successful,missed,ND,ND,,,,,
2023 San Jacinto Wildlife Area - Bridge St. Pond,2023 Bridge St Pond,No TRBL,No TRBL,ND,ND,ND,4/18/2023,5/6/2023,No Colony,No Colony,"Bulrush, cattails"
2023 Colusa NWR T27-1&2 P1,2023 Colusa NWR T27.1 P1,Simple,Partially Abandoned,2023-07-16,ND,2023-07-24,,,,,
2023 Colusa NWR T27-2S P1,2023 Colusa NWR T27.2 P1,Simple,Successful,2023-06-20,ND,ND,,,,,
2023 Conaway Ranch Headquarters P1,2023 Conaway Ranch - HQ P1,Simple,Successful,2023-06-13,ND,ND,,,,,
2023 Conaway Ranch NE P1,2023 Conaway Ranch NE P1,Simple,Successful,2023-06-11,ND,ND,,,,,
2023 Conaway Ranch North 1 P1,2023 Conaway Ranch North 1 P1,Simple,Successful,2023-06-18,ND,ND,,,,,
2023 Conaway Ranch North 2 P1,2023 Conaway Ranch North 2 P1,Simple,Successful,2023-06-28,ND,ND,,,,,
2023 Denverton Creek P1,2023 Creed Rd P1,Simple,Abandoned,2023-05-21(E),2023-05-10,ND,,,,,
2023 Delevan NWR T43-1,2023 Delevan NWR T43.1,No TRBL,No TRBL,ND,ND,ND,5/16/2023,7/18/2023,No Colony,No Colony,"Bulrush, cattails, Himalayan blackberry"
2023 Delevan NWR T43-2,2023 Delevan NWR T43.2,No TRBL,No TRBL,ND,ND,ND,5/16/2023,9/16/2023,No Colony,No Colony,"Bulrush, cattails, Himalayan blackberry"
2023 Delevan NWR T6,2023 Delevan T6,No TRBL,No TRBL,ND,ND,ND,5/30/2023,7/25/2023,No Colony,No Colony,Bulrush
2023 Hale Road P1,2023 Hale Road P1,Sequential,Successful,2023-06-06,ND,ND,,,,,
2023 Hale Road P2,2023 Hale Road P2,Sequential,Unknown,ND,ND,ND,,,,,
2023 Hale Road Site 2 P1,2023 Hale Road Site 2 P1,Simple,Successful,2023-06-06,ND,ND,,,,,
2023 Iron Point P1,2023 Iron Point P1,Simple,Partially Abandoned,inf,ND,2023-05-13,,,,,
2023 Kentucky Lateral P1,2023 Kentucky Lateral P1,Asynchronous,Successful,2023-04-26,ND,ND,,,,,
2023 Kern - Canebreak Ecological Reserve 4,2023 Kern - Canebreak Ecological Reserve 4,No TRBL,No TRBL,ND,ND,ND,5/25/2023,8/11/2023,0m,No Colony,Stinging nettle
2023 Kern - Headquarters 2 P1,2023 Kern - HQ2 P1,Sequential,Successful,2023-06-08,ND,ND,,,,,
2023 Kern - Headquarters 2 P2,2023 Kern - HQ2 P2,Sequential,Successful,2023-07-05,ND,ND,,,,,
2023 45 Sump P1,2023 Laguna Fry Confluence - 45 Sump P1,Simple,Successful,2023-05-11,ND,ND,,,,,
2023 Laguna Frye Confluence 3 P1,2023 Laguna Fry Confluence - Site 1 P1,Simple,Successful,2023-05-17,ND,ND,,,,,
2023 Los Vaqueros - Walnut Trail Marsh P1,2023 Los Vaqueros - Walnut Trail Marsh P1,Simple,Abandoned,2023-04-26,2023-04-30,ND,,,,,
2023 Los Vaqueros Playa P1,2023 Los Vaqueros Reservoir P1,Complex,Successful,2023-04-28,ND,ND,,,,,
2023 Los Vaqueros Playa P2,2023 Los Vaqueros Reservoir P2,Complex,Successful,2023-06-15,ND,ND,,,,,
2023 Markham Ravine P1,2023 Markham Ravine P1,Simple,Partially Abandoned,2023-05-31,ND,2023-05-23,,,,,
2023 Merced NWR - Cottonwood Trail P1,2023 Merced NWR - Cottonwood P1,Sequential,Successful,inf,ND,ND,,,,,
2023 Merced NWR - Cottonwood Trail P2,2023 Merced NWR - Cottonwood P2,Sequential,Partially Abandoned,~2023-05-27,ND,2023-06-02,,,,,
2023 Merced NWR - Deadman Wetland Ditch P1,2023 Merced NWR Deadman Wetland Ditch P1,Simple,Abandoned,2023-05-31,2023-06-04,ND,,,,,
2023 North Regional Pond P1,2023 North Regional Pond P1,Simple,Successful,~2023-05-03,ND,ND,,,,,
2023 Oregon State - Warm Springs Dizney Lane P1,2023 OR Dizney Rd P1,Simple,Partially Abandoned,~2023-05-17,ND,2023-05-25,,,,,
2023 Oregon State - Metolius Eureka Lane P1,2023 OR Eureka Rd P1,Simple,Successful,~2023-05-17,ND,ND,,,,,
2023 Oregon State - Prineville Grimes Rd P1,2023 OR Prineville North P1,Sequential,Successful,2023-05-15,ND,ND,,,,,
2023 Oregon State - Prineville Grimes Rd P2,2023 OR Prineville North P2,Sequential,Successful,~2023-06-19,ND,ND,,,,,
2023 Panoche Creek Preserve - Corrals North West P1,2023 Panoche Creek Preserve - Corrals NW P1,Simple,Successful,inf,ND,ND,,,,,
2023 Panoche Creek Preserve - Corrals Southeast P1,2023 Panoche Creek Preserve - Corrals SE P1,Simple,Successful,inf,ND,ND,,,,,
2023 Petersen Ranch Pond - East,2023 Peterson Ranch Pond - East,No Colony,No Colony,ND,ND,ND,4/5/2023,7/28/2023,50m,No Colony,Bulrush
2023 Petersen Ranch Pond - West,2023 Peterson Ranch Pond - West,No Colony,No Colony,ND,ND,ND,4/5/2023,7/28/2023,50m,No Colony,Bulrush
2023 Plumas Arboga 2 P1,2023 Plumas Arboga 2 P1,Simple,Successful,2023-06-07,ND,ND,,,,,
2023 Plumas Arboga 8 P1,2023 Plumas Arboga 8 - North Regional Pond P1,Sequential,Partially Abandoned,~2023-05-04,ND,2023-05-06,,,,,
2023 Plumas Arboga 8 P2,2023 Plumas Arboga 8 - North Regional Pond P2,Sequential,Successful,2023-06-15,ND,ND,,,,,
2023 Rancho Jamul - North Pond P1,2023 Rancho Jamul North Pond - fix lat lon P1,Simple,Successful,2023-05-13(E),ND,ND,,,,,
2023 Rancho Jamul - Site 1 P1,2023 Rancho Jamul Site 1 fix lat lon P1,Sequential,Successful,~2023-04-23,ND,ND,,,,,
2023 Rancho Jamul - Site 1 P2,2023 Rancho Jamul Site 1 fix lat lon P2,Sequential,Successful,~2023-06-16,ND,ND,,,,,
2023 San Luis NWR - Tanager Slough P1,2023 San Luis Bear Creek P1,Simple,Partially Abandoned,2023-07-05,ND,2023-06-20,,,,,
2023 San Luis NWR - Fiddleneck Lake P1,2023 San Luis NWR - West Bank Creek P1,Simple,Partially Abandoned,2023-06-14,ND,2023-06-05,,,,,
2023 Sedgwick Reserve Pond P1,2023 Sedgwick P1,Asynchronous,Successful,~2023-04-15,ND,ND,,,,,
2023 South Virginia Road 3,2023 South Virginia Road 3,No TRBL,No TRBL,ND,ND,ND,4/11/2023,6/6/2023,No Colony,No Colony,"Himalayan blackberry, willows"
2023 Virginia at Ostrom,2023 Virginia at Ostrom,No Colony,No Colony,ND,ND,ND,4/18/2023,6/14/2023,No Colony,No Colony,"Himalayan blackberry, cattails"
2023 Washington State - Harder Spring P1,2023 WA Harder Spring P1,Sequential,Successful,missed,ND,ND,,,,,
2023 Washington State - Harder Spring P2,2023 WA Harder Spring P2,Sequential,Successful,missed,ND,ND,,,,,
2023 Washington State - McCain Wetlands P1,2023 WA McCain Wetlands P1,Simple,Partially Abandoned,~2023-05-10,ND,2023-05-21,,,,,
2023 Laguna Frye Confluence 1 P1,2023 Weagell Property 1 P1,Complex,Successful,2023-05-03,ND,ND,,,,,
2023 Laguna Frye Confluence 1 P2,2023 Weagell Property 1 P2,Complex,Successful,2023-05-24,ND,ND,,,,,
2023 Laguna Frye Confluence 1 P3,2023 Weagell Property 1 P3,Complex,Successful,~2023-06-08,ND,ND,,,,,
2023 Laguna Frye Confluence 2 P1,2023 Weagell Property 2 P1,Sequential,Successful,~2023-05-17,ND,ND,,,,,
2023 Laguna Frye Confluence 2 P2,2023 Weagell Property 2 P2,Sequential,Unknown,ND,ND,ND,,,,,
2023 San Jacinto Wildlife Area West of Davis Road P1,2023 West of Davis P1,Sequential,Successful,inf,ND,ND,,,,,
2023 San Jacinto Wildlife Area West of Davis Road P2,2023 West of Davis P2,Sequential,Successful,~2023-05-20,ND,ND,,,,,
2023 Wind Wolves Preserve - Los Lobos P1,2023 Wind Wolves Preserve site 1 P1,Asynchronous,Successful,~2023-05-03,ND,ND,,,,,
2023 Wind Wolves Preserve - Santiago Wetlands P1,2023 Wind Wolves Preserve Site 2 P1,Asynchronous,Successful,~2023-04-29,ND,ND,,,,,
2024 Baja Lago Mesa Redonda P1,2024 Baja Lago Mesa Redonda P1,Asynchronous,Successful,inf,ND,ND,,,,,
2024 Baja Lago Mesa Redonda P2,2024 Baja Lago Mesa Redonda P2,Asynchronous,Successful,2024-05-22,ND,ND,,,,,
2024 Baja Ciénega Redonda North P1,2024 Baja Rancho Cinega Redonda 1 P1,Complex,Successful,inf,ND,ND,,,,,
2024 Baja Ciénega Redonda North P2,2024 Baja Rancho Cinega Redonda 1 P2,Complex,Successful,~2024-05-23,ND,ND,,,,,
2024 Baja Ciénega Redonda South P1,2024 Baja Rancho Cinega Redonda 2 P1,Sequential,Successful,2024-04-29,ND,ND,,,,,
2024 Baja Ciénega Redonda South P2,2024 Baja Rancho Cinega Redonda 2 P2,Sequential,Successful,2024-06-04,ND,ND,,,,,
2024 Colusa NWR T27-1&2 P1,2024 Colusa NWR T27.1 P1,Simple,Partially Abandoned,2024-06-13,ND,2024-06-19,,,,,
2024 Colusa NWR T27-2S,2024 Colusa NWR T27.2,No Colony,No Colony,ND,ND,ND,4/24/2024,8/4/2024,5m,No Colony,"Bulrush, cattails"
2024 Dagnino Pond P1,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area P1,Simple,Successful,2024-05-31,ND,ND,,,,,
2024 Kern 1,2024 Kern 1 - check lat lon,No Colony,No Colony,ND,ND,ND,4/8/2024,8/12/2024,NEED,NEED,NEED
2024 Los Vaqueros Playa P1,2024 Los Vaqueros Reservoir P1,Sequential,Partially Abandoned,~2024-05-03,ND,2024-04-26,,,,,
2024 Los Vaqueros Playa P2,2024 Los Vaqueros Reservoir P2,Sequential,Successful,2024-06-09,ND,ND,,,,,
2024 Markham Ravine 1,2024 Markham Ravine 1,No TRBL,No TRBL,ND,ND,ND,5/7/2024,5/24/2024,No Colony,No Colony,"Himalayan blackberry, willow"
2024 Markham Ravine 2,2024 Markham Ravine 2,No TRBL,No TRBL,ND,ND,ND,5/7/2024,5/24/2024,No Colony,No Colony,"Himalayan blackberry, willow"
2024 Markham Ravine 3,2024 Markham Ravine 3,No TRBL,No TRBL,ND,ND,ND,5/7/2024,5/24/2024,No Colony,No Colony,"Himalayan blackberry, willow"
2024 Merced NWR - Duck Slough Farmfield P1,2024 Merced NWR - Cottonwood Trail P1,Unknown,Successful,missed,ND,ND,,,,,
2024 Moore's Lake P1,2024 Moore Lake - confirm lat lon P1,No TRBL,No TRBL,ND,ND,ND,,,,,
2024 Newberry Springs  - Croydon Avenue P1,2024 Newberry Springs P1,Unknown,Successful,inf,ND,ND,,,,,
2024 North Regional Pond,2024 North Regional Pond,No Colony,No Colony,ND,ND,ND,4/16/2024,6/2/2024,20m,6000,"Mustard, milk thistle"
2024 Santa Lucia Preserve - Ohlone Pond P1,2024 Ohlone - Santa Lucia Preserve P1,Complex,Successful,2024-05-02,ND,ND,,,,,
2024 Santa Lucia Preserve - Ohlone Pond P2,2024 Ohlone - Santa Lucia Preserve P2,Complex,Successful,2024-05-24,ND,ND,,,,,
2024 Santa Lucia Preserve - Ohlone Pond P3,2024 Ohlone - Santa Lucia Preserve P3,Complex,Successful,2024-06-17,ND,ND,,,,,
2024 Oregon State -  Metolius Eureka Lane,2024 OR Eureka Lane,No TRBL,No TRBL,ND,ND,ND,5/4/2024,7/14/2024,10m,75-100,"Cattails, Himalayan blackberry"
2024 Panoche Creek Marsh East P1,2024 Panoche Creek Preserve - Dollar Marsh East P1,Simple,Successful,2024-04-29,ND,ND,,,,,
2024 Panoche Creek Marsh East P2,2024 Panoche Creek Preserve - Dollar Marsh East P2,Simple,Unknown,~2024-06-08,ND,ND,,,,,
2024 Panoche Creek Marsh South P1,2024 Panoche Creek Preserve - Dollar Marsh South P1,Simple,Successful,2024-05-01,ND,ND,,,,,
2024 Panoche Creek Marsh West P1,2024 Panoche Creek Preserve - Dollar Marsh West P1,Simple,Successful,2024-05-05,ND,ND,,,,,
2024 Rancho Jamul - Main Pond 1 P1,2024 Rancho Jamul - Main Pond 1 P1,Complex,Unknown,2024-04-25(E),ND,ND,,,,,
2024 Rancho Jamul - Main Pond 1 P2,2024 Rancho Jamul - Main Pond 1 P2,Complex,Successful,2024-05-28(E),ND,ND,,,,,
2024 Rancho Jamul - Main Pond 2 P1,2024 Rancho Jamul - Main Pond 2 P1,Complex,Successful,2024-04-25(E),ND,ND,,,,,
2024 Rancho Jamul - Main Pond 2 P2,2024 Rancho Jamul - Main Pond 2 P2,Complex,Successful,~2024-05-24,ND,ND,,,,,
2024 Rancho Jamul - North Pond,2024 Rancho Jamul - North Pond,No Colony,No Colony,ND,ND,ND,3/27/2024,6/22/2024,NEED,NEED,NEED
2024 Sedgwick Reserve Pond P1,2024 Sedgwick P1,Asynchronous,Successful,~2024-04-18,ND,ND,,,,,
2024 San Jacinto Wildlife Area - Thistle Patch NE of Bridge Street Pond P1,2024 SJWA Thistle NW of Bridge Street Pond P1,Simple,Successful,inf,ND,ND,,,,,
