Site Name,Pulse Name,Date Used,Window Start,Window End,Earliest Rec,Total Recordings in Window,Total Insect 30 Calls Present,Ratio Insect 30,Total Insect 31 Calls Present,Ratio Insect 31,Total Insect 32 Calls Present,Ratio Insect 32,Total Insect 33 Calls Present,Ratio Insect 33,Total Recordings All Types,Total Insect Calls Present All Types,Ratio All Types
2022 SJWA,2022 SJWA p1,Hatch,2022-05-26,2022-06-06,2022-05-26,864,0,0.0,47,0.0544,23,0.0266,5,0.0058,864,63,0.0729
2022 Paicines Ranch - Teal Pond,2022 Paicines Ranch - Teal Pond p1,Hatch,2022-04-22,2022-05-03,2022-04-22,864,0,0.0,52,0.0602,248,0.287,33,0.0382,864,283,0.3275
2022 OR2,2022 OR2 p1,Hatch,2022-05-16,2022-05-27,2022-05-16,1728,0,0.0,0,0.0,0,0.0,0,0.0,1728,0,0.0
2022 Newberry Springs - Lake Wainani,2022 Newberry Springs - Lake Wainani p1,n/a,pre,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2022 Marsh Creek Reservoir,2022 Marsh Creek Reservoir p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2022 Laguna Seca,2022 Laguna Seca p1,Hatch,2022-04-15,2022-04-26,2022-04-15,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2022 Laguna Seca,2022 Laguna Seca p2,Hatch,2022-05-25,2022-06-05,2022-05-25,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2022 Creed Road,2022 Creed Road p1,Hatch,2022-04-15,2022-04-26,2022-04-15,864,0,0.0,1,0.0012,2,0.0023,0,0.0,864,2,0.0023
2022 Colusa NWR T27.2,2022 Colusa NWR T27.2 p1,Hatch,2022-05-31,2022-06-11,2022-05-31,864,5,0.0058,76,0.088,105,0.1215,13,0.015,864,136,0.1574
2022 Wind Wolves Preserve Santiago Wetlands,2022 Wind Wolves Preserve Santiago Wetlands p1,Hatch,2022-04-20,2022-05-01,2022-04-20,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2022 Wind Wolves Preserve Pleitito Creek,2022 Wind Wolves Preserve Pleitito Creek p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2022 Ohlone - Santa Lucia Preserve,2022 Ohlone - Santa Lucia Preserve p1,Hatch,2022-05-02,2022-05-13,2022-05-02,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2022 Conaway New Easement Pond West,2022 Conaway New Easement Pond West p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2022 Conaway North,2022 Conaway North p1,Hatch,2022-05-21,2022-06-01,2022-05-21,1728,0,0.0,3,0.0017,19,0.011,47,0.0272,1728,66,0.0382
2022 Conaway East,2022 Conaway East p1,Hatch,2022-05-23,2022-06-03,2022-05-23,1728,0,0.0,13,0.0075,29,0.0168,57,0.033,1728,77,0.0446
2022 Los Vaqueros Reservoir,2022 Los Vaqueros Reservoir p1,Hatch,2022-04-19,2022-04-30,2022-04-19,864,0,0.0,36,0.0417,131,0.1516,19,0.022,864,143,0.1655
2022 Foley Ranch A,2022 Foley Ranch A p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2022 Panoche Creek Preserve Loc5,2022 Panoche Creek Preserve Loc5 p1,Hatch,2022-04-20,2022-05-01,2022-04-20,864,0,0.0,45,0.0521,139,0.1609,26,0.0301,864,166,0.1921
2022 Private Site 1 - not real lat lon,2022 Private Site 1 - not real lat lon p1,Hatch,2022-04-30,2022-05-11,2022-04-30,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2022 Private Site 3 - not real lat lon,2022 Private Site 3 - not real lat lon p1,Fledge,2022-04-28,2022-05-09,2022-04-28,864,1,0.0012,0,0.0,5,0.0058,0,0.0,864,6,0.0069
2022 Private Site 2 - not real lat lon,2022 Private Site 2 - not real lat lon p1,Fledge,2022-04-14,2022-04-25,2022-04-19,458,0,0.0,2,0.0044,4,0.0087,8,0.0175,458,9,0.0197
2022 Baja 1,2022 Baja 1 p1,Hatch,2022-04-14,2022-04-25,2022-04-14,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 OR Eureka Rd,2023 OR Eureka Rd p1,Hatch,2023-05-19,2023-05-30,2023-05-19,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 WA McCain Wetlands,2023 WA McCain Wetlands p1,Hatch,2023-05-15,2023-05-26,2023-05-15,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 Baja Rancho Cinega,2023 Baja Rancho Cinega p1,Fledge,2023-04-17,2023-04-28,2023-04-17,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 Baja Rancho Cinega,2023 Baja Rancho Cinega p2,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 Baja Rancho Cinega,2023 Baja Rancho Cinega p3,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 Baja Rancho Cinega,2023 Baja Rancho Cinega p4,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 OR Dizney Rd,2023 OR Dizney Rd p1,Hatch,2023-05-19,2023-05-30,2023-05-19,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 WA Harder Spring,2023 WA Harder Spring p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 WA Harder Spring,2023 WA Harder Spring p2,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 Los Vaqueros - Walnut Trail Marsh,2023 Los Vaqueros - Walnut Trail Marsh p1,Hatch,2023-04-26,2023-05-07,2023-04-26,864,0,0.0,49,0.0567,148,0.1713,49,0.0567,864,158,0.1829
2023 Kentucky Lateral,2023 Kentucky Lateral p1,Hatch,2023-04-26,2023-05-07,2023-04-26,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 Markham Ravine,2023 Markham Ravine p1,Hatch,2023-05-31,2023-06-11,2023-05-31,864,13,0.015,55,0.0637,134,0.1551,85,0.0984,864,215,0.2488
2023 Plumas Arboga 8 - North Regional Pond,2023 Plumas Arboga 8 - North Regional Pond p1,Hatch,2023-05-06,2023-05-17,2023-05-06,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 Plumas Arboga 8 - North Regional Pond,2023 Plumas Arboga 8 - North Regional Pond p2,Hatch,2023-06-15,2023-06-26,2023-06-15,864,0,0.0,0,0.0,0,0.0,3,0.0035,864,3,0.0035
2023 Bridge St Pond,2023 Bridge St Pond p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 West of Davis,2023 West of Davis p1,n/a,pre,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 West of Davis,2023 West of Davis p2,Hatch,2023-05-22,2023-06-02,2023-05-22,864,0,0.0,70,0.081,0,0.0,0,0.0,864,70,0.081
2023 Peterson Ranch Pond - East,2023 Peterson Ranch Pond - East p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 Los Vaqueros Reservoir,2023 Los Vaqueros Reservoir p1,Hatch,2023-04-28,2023-05-09,2023-04-28,864,0,0.0,30,0.0347,94,0.1088,14,0.0162,864,106,0.1227
2023 Los Vaqueros Reservoir,2023 Los Vaqueros Reservoir p2,Hatch,2023-06-15,2023-06-26,2023-06-15,863,1,0.0012,0,0.0,33,0.0382,0,0.0,863,34,0.0394
2023 OR Prineville North,2023 OR Prineville North p1,Hatch,2023-05-15,2023-05-26,2023-05-15,862,0,0.0,0,0.0,0,0.0,0,0.0,862,0,0.0
2023 OR Prineville North,2023 OR Prineville North p2,Hatch,2023-06-20,2023-07-01,2023-06-20,864,0,0.0,0,0.0,12,0.0139,0,0.0,864,12,0.0139
2023 Merced NWR - Cottonwood,2023 Merced NWR - Cottonwood p1,n/a,pre,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 Merced NWR - Cottonwood,2023 Merced NWR - Cottonwood p2,Hatch,2023-05-25,2023-06-05,2023-05-25,864,0,0.0,89,0.103,174,0.2014,121,0.14,864,272,0.3148
2023 San Luis Bear Creek,2023 San Luis Bear Creek p1,Hatch,2023-07-02,2023-07-13,2023-07-02,864,0,0.0,81,0.0938,164,0.1898,201,0.2326,864,316,0.3657
2023 North Regional Pond,2023 North Regional Pond p1,Hatch,2023-05-05,2023-05-16,2023-05-05,861,0,0.0,0,0.0,0,0.0,0,0.0,861,0,0.0
2023 Delevan NWR T43.1,2023 Delevan NWR T43.1 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 Colusa NWR T27.1,2023 Colusa NWR T27.1 p1,Hatch,2023-07-16,2023-07-27,2023-07-16,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 Virginia at Ostrom,2023 Virginia at Ostrom p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 Iron Point,2023 Iron Point p1,Fledge,2023-05-13,2023-05-24,2023-05-13,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 Laguna Fry Confluence - 45 Sump,2023 Laguna Fry Confluence - 45 Sump p1,Hatch,2023-05-11,2023-05-22,2023-05-11,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 Creed Rd,2023 Creed Rd p1,Hatch,2023-05-18,2023-05-29,2023-05-18,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 Hale Road,2023 Hale Road p1,Hatch,2023-06-06,2023-06-17,2023-06-06,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 Hale Road,2023 Hale Road p2,n/a,post,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 San Luis NWR - West Bank Creek,2023 San Luis NWR - West Bank Creek p1,Hatch,2023-06-13,2023-06-24,2023-06-13,864,15,0.0174,14,0.0162,47,0.0544,16,0.0185,864,75,0.0868
2023 Laguna Fry Confluence - Site 1,2023 Laguna Fry Confluence - Site 1 p1,Hatch,2023-05-16,2023-05-27,2023-05-16,864,0,0.0,24,0.0278,54,0.0625,38,0.044,864,85,0.0984
2023 Sedgwick,2023 Sedgwick p1,Hatch,2023-04-15,2023-04-26,2023-04-15,864,0,0.0,16,0.0185,155,0.1794,39,0.0451,864,188,0.2176
2023 Kern - Canebreak Ecological Reserve 4,2023 Kern - Canebreak Ecological Reserve 4 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 Wind Wolves Preserve Site 2,2023 Wind Wolves Preserve Site 2 p1,Hatch,2023-05-01,2023-05-12,2023-05-01,864,0,0.0,0,0.0,1,0.0012,0,0.0,864,1,0.0012
2023 Kern - HQ2,2023 Kern - HQ2 p1,Hatch,2023-06-08,2023-06-19,2023-06-08,864,4,0.0046,2,0.0023,2,0.0023,0,0.0,864,6,0.0069
2023 Kern - HQ2,2023 Kern - HQ2 p2,Hatch,2023-07-13,2023-07-24,2023-07-13,862,10,0.0116,0,0.0,0,0.0,0,0.0,862,10,0.0116
2023 Wind Wolves Preserve site 1,2023 Wind Wolves Preserve site 1 p1,Hatch,2023-05-05,2023-05-16,2023-05-05,863,0,0.0,0,0.0,6,0.007,0,0.0,863,6,0.007
2023 Delevan T6,2023 Delevan T6 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 Conaway Ranch - HQ,2023 Conaway Ranch - HQ p1,Hatch,2023-06-13,2023-06-24,2023-06-13,864,0,0.0,0,0.0,2,0.0023,0,0.0,864,2,0.0023
2023 Conaway Ranch NE,2023 Conaway Ranch NE p1,Hatch,2023-06-11,2023-06-22,2023-06-11,864,0,0.0,0,0.0,1,0.0012,1,0.0012,864,2,0.0023
2023 Plumas Arboga 2,2023 Plumas Arboga 2 p1,Hatch,2023-06-07,2023-06-18,2023-06-07,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 Conaway Ranch North 2,2023 Conaway Ranch North 2 p1,Hatch,2023-06-28,2023-07-09,2023-06-28,864,0,0.0,4,0.0046,6,0.0069,5,0.0058,864,11,0.0127
2023 Conaway Ranch North 1,2023 Conaway Ranch North 1 p1,Hatch,2023-06-18,2023-06-29,2023-06-18,864,0,0.0,2,0.0023,85,0.0984,51,0.059,864,136,0.1574
2023 South Virginia Road 3,2023 South Virginia Road 3 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 Merced NWR Deadman Wetland Ditch,2023 Merced NWR Deadman Wetland Ditch p1,Hatch,2023-05-30,2023-06-10,2023-05-30,864,1,0.0012,14,0.0162,84,0.0972,22,0.0255,864,106,0.1227
2023 Weagell Property 1,2023 Weagell Property 1 p1,Hatch,2023-05-03,2023-05-14,2023-05-03,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 Weagell Property 1,2023 Weagell Property 1 p2,Hatch,2023-05-16,2023-05-27,2023-05-16,864,0,0.0,1,0.0012,3,0.0035,0,0.0,864,3,0.0035
2023 Weagell Property 1,2023 Weagell Property 1 p3,Hatch,2023-06-06,2023-06-17,2023-06-06,864,1,0.0012,39,0.0451,84,0.0972,55,0.0637,864,141,0.1632
2023 Weagell Property 1,2023 Weagell Property 1 p4,Hatch,2023-06-13,2023-06-24,2023-06-13,399,1,0.0025,22,0.0551,46,0.1153,26,0.0652,399,74,0.1855
2023 Rancho Jamul North Pond - fix lat lon,2023 Rancho Jamul North Pond - fix lat lon p1,Hatch,2023-05-16,2023-05-27,2023-05-16,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 Rancho Jamul Site 1 fix lat lon,2023 Rancho Jamul Site 1 fix lat lon p1,Hatch,2023-04-25,2023-05-06,2023-04-25,864,10,0.0116,0,0.0,0,0.0,0,0.0,864,10,0.0116
2023 Rancho Jamul Site 1 fix lat lon,2023 Rancho Jamul Site 1 fix lat lon p2,Hatch,2023-06-22,2023-07-03,2023-06-22,864,12,0.0139,0,0.0,0,0.0,0,0.0,864,12,0.0139
2023 Panoche Creek Preserve - Corrals SE,2023 Panoche Creek Preserve - Corrals SE p1,Fledge,2023-04-26,2023-05-07,2023-04-29,594,0,0.0,0,0.0,2,0.0034,0,0.0,594,2,0.0034
2023 Delevan NWR T43.2,2023 Delevan NWR T43.2 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2022 Panoche Creek Preserve Loc3,2022 Panoche Creek Preserve Loc3 p1,Hatch,2022-04-20,2022-05-01,2022-04-20,865,0,0.0,36,0.0416,124,0.1434,47,0.0543,865,170,0.1965
2022 Panoche Creek Preserve Loc4,2022 Panoche Creek Preserve Loc4 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
