Site Name,Pulse Name,Date Used,Window Start,Window End,Earliest Rec,Total Recordings in Window,Total Pacific Tree Frog Calls Present,Ratio Pacific Tree Frog
2021 Creed Road,2021 Denverton Creek p1,n/a,ND,n/a,n/a,0,0,n/a
2021 Dagnino Pond,2021 Dagnino Pond p1,n/a,ND,n/a,n/a,0,0,n/a
2021 Foley Ranch,2021 Foley Ranch p1,Hatch,2021-05-12,2021-05-23,n/a,864,0,0.0
2021 Foley Ranch,2021 Foley Ranch p2,Hatch,2021-06-12,2021-06-23,n/a,186,0,0.0
2021 Hale Road 2,2021 Hale Road 2 p1,Hatch,2021-05-14,2021-05-25,n/a,864,0,0.0
2021 Hay Landfill,2021 Hay Landfill p1,Hatch,2021-04-24,2021-05-05,n/a,273,0,0.0
2021 Iron Point,2021 Iron Point p1,n/a,ND,n/a,n/a,0,0,n/a
2021 Kern 1,2021 Kern 1 p1,Hatch,2021-05-31,2021-06-11,n/a,864,0,0.0
2021 Kern 2,2021 Kern 2 p1,n/a,ND,n/a,n/a,0,0,n/a
2021 Kern 3,2021 Kern 3 p1,n/a,ND,n/a,n/a,0,0,n/a
2021 Kern 4,2021 Kern 4 p1,Hatch,2021-05-22,2021-06-02,n/a,864,0,0.0
2021 Kern 5,2021 Kern 5 p1,Hatch,2021-04-30,2021-05-11,n/a,864,0,0.0
2021 Kern 5,2021 Kern 5 p2,n/a,ND,n/a,n/a,0,0,n/a
2021 Kern 6,2021 Kern 6 p1,n/a,ND,n/a,n/a,0,0,n/a
2021 Kern 7,2021 Kern 7 p1,Hatch,2021-05-31,2021-06-11,n/a,864,0,0.0
2021 Markham Ravine,2021 Markham Ravine p1,n/a,ND,n/a,n/a,0,0,n/a
2021 Orchard Creek,2021 Orchard Creek p1,Hatch,2021-05-01,2021-05-12,n/a,864,0,0.0
2021 Orchard Creek,2021 Orchard Creek p2,Hatch,2021-05-24,2021-06-04,n/a,864,0,0.0
2021 Panoche Creek Preserve 1W,2021 Panoche Creek Marsh East 1 p1,Hatch,2021-05-02,2021-05-13,n/a,864,0,0.0
2021 Panoche Creek Preserve 2E,2021 Panoche Creek Marsh East 2 p1,Hatch,2021-04-30,2021-05-11,n/a,864,0,0.0
2021 Plumas Arboga,2021 Plumas Arboga p1,Hatch,2021-05-26,2021-06-06,n/a,686,0,0.0
2021 Rancho Jamul,2021 Rancho Jamul p1,n/a,ND,n/a,n/a,0,0,n/a
2021 Reeds Creek North,2021 Erle Road-Reeds Creek North p1,n/a,ND,n/a,n/a,0,0,n/a
2021 Reeds Creek South,2021 Erle Road-Reeds Creek South p1,Hatch,2021-05-18,2021-05-29,n/a,184,0,0.0
2021 Rodeo Grounds 1,2021 Rodeo Grounds p1,Hatch,2021-05-02,2021-05-13,n/a,864,0,0.0
2021 Rush Ranch,2021 Rush Ranch p1,n/a,ND,n/a,n/a,0,0,n/a
2021 Sedgwick,2021 Sedgwick Reserve p1,Hatch,2021-04-28,2021-05-09,n/a,289,0,0.0
2021 SJWA,2021 San Jacinto Wildlife Area - Bridge Street Pond p1,Hatch,2021-06-15,2021-06-26,n/a,864,0,0.0
2021 Willey Wetlands 2,2021 Willey Wetlands 2 p1,Hatch,2021-06-12,2021-06-23,n/a,864,0,0.0
2021 Wind Wolves Preserve,2021 Wind Wolves Preserve p1,Hatch,2021-05-14,2021-05-25,n/a,365,0,0.0
2022 Baja 1,2022 Baja Ciénega Redonda North p1,Hatch,2022-04-14,2022-04-25,n/a,864,0,0.0
2022 Colusa NWR T27.1,2022 Colusa NWR T27.1 p1,n/a,ND,n/a,n/a,0,0,n/a
2022 Colusa NWR T27.2,2022 Colusa NWR T27.2 p1,Hatch,2022-05-31,2022-06-11,n/a,864,0,0.0
2022 Conaway East,2022 Conaway Ranch Reservoir p1,Hatch,2022-05-23,2022-06-03,n/a,1728,0,0.0
2022 Conaway New Easement Pond West,2022 Conaway New Easement Pond West p1,n/a,ND,n/a,n/a,0,0,n/a
2022 Conaway North,2022 Conaway North p1,Hatch,2022-05-21,2022-06-01,n/a,1728,0,0.0
2022 Creed Road,2022 Denverton Creek p1,Hatch,2022-04-15,2022-04-26,n/a,864,0,0.0
2022 Foley Ranch A,2022 Foley Ranch A p1,n/a,ND,n/a,n/a,0,0,n/a
2022 Hay Landfill,2022 Hay Landfill p1,Hatch,2022-04-12,2022-04-23,n/a,864,0,0.0
2022 Hay Landfill,2022 Hay Landfill p2,Hatch,2022-05-17,2022-05-28,n/a,864,0,0.0
2022 Laguna Seca,2022 Laguna Seca p1,Hatch,2022-04-15,2022-04-26,n/a,864,0,0.0
2022 Laguna Seca,2022 Laguna Seca p2,Hatch,2022-05-28,2022-06-08,n/a,864,0,0.0
2022 Los Vaqueros Reservoir,2022 Los Vaqueros Reservoir p1,Hatch,2022-04-19,2022-04-30,n/a,864,0,0.0
2022 Marsh Creek Reservoir,2022 Marsh Creek Reservoir p1,n/a,ND,n/a,n/a,0,0,n/a
2022 Newberry Springs - Lake Wainani,2022 Newberry Springs - Lake Wainani p1,n/a,pre,n/a,n/a,0,0,n/a
2022 Ohlone - Santa Lucia Preserve,2022 Santa Lucia Preserve - Ohlone Pond p1,Hatch,2022-05-02,2022-05-13,n/a,864,0,0.0
2022 OR1,2022 Oregon State - Dizney Rd p1,n/a,ND,n/a,n/a,0,0,n/a
2022 OR2,2022 Oregon State - Prineville Woodward Rd p1,Hatch,2022-05-16,2022-05-27,n/a,1728,0,0.0
2022 Paicines Ranch - Teal Pond,2022 Paicines Ranch - Teal Pond p1,Hatch,2022-04-22,2022-05-03,n/a,864,0,0.0
2022 Panoche Creek Preserve Loc3,2022 Panoche Creek Preserve Location 3 p1,Hatch,2022-04-20,2022-05-01,n/a,865,0,0.0
2022 Panoche Creek Preserve Loc4,2022 Panoche Creek Marsh East 1 p1,n/a,ND,n/a,n/a,0,0,n/a
2022 Panoche Creek Preserve Loc5,2022 Panoche Creek Marsh East 2 p1,Hatch,2022-04-20,2022-05-01,n/a,864,0,0.0
2022 Plumas Arboga East,2022 Plumas Arboga 6 East p1,Fledge,2022-05-01,2022-05-12,n/a,1218,0,0.0
2022 Plumas Arboga East,2022 Plumas Arboga 6 East p2,Hatch,2022-05-22,2022-06-02,n/a,1728,0,0.0
2022 Private Site 1 - not real lat lon,2022 Private Site 1 - approximate lat lon p1,Hatch,2022-04-30,2022-05-11,n/a,864,0,0.0
2022 Private Site 2 - not real lat lon,2022 Private Site 2 - approximate lat lon p1,Fledge,2022-04-14,2022-04-25,n/a,458,0,0.0
2022 Private Site 3 - not real lat lon,2022 Private Site 3 - approximate lat lon p1,Fledge,2022-04-28,2022-05-09,n/a,864,0,0.0
2022 Rancho Jamul,2022 Rancho Jamul p1,Hatch,2022-04-13,2022-04-24,n/a,864,0,0.0
2022 Sedgwick,2022 Sedgwick Reserve p1,Hatch,2022-04-14,2022-04-25,n/a,864,0,0.0
2022 Sedgwick,2022 Sedgwick Reserve p2,Hatch,2022-05-22,2022-06-02,n/a,864,0,0.0
2022 SJWA,2022 San Jacinto Wildlife Area - Bridge Street Pond p1,Hatch,2022-05-26,2022-06-06,n/a,864,0,0.0
2022 WA Harder Spring,2022 Washington State - Harder Spring p1,Hatch,2022-05-17,2022-05-28,n/a,864,0,0.0
2022 WA Harder Spring,2022 Washington State - Harder Spring p2,Hatch,2022-06-07,2022-06-18,n/a,864,0,0.0
2022 WA1,2022 Washington State - McCain Wetands p1,n/a,pre,n/a,n/a,0,0,n/a
2022 Wind Wolves Preserve Pleitito Creek,2022 Wind Wolves Preserve - Pleitito Creek p1,n/a,ND,n/a,n/a,0,0,n/a
2022 Wind Wolves Preserve Santiago Wetlands,2022 Wind Wolves Preserve - Santiago Wetlands p1,Hatch,2022-04-20,2022-05-01,n/a,864,0,0.0
2023 Baja Rancho Cinega,2023 Baja Ciénega Redonda North p1,Fledge,2023-04-17,2023-04-28,n/a,864,0,0.0
2023 Baja Rancho Cinega,2023 Baja Ciénega Redonda North p2,n/a,ND,n/a,n/a,0,0,n/a
2023 Baja Rancho Cinega,2023 Baja Ciénega Redonda North p3,n/a,ND,n/a,n/a,0,0,n/a
2023 Baja Rancho Cinega,2023 Baja Ciénega Redonda North p4,n/a,ND,n/a,n/a,0,0,n/a
2023 Bridge St Pond,2023 San Jacinto Wildlife Area - Bridge St. Pond p1,n/a,ND,n/a,n/a,0,0,n/a
2023 Colusa NWR T27.1,2023 Colusa NWR T27.1 p1,Hatch,2023-07-16,2023-07-27,n/a,864,0,0.0
2023 Colusa NWR T27.2,2023 Colusa NWR T27.2 p1,Hatch,2023-06-20,2023-07-01,n/a,864,0,0.0
2023 Conaway Ranch - HQ,2023 Conaway Ranch Headquarters p1,Hatch,2023-06-13,2023-06-24,n/a,864,0,0.0
2023 Conaway Ranch NE,2023 Conaway Ranch NE p1,Hatch,2023-06-11,2023-06-22,n/a,864,0,0.0
2023 Conaway Ranch North 1,2023 Conaway Ranch North 1 p1,Hatch,2023-06-18,2023-06-29,n/a,864,0,0.0
2023 Conaway Ranch North 2,2023 Conaway Ranch North 2 p1,Hatch,2023-06-28,2023-07-09,n/a,864,0,0.0
2023 Creed Rd,2023 Denverton Creek p1,Hatch,2023-05-18,2023-05-29,n/a,864,0,0.0
2023 Delevan NWR T43.1,2023 Delevan NWR T43.1 p1,n/a,ND,n/a,n/a,0,0,n/a
2023 Delevan NWR T43.2,2023 Delevan NWR T43.2 p1,n/a,ND,n/a,n/a,0,0,n/a
2023 Delevan T6,2023 Delevan Blind 4 p1,n/a,ND,n/a,n/a,0,0,n/a
2023 Hale Road,2023 Hale Road p1,Hatch,2023-06-06,2023-06-17,n/a,864,0,0.0
2023 Hale Road,2023 Hale Road p2,n/a,post,n/a,n/a,0,0,n/a
2023 Iron Point,2023 Iron Point p1,Fledge,2023-05-13,2023-05-24,n/a,864,0,0.0
2023 Kentucky Lateral,2023 Kentucky Lateral p1,Hatch,2023-04-26,2023-05-07,n/a,864,0,0.0
2023 Kern - Canebreak Ecological Reserve 4,2023 Kern - Canebreak Ecological Reserve 4 p1,n/a,ND,n/a,n/a,0,0,n/a
2023 Kern - HQ2,2023 Kern - Headquarters 2 p1,Hatch,2023-06-08,2023-06-19,n/a,864,0,0.0
2023 Kern - HQ2,2023 Kern - Headquarters 2 p2,Hatch,2023-07-05,2023-07-16,n/a,863,0,0.0
2023 Laguna Fry Confluence - 45 Sump,2023 45 Sump p1,Hatch,2023-05-11,2023-05-22,n/a,864,0,0.0
2023 Laguna Fry Confluence - Site 1,2023 Laguna Fry Confluence 3 p1,Hatch,2023-05-16,2023-05-27,n/a,864,0,0.0
2023 Los Vaqueros - Walnut Trail Marsh,2023 Los Vaqueros - Walnut Trail Marsh p1,Hatch,2023-04-26,2023-05-07,n/a,864,0,0.0
2023 Los Vaqueros Reservoir,2023 Los Vaqueros Reservoir p1,Hatch,2023-04-28,2023-05-09,n/a,864,0,0.0
2023 Los Vaqueros Reservoir,2023 Los Vaqueros Reservoir p2,Hatch,2023-06-15,2023-06-26,n/a,863,0,0.0
2023 Markham Ravine,2023 Markham Ravine p1,Hatch,2023-05-31,2023-06-11,n/a,864,0,0.0
2023 Merced NWR - Cottonwood,2023 Merced NWR - Cottonwood Trail p1,n/a,pre,n/a,n/a,0,0,n/a
2023 Merced NWR - Cottonwood,2023 Merced NWR - Cottonwood Trail p2,Hatch,2023-05-25,2023-06-05,n/a,864,0,0.0
2023 Merced NWR Deadman Wetland Ditch,2023 Merced NWR - Deadman Wetland Ditch p1,Hatch,2023-05-30,2023-06-10,n/a,864,0,0.0
2023 North Regional Pond,2023 North Regional Pond p1,Hatch,2023-05-05,2023-05-16,n/a,861,0,0.0
2023 OR Dizney Rd,2023 Oregon State - Dizney Rd p1,Hatch,2023-05-19,2023-05-30,n/a,864,0,0.0
2023 OR Eureka Rd,2023 Oregon State - Eureka Lane p1,Hatch,2023-05-19,2023-05-30,n/a,864,0,0.0
2023 OR Prineville North,2023 Oregon State - Prineville Grimes Rd p1,Hatch,2023-05-15,2023-05-26,n/a,862,0,0.0
2023 OR Prineville North,2023 Oregon State - Prineville Grimes Rd p2,Hatch,2023-06-20,2023-07-01,n/a,864,0,0.0
2023 Panoche Creek Preserve - Corrals SE,2023 Panoche Creek Preserve - Corrals South East p1,Fledge,2023-04-26,2023-05-07,n/a,594,0,0.0
2023 Peterson Ranch Pond - East,2023 Petersen Ranch Pond - East p1,n/a,ND,n/a,n/a,0,0,n/a
2023 Plumas Arboga 2,2023 Plumas Arboga 2 p1,Hatch,2023-06-07,2023-06-18,n/a,864,0,0.0
2023 Plumas Arboga 8 - North Regional Pond,2023 Plumas Arboga 8 p1,Hatch,2023-05-06,2023-05-17,n/a,864,0,0.0
2023 Plumas Arboga 8 - North Regional Pond,2023 Plumas Arboga 8 p2,Hatch,2023-06-15,2023-06-26,n/a,864,0,0.0
2023 Rancho Jamul North Pond - fix lat lon,2023 Rancho Jamul - North Pond p1,Hatch,2023-05-16,2023-05-27,n/a,864,0,0.0
2023 Rancho Jamul Site 1 fix lat lon,2023 Rancho Jamul - Site 1 p1,Hatch,2023-04-25,2023-05-06,n/a,864,0,0.0
2023 Rancho Jamul Site 1 fix lat lon,2023 Rancho Jamul - Site 1 p2,Hatch,2023-06-18,2023-06-29,n/a,864,0,0.0
2023 San Luis Bear Creek,2023 San Luis NWR - Tanager Slough p1,Hatch,2023-07-02,2023-07-13,n/a,864,0,0.0
2023 San Luis NWR - West Bank Creek,2023 San Luis NWR - Fiddleneck Lake p1,Hatch,2023-06-13,2023-06-24,n/a,864,0,0.0
2023 Sedgwick,2023 Sedgwick Reserve p1,Hatch,2023-04-15,2023-04-26,n/a,864,0,0.0
2023 South Virginia Road 3,2023 South Virginia Road 3 p1,n/a,ND,n/a,n/a,0,0,n/a
2023 Virginia at Ostrom,2023 Virginia at Ostrom p1,n/a,ND,n/a,n/a,0,0,n/a
2023 WA Harder Spring,2023 Washington State - Harder Spring p1,n/a,ND,n/a,n/a,0,0,n/a
2023 WA Harder Spring,2023 Washington State - Harder Spring p2,n/a,ND,n/a,n/a,0,0,n/a
2023 WA McCain Wetlands,2023 Washington State - McCain Wetlands p1,Hatch,2023-05-15,2023-05-26,n/a,864,0,0.0
2023 Weagell Property 1,2023 Laguna Frye Confluence 1 p1,Hatch,2023-05-03,2023-05-14,n/a,864,0,0.0
2023 Weagell Property 1,2023 Laguna Frye Confluence 1 p2,n/a,ND,n/a,n/a,0,0,n/a
2023 Weagell Property 1,2023 Laguna Frye Confluence 1 p3,n/a,ND,n/a,n/a,0,0,n/a
2023 Weagell Property 1,2023 Laguna Frye Confluence 1 p4,n/a,ND,n/a,n/a,0,0,n/a
2023 West of Davis,2023 San Jacinto Wildlife Area West of Davis p1,n/a,pre,n/a,n/a,0,0,n/a
2023 West of Davis,2023 San Jacinto Wildlife Area West of Davis p2,Hatch,2023-05-22,2023-06-02,n/a,864,0,0.0
2023 Wind Wolves Preserve site 1,2023 Wind Wolves Preserve - Los Lobos p1,Hatch,2023-05-05,2023-05-16,n/a,863,0,0.0
2023 Wind Wolves Preserve Site 2,2023 Wind Wolves Preserve - Santiago Wetlands p1,Hatch,2023-05-01,2023-05-12,n/a,864,0,0.0
2024 Baja Lago Mesa Redonda,2024 Baja Lago Mesa Redonda p1,Fledge,2024-04-22,2024-05-03,n/a,116,0,0.0
2024 Baja Lago Mesa Redonda,2024 Baja Lago Mesa Redonda p2,Hatch,2024-05-24,2024-06-04,n/a,864,0,0.0
2024 Baja Lago Mesa Redonda,2024 Baja Lago Mesa Redonda p3,Hatch,2024-06-21,2024-07-02,n/a,864,0,0.0
2024 Baja Rancho Cinega Redonda 1,2024 Baja Ciénega Redonda North p1,Fledge,2024-04-25,2024-05-06,n/a,864,0,0.0
2024 Baja Rancho Cinega Redonda 1,2024 Baja Ciénega Redonda North p2,Hatch,2024-05-25,2024-06-05,n/a,864,0,0.0
2024 Baja Rancho Cinega Redonda 1,2024 Baja Ciénega Redonda North p3,Hatch,2024-06-18,2024-06-29,n/a,864,0,0.0
2024 Baja Rancho Cinega Redonda 2,2024 Baja Ciénega Redonda South p1,Hatch,2024-04-29,2024-05-10,n/a,864,0,0.0
2024 Baja Rancho Cinega Redonda 2,2024 Baja Ciénega Redonda South p2,Hatch,2024-06-04,2024-06-15,n/a,864,0,0.0
2024 Colusa NWR T27.1,2024 Colusa NWR T27.1 p1,Hatch,2024-06-11,2024-06-22,n/a,864,0,0.0
2024 Colusa NWR T27.2,2024 Colusa NWR T27.2 p1,n/a,ND,n/a,n/a,0,0,n/a
2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,2024 Dagnino Pond p1,Hatch,2024-05-31,2024-06-11,n/a,864,0,0.0
2024 Kern 1 - check lat lon,2024 Kern 1 p1,n/a,ND,n/a,n/a,0,0,n/a
2024 Los Vaqueros Reservoir,2024 Los Vaqueros Reservoir p1,Hatch,2024-05-05,2024-05-16,n/a,864,0,0.0
2024 Los Vaqueros Reservoir,2024 Los Vaqueros Reservoir p2,Hatch,2024-06-10,2024-06-21,n/a,843,0,0.0
2024 Markham Ravine 1,2024 Markham Ravine 1 p1,n/a,ND,n/a,n/a,0,0,n/a
2024 Merced NWR - Cottonwood Trail,2024 Merced NWR - Duck Slough Farmfield p1,n/a,ND,n/a,n/a,0,0,n/a
2024 Moore Lake - confirm lat lon,2024 Moore's Lake p1,n/a,ND,n/a,n/a,0,0,n/a
2024 Newberry Springs,2024 Newberry Springs  - Lake Wainani p1,n/a,pre,n/a,n/a,0,0,n/a
2024 North Regional Pond,2024 North Regional Pond p1,n/a,ND,n/a,n/a,0,0,n/a
2024 Ohlone - Santa Lucia Preserve,2024 Santa Lucia Preserve - Ohlone Pond p1,Hatch,2024-05-02,2024-05-13,n/a,864,0,0.0
2024 OR Eureka Lane,2024 Oregon State -  Eureka Lane p1,n/a,ND,n/a,n/a,0,0,n/a
2024 Panoche Creek Preserve - Dollar Marsh East,2024 Panoche Creek Marsh East p1,Hatch,2024-04-29,2024-05-10,n/a,864,0,0.0
2024 Rancho Jamul - Main Pond 1,2024 Rancho Jamul - Main Pond 1 p1,n/a,ND,n/a,n/a,0,0,n/a
2024 Rancho Jamul - Main Pond 1,2024 Rancho Jamul - Main Pond 1 p2,Hatch,2024-05-26,2024-06-06,n/a,864,0,0.0
2024 Rancho Jamul - North Pond,2024 Rancho Jamul - North Pond p1,n/a,ND,n/a,n/a,0,0,n/a
2024 Sedgwick,2024 Sedgwick Reserve p1,Hatch,2024-04-20,2024-05-01,n/a,864,0,0.0
2024 SJWA Thistle NW of Bridge Street Pond,2024 San Jacinto Wildlife Area - Thistle Patch NW of Bridge Street Pond p1,Fledge,2024-06-02,2024-06-13,n/a,621,0,0.0
2024 WA Harder Spring,2024 Washington State - Harder Spring p1,Hatch,2024-07-18,2024-07-29,n/a,864,0,0.0
2024 WA McCain Pond,2024 Washington State - McCain Wetlands p1,Hatch,2024-05-10,2024-05-21,n/a,864,0,0.0
2024 Wind Wolves Preserve - Los Lobos fix lat lon,2024 Wind Wolves Preserve - Los Lobos p1,n/a,pre,n/a,n/a,0,0,n/a
2024 Wind Wolves Preserve - Pleitito,2024 Wind Wolves Preserve - Pleitito Creek p1,Fledge,2024-04-19,2024-04-30,n/a,332,0,0.0
2024 Wind Wolves Preserve - Pleitito,2024 Wind Wolves Preserve - Pleitito Creek p2,Hatch,2024-05-25,2024-06-05,n/a,864,0,0.0
2024 Wind Wolves Preserve - Santiago,2024 Wind Wolves Preserve - Santiago Wetlands p1,Fledge,2024-04-23,2024-05-04,n/a,322,0,0.0
2024 Wind Wolves Preserve - Tevis fix lat lon,2024 Wind Wolves Preserve - Tevis p1,Fledge,2024-05-06,2024-05-17,n/a,864,0,0.0
