Site Name,Pulse Name,Date Used,Window Start,Window End,Earliest Rec,Total Recordings in Window,Total Pacific Tree Frog Calls Present,Ratio Pacific Tree Frog
2017 Rush Ranch,2017 Rush Ranch p1,Hatch,2017-05-01,2017-05-12,n/a,864,0,0.0
2017 Rush Ranch,2017 Rush Ranch p2,Hatch,2017-05-30,2017-06-10,n/a,750,0,0.0
2017 Rush Ranch,2017 Rush Ranch p3,Hatch,2017-06-29,2017-07-10,n/a,598,0,0.0
2018 Iron Point,2018 Iron Point p1,n/a,ND,n/a,n/a,0,0,n/a
2018 Markham Ravine Main,2018 Markham Ravine p1,n/a,ND,n/a,n/a,0,0,n/a
2018 Markham Ravine westside,2018 Markham Ravine - West p1,n/a,pre,n/a,n/a,0,0,n/a
2018 Red Wing Ranch,2018 Red Wing Ranch p1,Hatch,2018-05-17,2018-05-28,n/a,864,0,0.0
2018 Rush Ranch,2018 Rush Ranch p1,Hatch,2018-05-25,2018-06-05,n/a,1041,0,0.0
2018 SJWA WSS,2018 SJWA Little Ramona p1,Hatch,2018-04-24,2018-05-05,n/a,530,0,0.0
2018 SJWA-rose-2,2018 San Jacinto Wildlife Area - Bridge St. Pond p1,n/a,ND,n/a,n/a,0,0,n/a
2019 Colusa NWR 27-1,2019 Colusa NWR T27.1 p1,n/a,ND,n/a,n/a,0,0,n/a
2019 Colusa NWR 27-2,2019 Colusa NWR T27.2 p1,Hatch,2019-05-28,2019-06-08,n/a,796,0,0.0
2019 Creed Road,2019 Denverton Creek p1,Hatch,2019-05-10,2019-05-21,n/a,888,0,0.0
2019 Creed Road,2019 Denverton Creek p2,Hatch,2019-05-31,2019-06-11,n/a,888,0,0.0
2019 Hay Landfill,2019 Hay Landfill p1,Hatch,2019-04-27,2019-05-08,n/a,891,0,0.0
2019 Hay Landfill,2019 Hay Landfill p2,Hatch,2019-06-09,2019-06-20,n/a,890,0,0.0
2019 Iron Point,2019 Iron Point p1,Hatch,2019-05-03,2019-05-14,n/a,860,0,0.0
2019 Leisure Town,2019 Leisure Town Road p1,n/a,ND,n/a,n/a,0,0,n/a
2019 Leisure Town,2019 Leisure Town Road p2,n/a,ND,n/a,n/a,0,0,n/a
2019 Markham Ravine,2019 Markham Ravine p1,Hatch,2019-05-28,2019-06-08,n/a,864,0,0.0
2019 Markham Ravine 2,2019 Markham Ravine 2 p1,Hatch,2019-05-31,2019-06-11,n/a,864,0,0.0
2019 Rush Ranch,2019 Rush Ranch p1,Hatch,2019-05-17,2019-05-28,n/a,864,0,0.0
2020 Conaway Ranch,2020 Conaway Ranch p1,Hatch,2020-06-06,2020-06-17,n/a,444,0,0.0
2020 Creed Road,2020 Denverton Creek p1,n/a,ND,n/a,n/a,0,0,n/a
2020 Fort Ord,2020 Fort Ord p1,Hatch,2020-04-24,2020-05-05,n/a,444,0,0.0
2020 Hay Landfill,2020 Hay Landfill p1,Hatch,2020-04-27,2020-05-08,n/a,444,0,0.0
2020 Hay Landfill,2020 Hay Landfill p2,n/a,ND,n/a,n/a,0,0,n/a
2020 Iron Point,2020 Iron Point p1,n/a,ND,n/a,n/a,0,0,n/a
2020 Markham Ravine,2020 Markham Ravine p1,Hatch,2020-05-19,2020-05-30,n/a,444,0,0.0
2020 Ohlone - Santa Lucia Preserve,2020 Santa Lucia Preserve - Ohlone Pond p1,Hatch,2020-05-04,2020-05-15,n/a,444,0,0.0
2020 Rush Ranch,2020 Rush Ranch p1,n/a,ND,n/a,n/a,0,0,n/a
2021 Colusa NWR 27-1,2021 Colusa NWR T27.1 p1,Hatch,2021-06-04,2021-06-15,n/a,1695,0,0.0
2021 Colusa NWR 27-2,2021 Colusa NWR T27.2 p1,Hatch,2021-06-15,2021-06-26,n/a,781,0,0.0
2021 Conaway South,2021 Conaway South p1,Hatch,2021-06-10,2021-06-21,n/a,864,0,0.0
