id,site,evidence_site,first_recording,last_recording,distance_to_colony,approx_colony_size,altitude,latitude,longitude,substrate
2059,2017 Rush Ranch,2017 Rush Ranch,2017-03-02,2017-07-24,3,800,6,38.208,-122.014,"Bulrush, cattails"
3150,2018 Iron Point,2018 Iron Point,2018-04-22,2018-05-19,15,2000,172,38.647,-121.104,Himalayan blackberry
3348,2018 Markham Ravine,2018 Markham Ravine,2018-06-26,2018-07-23,10,1000,19,38.8897,-121.4653,Himalayan blackberry
3366,2018 Markham Ravine - West,2018 Markham Ravine - West,2018-06-26,2018-07-13,20,1000,17,38.8896,-121.4693,Himalayan blackberry
3281,2018 Yankee Slough Ranch Preserve,2018 Yankee Slough Ranch Preserve,2018-05-04,2018-06-04,10,3000,33,38.9622,-121.3453,"Himalayan blackberry, Bulrush, cattails"
2719,2018 Rush Ranch,2018 Rush Ranch,2018-02-09,2018-06-26,3,2000,6,38.208,-122.014,"Bulrush, cattails"
82621,2018 SJWA Little Ramona,2018 SJWA Little Ramona,2018-04-02,2018-05-01,10,30000,434,33.869,-117.086,"Bulrush, cattails"
3417,2018 San Jacinto Wildlife Area - Little Ramona,2018 San Jacinto Wildlife Area - Little Ramona,2018-04-02,2018-04-10,10,30000,434,33.869,-117.086,"Bulrush, cattails"
3682,2018 San Jacinto Wildlife Area - Bridge St. Pond,2018 San Jacinto Wildlife Area - Bridge St. Pond,2018-04-10,2018-04-27,10,30000,435,33.8625,-117.0716,"Bulrush, cattails"
5642,2019 Colusa NWR T27-1N,2019 Colusa NWR T27-1N,2019-05-27,2019-08-12,100,20000,14,39.1441,-122.0293,"Bulrush, cattails"
5643,2019 Colusa NWR T27-2S,2019 Colusa NWR T27-2S,2019-05-21,2019-06-18,20,200,13,39.1375,-122.0281,"Bulrush, cattails"
4455,2019 Denverton Creek,2019 Denverton Creek,2019-03-17,2019-07-07,125,1000,12,38.241,-121.888,Himalayan blackberry
4456,2019 Hay Landfill,2019 Hay Landfill,2019-04-08,2019-07-07,0,4000,6,38.306,-121.825,"Bulrush, cattails"
4979,2019 Iron Point,2019 Iron Point,2019-04-24,2019-08-01,15,1500,172,38.647,-121.104,Himalayan blackberry
4639,2019 Leisure Town Road,2019 Leisure Town Road,2019-03-17,2019-07-07,50,2000,28,38.3199,-121.938,"Bulrush, cattails"
5637,2019 Markham Ravine,2019 Markham Ravine,2019-05-10,2019-07-08,20,1500,17,38.8897,-121.4653,"Himalayan blackberry, willow"
5640,2019 Markham Ravine 2,2019 Markham Ravine 2,2019-05-10,2019-07-08,20,10000,21,38.8866,-121.4653,"Himalayan blackberry, willow"
82630,2019 Riosa Redwing Ranch,2019 Riosa Redwing Ranch,2019-04-24,2019-05-10,No Colony,No Colony,33,38.9781,-121.331,"Himalayan blackberry, Bulrush, cattails"
5638,2019 Rush Ranch,2019 Rush Ranch,2019-02-06,2019-07-06,3,500,6,38.208,-122.014,"Bulrush, cattails"
7657,2020 Conaway Ranch,2020 Conaway Ranch,2020-05-18,2020-07-10,10,19000,9,38.639,-121.709,Cattails with bulrush
2908,2020 Denverton Creek,2020 Denverton Creek,2020-02-12,2020-07-11,125,1000,12,38.241,-121.888,Himalayan blackberry
57589,2020 Fort Ord,2020 Fort Ord,2020-04-08,2020-07-15,No Colony,No Colony,55,36.59,-121.714,"Stinging nettle (Urtica spp.), Poison hemlock (Conium maculatum)"
6199,2020 Hay Landfill,2020 Hay Landfill,2020-02-12,2020-07-10,0,4000,6,38.306,-121.825,"Bulrush, cattails"
7650,2020 Iron Point,2020 Iron Point,2020-04-19,2020-08-05,15,No Colony,172,38.647,-121.104,Himalayan blackberry
6404,2020 Markham Ravine,2020 Markham Ravine,2020-04-28,2020-06-24,10,1000,19,38.8897,-121.4653,"Himalayan blackberry, willow"
18572,2020 Santa Lucia Preserve - Ohlone Pond,2020 Santa Lucia Preserve - Ohlone Pond,2020-03-25,2020-07-18,3,80,318,36.4692,-121.7937,Bulrush (Schoenoplectus spp.)
2915,2020 Rush Ranch,2020 Rush Ranch,2020-02-12,2020-07-10,No Colony,No Colony,54,38.208,-121.014,"Bulrush, cattails"
24130,2021 Colusa NWR T27-1&2,2021 Colusa NWR T27-1&2,2021-04-21,2021-06-26,Unknown,Unknown,14,39.1409,-122.0284,"Bulrush, cattails"
24221,2021 Colusa NWR T27-2S,2021 Colusa NWR T27-2S,2021-04-21,2021-06-21,10,10000,13,39.137,-122.026,"Bulrush, cattails"
21652,2021 Conaway East,2021 Conaway East,2021-05-20,2021-07-05,5,10000,9,38.6386,-121.707,Cattails with bulrush
