id,site,evidence_site,first_recording,last_recording,distance_to_colony,approx_colony_size,altitude,latitude,longitude,substrate
24652,2021 Conaway South,2021 Conaway South,2021-05-20,2021-07-05,5,10000,9,38.6376,-121.709,Cattails with bulrush
21591,2021 Conaway West,2021 Conaway West,2021-05-12,2021-06-28,5,10000,9,38.639,-121.71,Cattails with bulrush
21681,2021 Denverton Creek,2021 Denverton Creek,2021-02-02,2021-05-12,125,1000,12,38.241,-121.888,Himalayan blackberry
24122,2021 Dagnino Pond,2021 Dagnino Pond,2021-04-29,2021-07-12,53,No Colony,180,37.7459,-121.744,"Bulrush, cattails, Mustard"
21668,2021 Virginia at Ostrom,2021 Virginia at Ostrom,2021-05-04,2021-06-14,20,10000,21,39.0769,-121.494,Himalayan blackberry
21688,2021 Hale Road 2,2021 Hale Road 2,2021-05-04,2021-06-14,20,7000,18,39.0839,-121.516,"Himalayan blackberry, bulrush"
11101,2021 Hay Landfill,2021 Hay Landfill,2021-02-02,2021-05-08,0,4000,6,38.306,-121.825,"Bulrush, cattails"
24658,2021 Iron Point,2021 Iron Point,2021-02-02,2021-05-14,15,No Colony,172,38.647,-121.104,Himalayan blackberry
24606,2021 Kern 1,2021 Kern 1,2021-04-09,2021-08-05,2,NEED,815,35.677,-118.27,"Stinging nettle, mulefat"
24544,2021 Kern 2,2021 Kern 2,2021-04-06,2021-07-30,5,No Colony,756,35.62,-118.476,Cattails
24641,2021 Kern 3,2021 Kern 3,2021-04-06,2021-08-05,40,No Colony,862,35.731,-118.172,Bulrush
24655,2021 Kern 4,2021 Kern 4,2021-04-19,2021-08-10,15,NEED,805,35.666,-118.307,Stinging nettle
26534,2021 Kern 5,2021 Kern 5,2021-04-27,2021-08-17,0,NEED,803,35.66,-118.312,Himalayan blackberry
26535,2021 Kern 6,2021 Kern 6,2021-05-01,2021-08-21,30,No Colony,1150,35.3955,-118.449,Cattails
26536,2021 Kern 7,2021 Kern 7,2021-05-17,2021-09-01,12,NEED,809,35.671,-118.29,Stinging nettle
26432,2021 Markham Ravine,2021 Markham Ravine,2021-04-30,2021-06-23,No Colony,No Colony,19,38.8897,-121.4653,"Himalayan blackberry, willow"
24252,2021 Orchard Creek,2021 Orchard Creek,2021-04-19,2021-07-04,error,2500,28,38.8467,-121.3061,Himalayan blackberry
24233,2021 Panoche Creek Marsh East 1,2021 Panoche Creek Marsh East 1,2021-04-01,2021-07-14,10,3500,314,36.5906,-120.769,Cattails
24232,2021 Panoche Creek Marsh East 2,2021 Panoche Creek Marsh East 2,2021-04-01,2021-07-14,5,3500,307,36.5907,-120.765,Cattails
21537,2021 Plumas Arboga,2021 Plumas Arboga,2021-05-14,2021-06-04,10,2000,17,39.0296,-121.537,Cattails with Himalayan blackberry
24119,2021 Rancho Jamul,2021 Rancho Jamul,2021-03-19,2021-06-05,NEED,NEED,234,32.6846,-116.856,"Cattails, bulrush or tule"
24651,2021 Erle Road-Reeds Creek North,2021 Erle Road-Reeds Creek North,2021-05-04,2021-05-20,20,1000,21,39.1079,-121.507,"Himalayan blackberry, lettuce"
24653,2021 Erle Road-Reeds Creek South,2021 Erle Road-Reeds Creek South,2021-05-04,2021-05-20,20,1500,21,39.1049,-121.507,Himalayan blackberry
24231,2021 Rodeo Grounds,2021 Rodeo Grounds,2021-04-19,2021-06-13,1,40,52,38.8627,-121.2879,Himalayan blackberry
24549,2021 Rush Ranch,2021 Rush Ranch,2021-02-02,2021-05-13,2,No Colony,6,38.208,-122.014,No Colony
11100,2021 Sedgwick Reserve Pond,2021 Sedgwick Reserve Pond,2021-03-06,2021-05-06,2,250,343,34.695,-120.042,Cattails
25171,2021 San Jacinto Wildlife Area - Bridge Street Pond,2021 San Jacinto Wildlife Area - Bridge Street Pond,2021-06-02,2021-06-30,10,500,434,33.8625,-117.072,"Bulrush, cattails"
24107,2021 Willey Wetlands 1,2021 Willey Wetlands 1,2021-06-10,2021-08-17,5,300,6,38.7777,-121.5639,"Bulrush, cattails"
24261,2021 Willey Wetlands 2,2021 Willey Wetlands 2,2021-06-10,2021-08-17,6,300,6,38.7751,-121.5639,"Bulrush, cattails"
24263,2021 Willey Wetlands 3,2021 Willey Wetlands 3,2021-06-10,2021-08-15,15,300,6,38.7743,-121.5636,"Bulrush, cattails"
24790,2021 Wind Wolves Preserve,2021 Wind Wolves Preserve,2021-04-14,2021-07-20,NEED,NEED,750,34.9574,-119.132,Stinging nettle
34485,2022 Baja Ciénega Redonda North,2022 Baja Ciénega Redonda North,2022-03-23,2022-07-12,2,350,972,32.538,-116.318,Cattails
53136,2022 Baja Ciénega Redonda North 2,2022 Baja Ciénega Redonda North 2,2022-03-23,2022-07-17,2,350,972,32.538,-116.318,Cattails
34044,2022 Colusa NWR T27-1&2,2022 Colusa NWR T27-1&2,2022-04-18,2022-08-04,No Colony,No Colony,14,39.1409,-122.0285,"Bulrush, cattails"
34079,2022 Colusa NWR T27-2S,2022 Colusa NWR T27-2S,2022-04-18,2022-08-04,20,3000,14,39.1374,-122.026,"Bulrush, cattails"
34115,2022 Conaway Ranch Reservoir,2022 Conaway Ranch Reservoir,2022-05-09,2022-06-28,Unknown,Unknown,10,38.646,-121.694,Himalayan blackberry
34111,2022 Conaway New Easement Pond West,2022 Conaway New Easement Pond West,2022-05-11,2022-06-13,No Colony,No Colony,9,38.6389,-121.709,Cattails with bulrush
34112,2022 Conaway North,2022 Conaway North,2022-05-04,2022-06-28,5,15000,8,38.6547,-121.686,"Cattails, Himalayan blackberry, willow"
34113,2022 Conaway North A,2022 Conaway North A,2022-05-04,2022-06-28,5,15000,8,38.6547,-121.686,"Cattails, Himalayan blackberry, willow"
34078,2022 Denverton Creek,2022 Denverton Creek,2022-02-13,2022-08-20,125,1000,12,38.241,-121.888,Himalayan blackberry
34118,2022 Virginia at Ostrom A,2022 Virginia at Ostrom A,2022-04-24,2022-06-06,20,5000,21,39.0769,-121.494,Himalayan blackberry
34119,2022 Virginia at Ostrom B,2022 Virginia at Ostrom B,2022-04-24,2022-06-06,20,5000,21,39.0769,-121.494,Himalayan blackberry
33966,2022 Hay Landfill,2022 Hay Landfill,2022-02-13,2022-09-09,0,4000,6,38.306,-121.825,"Bulrush, cattails"
34077,2022 Laguna Seca,2022 Laguna Seca,2022-03-20,2022-07-11,3,Unknown,117,36.5718,-121.768,"Bulrush, cattails"
34117,2022 Los Vaqueros Playa,2022 Los Vaqueros Playa,2022-04-15,2022-06-08,0,450,82,37.8377,-121.696,Himalayan blackberry
34076,2022 Marsh Creek Reservoir,2022 Marsh Creek Reservoir,2022-04-15,2022-06-08,No Colony,No Colony,51,37.8884,-121.726,Cattails
34075,2022 Newberry Springs - Lake Wainani,2022 Newberry Springs - Lake Wainani,2022-05-12,2022-05-20,90,500,549,34.8773,-116.606,"Cattails, willows"
34090,2022 Santa Lucia Preserve - Ohlone Pond,2022 Santa Lucia Preserve - Ohlone Pond,2022-03-21,2022-08-16,3,50,318,36.4692,-121.7937,Bulrush (Schoenoplectus spp.)
33851,2022 Oregon State - Warm Springs Dizney Lane,2022 Oregon State - Warm Springs Dizney Lane,2022-04-18,2022-06-09,10,50,482,44.72275,-121.23785,"Cattails, Himalayan blackberry"
34073,2022 Oregon State - Prineville Woodward Rd,2022 Oregon State - Prineville Woodward Rd,2022-04-24,2022-06-03,10,60,888,44.37166,-120.92661,Cattails
34071,2022 Paicines Ranch - Teal Pond,2022 Paicines Ranch - Teal Pond,2022-04-10,2022-08-06,3,4000,192,36.7136,-121.296,"Bulrush, cattails"
34072,2022 Paicines Ranch - Teal Pond B,2022 Paicines Ranch - Teal Pond B,2022-04-11,2022-08-03,3,4000,192,36.7136,-121.296,"Bulrush, cattails"
52597,2022 Panoche Creek Preserve Location 3,2022 Panoche Creek Preserve Location 3,2022-03-18,2022-06-23,10,4500,207,36.591,-120.591,NEED
52598,2022 Panoche Creek Marsh East 1,2022 Panoche Creek Marsh East 1,2022-03-22,2022-04-14,10,4500,319,36.591,-120.769,Cattails
34130,2022 Panoche Creek Marsh East 2,2022 Panoche Creek Marsh East 2,2022-04-14,2022-06-23,10,4500,319,36.591,-120.769,Cattails
34012,2022 Plumas Arboga 6 East,2022 Plumas Arboga 6 East,2022-05-04,2022-06-28,15,9000,18,39.0374,-121.534,Himalayan blackberry
34013,2022 Plumas Arboga 6 West,2022 Plumas Arboga 6 West,2022-05-11,2022-06-28,1,9000,18,39.0374,-121.537,Himalayan blackberry
34131,2022 Private Site 1 - approximate lat lon,2022 Private Site 1 - approximate lat lon,2022-04-19,2022-06-03,5,35000,92,37,-120,Triticale
34133,2022 Private Site 2 - approximate lat lon,2022 Private Site 2 - approximate lat lon,2022-04-19,2022-05-02,ND,15000,92,37,-120,Triticale
34132,2022 Private Site 3 - approximate lat lon,2022 Private Site 3 - approximate lat lon,2022-04-19,2022-06-03,ND,ND,92,37,-120,Milk thistle
34045,2022 Rancho Jamul,2022 Rancho Jamul,2022-03-02,2022-07-02,NEED,NEED,236,,,NEED
33985,2022 Sedgwick Reserve Pond,2022 Sedgwick Reserve Pond,2022-03-20,2022-07-12,2,200,343,34.695,-120.042,Cattails
34046,2022 San Jacinto Wildlife Area - Bridge Street Pond,2022 San Jacinto Wildlife Area - Bridge Street Pond,2022-05-10,2022-06-27,10,800,435,33.8627,-117.073,Cattails
33984,2022 Washington State - Harder Spring,2022 Washington State - Harder Spring,2022-03-18,2022-07-13,20,200,276,46.6572,-118.499,"Bulrush, cattails, common reed"
33845,2022 Washington State - McCain Wetands,2022 Washington State - McCain Wetands,2022-05-27,2022-08-01,10,175,283,46.8521,-119.183,"Bulrush, cattails, common reed"
34088,2022 Wind Wolves Preserve - Pleitito Creek,2022 Wind Wolves Preserve - Pleitito Creek,2022-03-11,2022-05-26,No Colony,No Colony,801,34.9536,-119.1407,Stinging nettle
34087,2022 Wind Wolves Preserve - Santiago Wetlands,2022 Wind Wolves Preserve - Santiago Wetlands,2022-02-23,2022-08-17,40,75,740,34.9391,-119.2964,Stinging nettle
48395,2023 Baja Ciénega Redonda North,2023 Baja Ciénega Redonda North,2023-04-14,2023-08-22,2,150,972,32.538,-116.318,Cattails
48438,2023 San Jacinto Wildlife Area - Bridge St. Pond,2023 San Jacinto Wildlife Area - Bridge St. Pond,2023-04-18,2023-05-06,No Colony,No Colony,434,33.8627,-117.073,"Bulrush, cattails"
48455,2023 Colusa NWR T27-1&2,2023 Colusa NWR T27-1&2,2023-06-01,2023-08-01,10,2000,13,39.141,-122.028,"Bulrush, cattails"
58629,2023 Colusa NWR T27-2S,2023 Colusa NWR T27-2S,2023-06-01,2023-08-01,5,23000,14,39.1375,-122.028,"Bulrush, cattails"
48473,2023 Conaway Ranch Headquarters,2023 Conaway Ranch Headquarters,2023-05-24,2023-07-05,30,5000,8,38.6478,-121.668,Himalayan blackberry
48474,2023 Conaway Ranch NE,2023 Conaway Ranch NE,2023-05-26,2023-07-11,3,9000,8,38.6535,-121.67,Himalayan blackberry
48477,2023 Conaway Ranch North 1,2023 Conaway Ranch North 1,2023-06-08,2023-07-13,5,10000,9,38.6512,-121.687,"Himalayan blackberry, cattails"
48476,2023 Conaway Ranch North 2,2023 Conaway Ranch North 2,2023-06-13,2023-07-27,5,10000,9,38.6546,-121.685,"Himalayan blackberry, cattails"
48462,2023 Denverton Creek,2023 Denverton Creek,2023-03-12,2023-08-07,125,1000,12,38.241,-121.888,Himalayan blackberry
48454,2023 Delevan NWR T43-1,2023 Delevan NWR T43-1,2023-05-16,2023-07-18,No Colony,No Colony,18,39.2787,-122.104,"Bulrush, cattails, Himalayan blackberry"
48877,2023 Delevan NWR T43-2,2023 Delevan NWR T43-2,2023-05-16,2023-09-16,No Colony,No Colony,18,39.2785,-122.098,"Bulrush, cattails, Himalayan blackberry"
48472,2023 Delevan NWR T6,2023 Delevan NWR T6,2023-05-30,2023-07-25,No Colony,No Colony,20,39.3267,-122.115,Bulrush
48463,2023 Hale Road,2023 Hale Road,2023-04-18,2023-07-08,2,10000,19,39.0835,-121.512,"Himalayan blackberry, cattails"
48468,2023 Hale Road Site 2,2023 Hale Road Site 2,2023-04-11,2023-07-08,2,10000,19,39.0834,-121.512,"Himalayan blackberry, cattails"
48457,2023 Iron Point,2023 Iron Point,2023-05-09,2023-08-22,15,600,172,38.647,-121.104,Himalayan blackberry
48434,2023 Kentucky Lateral,2023 Kentucky Lateral,2023-04-15,2023-05-22,10,500,9,38.6717,-121.71,Bull thistle
48467,2023 Kern - Canebreak Ecological Reserve 4,2023 Kern - Canebreak Ecological Reserve 4,2023-05-25,2023-08-11,0,No Colony,875,35.7315,-118.166,Stinging nettle
48470,2023 Kern - Headquarters 2,2023 Kern - Headquarters 2,2023-05-03,2023-08-11,3,100,804,35.6669,-118.308,Sandbar Willow
48459,2023 45 Sump,2023 45 Sump,2023-04-25,2023-06-18,15,5500,29,38.4731,-121.276,Himalayan blackberry
48465,2023 Laguna Frye Confluence 3,2023 Laguna Frye Confluence 3,2023-05-09,2023-06-18,5,17500,29,38.4863,-121.279,"Himalayan blackberry, cattails, tule"
48428,2023 Los Vaqueros - Walnut Trail Marsh,2023 Los Vaqueros - Walnut Trail Marsh,2023-04-07,2023-07-07,15,500,53,37.8594,-121.699,"Bulrush, cattails"
48444,2023 Los Vaqueros Playa,2023 Los Vaqueros Playa,2023-03-24,2023-07-31,0,2000,82,37.8377,-121.696,Himalayan blackberry
48436,2023 Markham Ravine,2023 Markham Ravine,2023-05-15,2023-07-17,9,3500,18,38.8896,-121.466,"Himalayan blackberry, willow"
48446,2023 Merced NWR - Cottonwood Trail,2023 Merced NWR - Cottonwood Trail,2023-05-12,2023-06-16,error,ND,34,37.1918,-120.602,"Buttonwillow, milk thistle"
48490,2023 Merced NWR - Deadman Wetland Ditch,2023 Merced NWR - Deadman Wetland Ditch,2023-05-23,2023-06-27,25,200,31,37.1853,-120.636,"Milk thistle, mustard"
48448,2023 North Regional Pond,2023 North Regional Pond,2023-03-31,2023-06-02,20,150,10,38.6639,-121.712,"Mustard, milk thistle"
48397,2023 Oregon State - Warm Springs Dizney Lane,2023 Oregon State - Warm Springs Dizney Lane,2023-04-29,2023-07-15,4,87,481,44.72275,-121.23785,"Cattails, Himalayan blackberry"
48392,2023 Oregon State - Metolius Eureka Lane,2023 Oregon State - Metolius Eureka Lane,2023-04-29,2023-07-24,10,100,769,44.57821,-121.19382,"Cattails, Himalayan blackberry"
48445,2023 Oregon State - Prineville Grimes Rd,2023 Oregon State - Prineville Grimes Rd,2023-04-29,2023-07-15,5,62,888,44.36467,-120.91805,Cattails
48796,2023 Panoche Creek Preserve - Corrals North West,2023 Panoche Creek Preserve - Corrals North West,2023-04-29,2023-06-12,5,450,318,36.5879,-120.767,"Fiddleneck, cheeseweed, London rocket, and Chilean chess"
48797,2023 Panoche Creek Preserve - Corrals Southeast,2023 Panoche Creek Preserve - Corrals Southeast,2023-04-29,2023-06-12,5,450,320,36.5875,-120.765,"Fiddleneck, cheeseweed, London rocket, and Chilean chess"
48440,2023 Petersen Ranch Pond - East,2023 Petersen Ranch Pond - East,2023-04-05,2023-07-28,50,No Colony,1030,34.6324,-118.318,Bulrush
48461,2023 Petersen Ranch Pond - West,2023 Petersen Ranch Pond - West,2023-04-05,2023-07-28,50,No Colony,1030,34.6331,-118.32,Bulrush
48475,2023 Plumas Arboga 2,2023 Plumas Arboga 2,2023-05-26,2023-07-08,3,7000,19,39.0338,-121.524,Himalayan blackberry
48437,2023 Plumas Arboga 8,2023 Plumas Arboga 8,2023-04-21,2023-07-08,3,4000,18,39.043,-121.531,Himalayan blackberry
48764,2023 Rancho Jamul - North Pond,2023 Rancho Jamul - North Pond,2023-03-27,2023-08-04,NEED,NEED,236,,,NEED
48765,2023 Rancho Jamul - Site 1,2023 Rancho Jamul - Site 1,2023-03-27,2023-08-03,NEED,NEED,236,,,NEED
48447,2023 San Luis NWR - Tanager Slough,2023 San Luis NWR - Tanager Slough,2023-06-16,2023-07-24,30,550,26,37.2393,-120.821,Willows
48464,2023 San Luis NWR - Fiddleneck Lake,2023 San Luis NWR - Fiddleneck Lake,2023-05-26,2023-07-12,75,500,24,37.2663,-120.834,"Milk thistle, mustard"
48466,2023 Sedgwick Reserve Pond,2023 Sedgwick Reserve Pond,2023-03-26,2023-07-29,2,300,343,34.695,-120.042,Cattails
48478,2023 South Virginia Road 3,2023 South Virginia Road 3,2023-04-11,2023-06-06,No Colony,No Colony,22,39.0639,-121.48,"Himalayan blackberry, willows"
48456,2023 Virginia at Ostrom,2023 Virginia at Ostrom,2023-04-18,2023-06-14,No Colony,No Colony,21,39.0769,-121.494,"Himalayan blackberry, cattails"
48398,2023 Washington State - Harder Spring,2023 Washington State - Harder Spring,2023-04-10,2023-08-09,20,165,278,46.6573,-118.5,"Bulrush, cattails, common reed"
48393,2023 Washington State - McCain Wetlands,2023 Washington State - McCain Wetlands,2023-04-10,2023-08-07,5,200,283,46.8515,-119.183,"Cattails, common reed"
48747,2023 Laguna Frye Confluence 1,2023 Laguna Frye Confluence 1,2023-04-19,2023-06-18,20,17500,30,38.4859,-121.276,"Himalayan blackberry, cattails"
48458,2023 Laguna Frye Confluence 2,2023 Laguna Frye Confluence 2,2023-04-25,2023-06-18,20,17500,29,38.4859,-121.275,"Himalayan blackberry, cattails"
48439,2023 San Jacinto Wildlife Area West of Davis Road,2023 San Jacinto Wildlife Area West of Davis Road,2023-05-06,2023-06-29,30,1000,434,33.8493,-117.129,Cattails
48471,2023 Wind Wolves Preserve - Los Lobos,2023 Wind Wolves Preserve - Los Lobos,2023-04-07,2023-07-25,2,100,793,34.949,-119.215,Stinging nettle
48469,2023 Wind Wolves Preserve - Santiago Wetlands,2023 Wind Wolves Preserve - Santiago Wetlands,2023-04-07,2023-07-25,30,300,901,34.9395,-119.2967,"Cattails, Stinging nettle"
65444,2024 Baja Lago Mesa Redonda,2024 Baja Lago Mesa Redonda,2024-05-02,2024-08-04,5,150,503,32.373,-116.879,Cattails
65446,2024 Baja Ciénega Redonda North,2024 Baja Ciénega Redonda North,2024-04-23,2024-08-19,2,350,972,32.538,-116.318,Cattails
65447,2024 Baja Ciénega Redonda South,2024 Baja Ciénega Redonda South,2024-04-23,2024-08-01,3,100,969,32.532,-116.318,Cattails
65453,2024 Colusa NWR T27-1&2,2024 Colusa NWR T27-1&2,2024-04-24,2024-09-03,100,17500,14,39.141,-122.028,"Bulrush, cattails"
65454,2024 Colusa NWR T27-2S,2024 Colusa NWR T27-2S,2024-04-24,2024-08-04,5,No Colony,14,39.1375,-122.028,"Bulrush, cattails"
63115,2024 Dagnino Pond,2024 Dagnino Pond,2024-05-21,2024-08-15,30,400,182,37.7463,-121.743,"Bulrush, cattails, Mustard"
65456,2024 Kern 1,2024 Kern 1,2024-04-08,2024-08-12,NEED,NEED,804,35.67,-118.307,NEED
63044,2024 Los Vaqueros Playa,2024 Los Vaqueros Playa,2024-03-15,2024-06-24,0,500,82,37.8377,-121.696,Himalayan blackberry
63085,2024 Markham Ravine 1,2024 Markham Ravine 1,2024-05-07,2024-05-24,No Colony,No Colony,19,38.8897,-121.459,"Himalayan blackberry, willow"
63088,2024 Markham Ravine 2,2024 Markham Ravine 2,2024-05-07,2024-05-24,No Colony,No Colony,18,38.8898,-121.462,"Himalayan blackberry, willow"
63113,2024 Markham Ravine 3,2024 Markham Ravine 3,2024-05-07,2024-05-24,No Colony,No Colony,18,38.8897,-121.465,"Himalayan blackberry, willow"
63114,2024 Merced NWR - Duck Slough Farmfield,2024 Merced NWR - Duck Slough Farmfield,2024-04-25,2024-07-12,15,5000,34,37.1989,-120.599,"Milk thistle, mustard"
63087,2024 Moore's Lake,2024 Moore's Lake,2024-04-10,2024-07-01,No Colony,No Colony,411,36.4589,-121.799,Cattails
66012,2024 Newberry Springs  - Croydon Avenue,2024 Newberry Springs  - Croydon Avenue,2024-05-27,2024-06-02,35,150,555,34.8883,-116.6485,"Cattails, willows"
77023,2024 North Regional Pond,2024 North Regional Pond,2024-04-16,2024-06-02,20,6000,10,38.664,-121.712,"Mustard, milk thistle"
63049,2024 Santa Lucia Preserve - Ohlone Pond,2024 Santa Lucia Preserve - Ohlone Pond,2024-04-10,2024-07-01,3,250,318,36.4692,-121.7937,Bulrush (Schoenoplectus spp.)
63086,2024 Oregon State -  Metolius Eureka Lane,2024 Oregon State -  Metolius Eureka Lane,2024-05-04,2024-07-14,10,87,769,44.57821,-121.19382,"Cattails, Himalayan blackberry"
65471,2024 Panoche Creek Marsh East,2024 Panoche Creek Marsh East,2024-04-15,2024-08-01,10,1250,313,36.5905,-120.7694,"Cattails, bulrush"
65469,2024 Panoche Creek Marsh South,2024 Panoche Creek Marsh South,2024-04-16,2024-08-01,NEED,300,317,36.5892,-120.7707,"Cattails, bulrush"
65470,2024 Panoche Creek Marsh West,2024 Panoche Creek Marsh West,2024-04-15,2024-08-01,20,300,315,36.5919,-120.7723,"Cattails, bulrush"
63656,2024 Rancho Jamul - Main Pond 1,2024 Rancho Jamul - Main Pond 1,2024-03-26,2024-08-07,NEED,NEED,236,,,NEED
63657,2024 Rancho Jamul - Main Pond 2,2024 Rancho Jamul - Main Pond 2,2024-03-26,2024-07-06,NEED,NEED,236,,,NEED
63468,2024 Rancho Jamul - North Pond,2024 Rancho Jamul - North Pond,2024-03-27,2024-06-22,NEED,NEED,236,,,NEED
63738,2024 Sedgwick Reserve Pond,2024 Sedgwick Reserve Pond,2024-04-04,2024-08-04,2,300,343,34.695,-120.042,Cattails
63089,2024 San Jacinto Wildlife Area - Thistle Patch NE of Bridge Street Pond,2024 San Jacinto Wildlife Area - Thistle Patch NE of Bridge Street Pond,2024-06-05,2024-06-22,30,100,435,33.8643,-117.0695,Milk thistle
63116,2024 Washington State - Harder Spring,2024 Washington State - Harder Spring,2024-03-25,2024-08-03,20,100,276,46.657,-118.499,"Bulrush, cattails, common reed"
63465,2024 Washington State - McCain Wetlands,2024 Washington State - McCain Wetlands,2024-03-29,2024-08-09,5,600,1244,48.852,-119.183,"Cattails, common reed"
65481,2024 Wind Wolves Preserve - Los Lobos,2024 Wind Wolves Preserve - Los Lobos,2024-04-30,2024-09-11,2,100,665,34.949,-119.215,Stinging nettle
65482,2024 Wind Wolves Preserve - Pleitito Creek,2024 Wind Wolves Preserve - Pleitito Creek,2024-04-26,2024-08-11,2,35,817,34.9536,-119.1407,Stinging nettle
65483,2024 Wind Wolves Preserve - Santiago Wetlands,2024 Wind Wolves Preserve - Santiago Wetlands,2024-04-30,2024-08-31,40,275,741,34.9391,-119.2964,"Cattails, Stinging nettle"
65480,2024 Wind Wolves Preserve - Tevis,2024 Wind Wolves Preserve - Tevis,2024-04-30,2024-09-24,4,7,901,34.9446,-119.204,Stinging nettle
