Site_ID,Group,Site_Name,Pulse_Name,Deployment_Start,Deployment_End,Breeding_Type,Complex_Types,Outcome,Substrate,Approx_Colony_Size,Colony_Size,mcstart,incstart,Hatch_Date,fledgestart,fledgedisp,Abandoned_Date,Partial_Abandon_Date,Comment,Source Row,Review Status,Review Notes
2059,Solano County,2017 Rush Ranch,2017 Rush Ranch p1,2017-03-02,2017-07-24,Sequential,,Abandoned,"Bulrush, cattails",800,800,~2017-03-07,~2017-04-17,~2017-04-29,ND,ND,2017-05-03,ND,,4,OK,
2059,Solano County,2017 Rush Ranch,2017 Rush Ranch p2,2017-03-02,2017-07-24,Sequential,,Successful,"Bulrush, cattails",800,800,2017-05-08,2017-05-18,2017-05-30,2017-06-12,2017-06-22,ND,ND,,4,OK,
2059,Solano County,2017 Rush Ranch,2017 Rush Ranch p3,2017-03-02,2017-07-24,Sequential,,Successful,"Bulrush, cattails",800,800,2017-06-02,2017-06-17,2017-06-29,ND,ND,ND,ND,,4,OK,
3150,Iron Point,2018 Iron Point,2018 Iron Point p1,2018-04-22,2018-05-19,No Colony,,No Colony,Himalayan blackberry,2000,2000,ND,ND,ND,ND,ND,ND,ND,,5,OK,
3348,Markham Ravine,2018 Markham Ravine Main,2018 Markham Ravine p1,2018-06-26,2018-07-23,Unknown,,Successful,Himalayan blackberry,1000,1000,ND,ND,ND,ND,ND,ND,ND,,6,REVIEW,"p1Outcome is 'Successful', but all exported date fields are blank or ND."
3366,Markham Ravine,2018 Markham Ravine westside,2018 Markham Ravine - West p1,2018-06-26,2018-07-13,Unknown,,Successful,Himalayan blackberry,1000,1000,inf,inf,inf,2018-07-06,2018-07-07,ND,ND,2018 Markham Ravine Main:,7,OK,
3281,Placer County,2018 Red Wing Ranch,2018 Yankee Slough Ranch Preserve p1,2018-05-04,2018-06-04,Unknown,,Abandoned,"Himalayan blackberry, Bulrush, cattails",3000,3000,inf,2018-05-05,2018-05-17,ND,ND,2018-05-22,ND,,8,OK,
2719,Solano County,2018 Rush Ranch,2018 Rush Ranch p1,2018-02-09,2018-06-26,Simple,,Successful,"Bulrush, cattails",2000,2000,missed,2018-05-14,2018-05-26,2018-06-11,2018-06-23,ND,ND,,9,OK,
3682,San Jacinto Wildlife Area,2018 SJWA-rose-2,2018 San Jacinto Wildlife Area - Bridge St. Pond p1,2018-04-10,2018-04-27,Unknown,,Abandoned,"Bulrush, cattails",30000,30000,inf,2018-04-19,ND,ND,ND,2018-04-22,ND,,10,OK,
3417,San Jacinto Wildlife Area,2018 SJWA-rose-1,2018 San Jacinto Wildlife Area - Little Ramona p1,2018-04-02,2018-04-10,No Colony,,No Colony,"Bulrush, cattails",30000,30000,ND,ND,ND,ND,ND,ND,ND,2018 SJWA Little Ramona:,11,OK,
