site,settlement_start,settlement_end,incubation_onset,brooding_onset,fledging_onset,fledgling_dispersal
2017 Rush Ranch P1,~2017-03-07,2017-04-12,~2017-04-17,~2017-04-29,ND,ND
2017 Rush Ranch P2,2017-05-08,2017-05-15,2017-05-18,2017-05-30,2017-06-12,2017-06-22
2017 Rush Ranch P3,2017-06-02,2017-06-15,2017-06-17,2017-06-29,ND,ND
2018 Iron Point,ND,ND,ND,ND,ND,ND
2018 Markham Ravine Main P1,ND,ND,ND,ND,ND,ND
2018 Markham Ravine westside P1,inf,ND,ND,ND,ND,ND
2018 Red Wing Ranch P1,inf,inf,2018-05-05,2018-05-17,ND,ND
2018 Rush Ranch P1,missed,missed,2018-05-14,2018-05-26,2018-06-11,2018-06-23
2018 SJWA WSS P1,2018-04-10,2018-04-19,~2018-04-15,~2018-04-27,ND,ND
2018 SJWA-rose-1,ND,ND,ND,ND,ND,ND
2018 SJWA-rose-2 P1,inf,2018-04-20,2018-04-19,ND,ND,ND
2019 Colusa NWR 27-1 P1,inf,2019-05-29,~2019-06-02(C),~2019-06-14(C),2019-06-27,~2019-07-07
2019 Colusa NWR 27-1 P2,,2019-06-19,~2019-06-21(C),~2019-07-03(C),~2019-07-16,~2019-07-21
2019 Colusa NWR 27-2 P1,inf,inf,~2019-05-16,2019-05-29,ND,ND
2019 Creed Road P1,2019-03-23,2019-04-28,2019-04-28,2019-05-10,2019-05-23,2019-06-01
2019 Creed Road P2,2019-05-13,2019-05-21,2019-05-23,2019-06-04(E),ND,ND
2019 Hay Landfill P1,inf,2019-04-15,2019-04-15,2019-04-28,2019-05-11,2019-05-30
2019 Hay Landfill P2,2019-05-20,2019-05-28,2019-05-28,2019-06-09,2019-06-23,2019-07-03
2019 Iron Point P1,inf,inf,~2019-04-18,~2019-04-30,2019-05-14,Continuous
2019 Iron Point P2,2019-04-29,2019-05-14,2019-05-16,2019-05-28,Continuous,Continuous
2019 Iron Point P3,2019-05-27,2019-05-28,2019-05-29,2019-06-10,Continuous,2019-07-07
2019 Leisure Town P1,inf,2019-04-14,missed,missed,missed,ND
2019 Leisure Town P2,2019-05-19,2019-05-29,2019-05-23,2019-06-04,~2019-06-17,~2019-07-05
2019 Markham Ravine 2 P1,inf,2019-05-17,2019-05-16,2019-05-28,ND,ND
2019 Markham Ravine P1,inf,2019-05-13,2019-05-15,2019-05-27,2019-06-16,2019-06-20
2019 Red Wing Ranch,ND,ND,ND,ND,ND,ND
2019 Rush Ranch P1,2019-05-02,2019-05-07,2019-05-09,2019-05-21(E),ND,ND
2020 Conaway Ranch P1,inf,2020-06-02,2020-05-25,~2020-06-04,2020-06-18,ND
2020 Creed Road,ND,ND,ND,ND,ND,ND
2020 Fort Ord P1,inf,2020-04-23,2020-04-12,2020-04-24,2020-05-09,2020-05-28
2020 Hay Landfill P1,2020-03-16,2020-04-15,2020-04-15,2020-04-27,2020-05-11,Continuous
2020 Hay Landfill P2,2020-05-12,2020-05-24,2020-05-27,~2020-06-06,Continuous,inf
2020 Iron Point,ND,ND,ND,ND,ND,ND
2020 Markham Ravine P1,inf,2020-05-03,2020-05-07,2020-05-19,~2020-05-30,~2020-06-08
2020 Ohlone - Santa Lucia Preserve P1,missed,missed,~2020-04-20,~2020-05-01,2020-05-12,2020-06-15
2020 Rush Ranch,ND,ND,ND,ND,ND,ND
2021 Colusa NWR 27-1 P1,2021-05-11,2021-05-24,~2021-05-21,~2021-06-02,~2021-06-13,~2021-06-17
