site,settlement_start,settlement_end,incubation_onset,brooding_onset,fledging_onset,fledgling_dispersal
2021 Colusa NWR 27-2 P1,2021-05-19,2021-05-30,~2021-06-01,~2021-06-13,ND,ND
2021 Conaway East P1,inf,2021-05-28,2021-05-30,~2021-06-08,2021-06-20,ND
2021 Conaway South P1,inf,2021-05-28,2021-05-29,2021-06-09,2021-06-23,2021-07-01
2021 Conaway West P1,inf,2021-05-21,2021-05-21,~2021-05-31,2021-06-13,ND
2021 Creed Road,ND,ND,ND,ND,ND,ND
2021 Dagnino Pond,ND,ND,ND,ND,ND,ND
2021 Foley Ranch P1,inf,inf,2021-04-30,2021-05-12,2021-05-24,ND
2021 Foley Ranch P2,2021-05-23,2021-05-29,2021-06-01,2021-06-13,ND,ND
2021 Hale Road 2 P1,inf,inf,2021-05-02,2021-05-14,2021-05-28,2021-06-04
2021 Hay Landfill P1,2021-02-16,2021-04-19,2021-04-13,~2021-04-23,ND,ND
2021 Iron Point P1,2021-04-02,2021-04-19,2021-04-22,2021-05-04(E),ND,ND
2021 Kern 1 P1,missed,missed,2021-05-20,~2021-05-30,ND,ND
2021 Kern 2,ND,ND,ND,ND,ND,ND
2021 Kern 3,ND,ND,ND,ND,ND,ND
2021 Kern 4 P1,missed,2021-04-30,~2021-05-01,~2021-05-13,~2021-05-27,~2021-06-05
2021 Kern 5 P1,inf,inf,~2021-04-13,~2021-04-25,2021-05-08,2021-06-17
2021 Kern 6 P1,ND,ND,ND,ND,ND,ND
2021 Kern 7 P1,inf,inf,2021-05-19,2021-05-31,ND,ND
2021 Markham Ravine P1,ND,ND,ND,ND,ND,ND
2021 Orchard Creek P1,inf,inf,2021-04-19,2021-05-01,2021-05-15,2021-05-31
2021 Orchard Creek P2,inf,2021-05-16,2021-05-13,2021-05-25,2021-06-03,2021-06-17
2021 Panoche Creek Preserve 1W P1,2021-04-05,2021-04-20,2021-04-22,2021-05-04,ND,ND
2021 Panoche Creek Preserve 2E P1,inf,2021-04-20,2021-04-20,2021-05-02,2021-05-18,2021-05-22
2021 Plumas Arboga P1,inf,2021-05-15,2021-05-15,2021-05-27,ND,ND
2021 Rancho Jamul P1,ND,ND,ND,ND,ND,ND
2021 Reeds Creek North P1,inf,inf,ND,ND,ND,ND
2021 Reeds Creek South P1,inf,2021-05-04,2021-05-06,2021-05-18,ND,ND
2021 Rodeo Grounds 1 P1,inf,2021-04-23,2021-04-20,2021-05-02,2021-05-11,2021-05-24
2021 Rush Ranch,ND,ND,ND,ND,ND,ND
2021 Sedgwick P1,2021-04-04,2021-04-17,2021-04-16,2021-04-28,ND,ND
2021 SJWA P1,inf,2021-06-05,2021-06-03,2021-06-15,ND,ND
2021 Willey Wetlands 1 P1,inf,inf,2021-06-08,2021-06-20,ND,ND
2021 Willey Wetlands 2 P1,inf,inf,2021-06-02,~2021-06-12,2021-06-28,2021-07-06
2021 Willey Wetlands 3 P1,inf,inf,inf,inf,2021-06-24,2021-07-09
2021 Wind Wolves Preserve P1,2021-04-21,2021-05-03,2021-05-02,2021-05-14,2021-05-28,2021-06-07
2022 Baja 1 P1,inf,2022-04-29,2022-04-02,~2022-04-12,2022-04-29,2022-05-18
2022 Baja 2 P1,inf,2022-05-02,2022-04-03,~2022-04-13,2022-04-30,2022-05-18
2022 Colusa NWR T27.1 P1,ND,ND,ND,ND,ND,ND
2022 Colusa NWR T27.2 P1,missed,missed,2022-05-19,2022-05-31,2022-06-13,2022-06-20
2022 Conaway East P1,inf,2022-05-11,2022-05-11,2022-05-23,~2022-06-07,2022-06-17
2022 Conaway New Easement Pond West P1,ND,ND,ND,ND,ND,ND
2022 Conaway North A P1,inf,2022-05-10,2022-05-10,2022-05-22,2022-06-01,2022-06-16
2022 Conaway North P1,inf,2022-05-12,2022-05-09,2022-05-21,2022-05-31,2022-06-19
2022 Creed Road P1,2022-03-13,2022-04-04,2022-04-03,2022-04-15,2022-04-28,2022-05-20
2022 Foley Ranch A,ND,ND,ND,ND,ND,ND
2022 Foley Ranch B,ND,ND,ND,ND,ND,ND
2022 Hay Landfill P1,2022-02-24,2022-04-01,2022-03-31,~2022-04-10,2022-04-27,2022-05-15
2022 Hay Landfill P2,2022-05-04,2022-05-14,2022-05-07,2022-05-19,2022-06-01,2022-06-27
2022 Laguna Seca P1,inf,2022-04-09,2022-04-03,~2022-04-15,ND,ND
2022 Laguna Seca P2,2022-05-03,2022-05-11,2022-05-13,2022-05-25,ND,ND
2022 Los Vaqueros Reservoir P1,inf,inf,inf,inf,ND,ND
2022 Los Vaqueros Reservoir P2,inf,inf,2022-04-07,2022-04-19,2022-05-01,2022-05-24
2022 Marsh Creek Reservoir P1,ND,ND,ND,ND,ND,ND
2022 Newberry Springs - Lake Wainani P1,inf,inf,inf,inf,ND,ND
2022 Ohlone - Santa Lucia Preserve P1,2022-04-05,2022-04-21,~2022-04-15,~2022-05-02,2022-05-12,2022-06-20
2022 OR1,ND,ND,ND,ND,ND,ND
2022 OR2 P1,missed,missed,~2022-05-04,2022-05-18(E),2022-05-30,ND
2022 Paicines Ranch - Teal Pond B P1,inf,inf,2022-04-13,2022-04-25,2022-05-09,2022-06-02
2022 Paicines Ranch - Teal Pond P1,inf,2022-04-14,2022-04-10,2022-04-22,2022-05-06,2022-05-27
2022 Panoche Creek Preserve Loc3 P1,inf,2022-04-15,2022-04-08,2022-04-20,2022-05-03,2022-05-18
2022 Panoche Creek Preserve Loc4,ND,ND,ND,ND,ND,ND
2022 Panoche Creek Preserve Loc5 P1,inf,inf,2022-04-08,2022-04-20,2022-05-01,2022-05-16
2022 Plumas Arboga East P1,inf,inf,inf,inf,2022-05-12,2022-06-01
2022 Plumas Arboga East P2,ND,2022-05-31,2022-05-10,2022-05-22,2022-06-07,ND
2022 Plumas Arboga West P1,inf,inf,2022-05-12,2022-05-24,2022-06-08,2022-06-29
2022 Private Site 1 - not real lat lon P1,inf,inf,2022-04-18,~2022-04-28,2022-05-08,2022-05-28
2022 Private Site 2 - not real lat lon P1,inf,inf,inf,inf,2022-04-25,ND
2022 Private Site 3 - not real lat lon P1,inf,inf,inf,inf,2022-05-09,2022-05-26
2022 Rancho Jamul P1,2022-03-20,2022-04-10,2022-04-02,2022-04-14,2022-04-27,ND
2022 Sedgwick P1,inf,2022-04-04,2022-03-29,2022-04-10,2022-04-26,2022-05-07
2022 Sedgwick P2,2022-05-01,2022-05-07,2022-05-09,2022-05-21,2022-06-03,2022-06-12
2022 SJWA P1,inf,2022-06-03,2022-05-17,~2022-05-27,~2022-06-11,ND
2022 WA Harder Spring P1,2022-04-27,2022-05-03,~2022-05-05,~2022-05-17,2022-05-30,2022-06-12
2022 WA Harder Spring P2,2022-05-18,2022-05-27,2022-05-26,2022-06-07,2022-06-15,2022-06-22
2022 WA1 P1,inf,inf,inf,inf,inf,2022-06-01
2022 Wind Wolves Preserve Pleitito Creek,ND,ND,ND,ND,ND,ND
2022 Wind Wolves Preserve Santiago Wetlands P1,2022-03-07,2022-04-25,~2022-04-09,~2022-04-21,2022-05-03,2022-06-03
2023 Baja Rancho Cinega P1,inf,inf,inf,inf,~2023-05-01,~2023-07-28
2023 Bridge St Pond P1,ND,ND,ND,ND,ND,ND
2023 Colusa NWR T27.1 P1,2023-06-26,2023-07-04,2023-07-04,2023-07-16,2023-07-27,2023-07-30
2023 Colusa NWR T27.2 P1,inf,2023-06-05,2023-06-08,2023-06-20,2023-06-29,2023-07-20
2023 Conaway Ranch - HQ P1,2023-05-26,2023-05-31,2023-06-01,2023-06-13,2023-06-23,2023-06-30
2023 Conaway Ranch NE P1,inf,2023-06-03,2023-05-30,2023-06-11,2023-06-25,2023-06-30
2023 Conaway Ranch North 1 P1,ND,ND,2023-06-06,2023-06-18,2023-06-27,ND
2023 Conaway Ranch North 2 P1,inf,2023-06-18,2023-06-16,2023-06-28,2023-07-07,2023-07-23
2023 Creed Rd P1,2023-04-26,2023-05-05,2023-05-09,2023-05-21(E),ND,ND
2023 Delevan NWR T43.1 P1,ND,ND,ND,ND,ND,ND
2023 Delevan NWR T43.2 P1,ND,ND,ND,ND,ND,ND
2023 Delevan T6 P1,ND,ND,ND,ND,ND,ND
2023 Hale Road P1,2023-05-20,2023-05-25,2023-05-25,2023-06-06,2023-06-20,2023-07-06
2023 Hale Road P2,2023-06-26,2023-06-30,2023-07-04,ND,ND,ND
2023 Hale Road Site 2 P1,2023-05-20,2023-05-24,2023-05-25,2023-06-06,2023-06-19,2023-07-05
2023 Iron Point P1,inf,inf,inf,inf,ND,ND
2023 Kentucky Lateral P1,inf,inf,2023-04-14,2023-04-26,2023-05-12,ND
2023 Kern - Canebreak Ecological Reserve 4 P1,ND,ND,ND,ND,ND,ND
2023 Kern - HQ2 P1,2023-05-20,2023-05-24,2023-05-27,2023-06-08,2023-06-20,2023-07-03
2023 Kern - HQ2 P2,2023-06-23,2023-06-25,2023-06-23,2023-07-05,2023-07-19,2023-08-07
2023 Laguna Fry Confluence - 45 Sump P1,inf,2023-04-30,2023-04-29,2023-05-11,2023-05-21,2023-05-30
2023 Laguna Fry Confluence - Site 1 P1,inf,inf,2023-05-05,2023-05-17,2023-05-26,2023-06-01
2023 Los Vaqueros - Walnut Trail Marsh P1,inf,2023-04-17,2023-04-14,2023-04-26,ND,ND
2023 Los Vaqueros Reservoir P1,inf,2023-04-28,2023-04-16,2023-04-28,2023-05-06,2023-06-14
2023 Los Vaqueros Reservoir P2,2023-05-31,2023-06-05,2023-06-03,2023-06-15,2023-06-26,2023-07-17
2023 Markham Ravine P1,inf,2023-05-16,2023-05-19,2023-05-31,2023-06-16,2023-06-30
2023 Merced NWR - Cottonwood P1,inf,inf,inf,inf,inf,2023-05-30
2023 Merced NWR - Cottonwood P2,inf,inf,~2023-05-12,~2023-05-27,~2023-06-04,ND
2023 Merced NWR Deadman Wetland Ditch P1,inf,inf,2023-05-19,2023-05-31,ND,ND
2023 North Regional Pond P1,~2023-04-07,2023-04-27,2023-04-23,~2023-05-03,2023-05-15,2023-05-30
2023 OR Dizney Rd P1,inf,~2023-05-13,2023-05-07,~2023-05-17,~2023-06-03,~2023-06-09
2023 OR Eureka Rd P1,missed,missed,~2023-05-03,~2023-05-17,2023-05-29,2023-06-21
2023 OR Prineville North P1,inf,2023-05-01,2023-05-03,2023-05-15,2023-05-27,2023-06-13
2023 OR Prineville North P2,2023-06-04,2023-06-09,2023-06-09,~2023-06-19,2023-07-06,2023-07-12
2023 Panoche Creek Preserve - Corrals NW P1,inf,inf,inf,inf,2023-05-08,2023-05-14
2023 Panoche Creek Preserve - Corrals SE P1,inf,inf,inf,inf,2023-05-07,2023-05-17
2023 Peterson Ranch Pond - East,ND,ND,ND,ND,ND,ND
2023 Peterson Ranch Pond - West,ND,ND,ND,ND,ND,ND
2023 Plumas Arboga 2 P1,inf,2023-05-28,2023-05-26,2023-06-07,2023-06-17,2023-07-01
2023 Plumas Arboga 8 - North Regional Pond P1,inf,2023-04-26,2023-04-24,~2023-05-04,2023-05-15,2023-05-24
2023 Plumas Arboga 8 - North Regional Pond P2,2023-05-27,2023-06-02,2023-06-03,2023-06-15,~2023-06-29,ND
2023 Rancho Jamul North Pond - fix lat lon P1,2023-04-21,2023-04-30,2023-05-04,2023-05-13(E),2023-05-26,~2023-06-04
2023 Rancho Jamul Site 1 fix lat lon P1,2023-03-29,2023-04-19,2023-04-11,~2023-04-23,ND,ND
2023 Rancho Jamul Site 1 fix lat lon P2,2023-05-26,2023-06-04,~2023-06-04,~2023-06-16,ND,ND
2023 San Luis Bear Creek P1,inf,2023-06-20,2023-06-20,2023-07-05,2023-07-15,2023-07-18
2023 San Luis NWR - West Bank Creek P1,inf,2023-05-29,2023-06-02,2023-06-14,ND,ND
2023 Sedgwick P1,inf,2023-04-19,2023-04-04,~2023-04-15,2023-04-29,2023-05-18
2023 South Virginia Road 3 P1,ND,ND,ND,ND,ND,ND
2023 Virginia at Ostrom,ND,ND,ND,ND,ND,ND
2023 WA Harder Spring P1,missed,missed,missed,missed,2023-06-17,~2023-07-08
2023 WA Harder Spring P2,missed,missed,missed,missed,2023-07-27,2023-07-29
2023 WA McCain Wetlands P1,missed,missed,~2023-04-28,~2023-05-10,~2023-05-24,2023-05-28(C)
2023 Weagell Property 1 P2,,2023-04-27,2023-04-27,2023-05-09,2023-05-22,
2023 Weagell Property 1 P1,inf,inf,,2023-05-03,~2023-05-14,Continuous
2023 Weagell Property 1 P2,2023-05-02,2023-05-12,2023-05-12,2023-05-24,Continuous,ND
2023 Weagell Property 1 P3,~2023-05-16,2023-05-26,~2023-05-24,~2023-06-05,Continuous,ND
2023 Weagell Property 2 P1,inf,2023-05-05,2023-05-07,2023-05-19,2023-05-25,2023-06-07
2023 Weagell Property 2 P2,2023-06-02,2023-06-03,2023-06-09,ND,ND,ND
2023 West of Davis P1,inf,inf,inf,inf,inf,~2023-05-11
2023 West of Davis P2,inf,2023-05-07,2023-05-10,~2023-05-20,2023-06-02,2023-06-06
2023 Wind Wolves Preserve site 1 P1,missed,missed,~2023-04-20,~2023-05-03,2023-05-17,2023-06-01
2023 Wind Wolves Preserve Site 2 P1,inf,2023-04-20,~2023-04-17,~2023-04-29,2023-05-09,2023-06-12
2024 Baja Lago Mesa Redonda P1,inf,inf,inf,inf,inf,Continuous
2024 Baja Lago Mesa Redonda P2,inf,2024-05-17,2024-05-10,2024-05-22,Continuous,2024-07-08
2024 Baja Rancho Cinega Redonda 1 P1,inf,inf,inf,inf,2024-05-06,Continuous
2024 Baja Rancho Cinega Redonda 1 P2,inf,2024-05-12,2024-05-13,~2024-05-23,Continuous,2024-06-22
2024 Baja Rancho Cinega Redonda 2 P1,inf,inf,2024-04-17,2024-04-29,2024-05-10,2024-06-04
2024 Baja Rancho Cinega Redonda 2 P2,2024-05-12,2024-05-23,2024-05-23,2024-06-04,2024-06-12,2024-06-30
2024 Colusa NWR T27.1 P1,2024-05-25,2024-05-31,2024-06-01,2024-06-13,ND,ND
2024 Colusa NWR T27.2,ND,ND,ND,ND,ND,ND
2024 Dublin Ranch Preserve - Lin Livermore Conservation Area P1,inf,inf,2024-05-19,2024-05-31,2024-06-09,2024-06-24
2024 Kern 1 - check lat lon,ND,ND,ND,ND,ND,ND
2024 Los Vaqueros Reservoir P1,inf,2024-04-23,2024-04-23,~2024-05-03,ND,ND
2024 Los Vaqueros Reservoir P2,2024-05-17,2024-05-26,~2024-05-27,2024-06-09,2024-06-20,ND
2024 Markham Ravine 1 P1,ND,ND,ND,ND,ND,ND
2024 Markham Ravine 2 P1,ND,ND,ND,ND,ND,ND
2024 Markham Ravine 3 P1,ND,ND,ND,ND,ND,ND
2024 Merced NWR - Cottonwood Trail P1,inf,inf,inf,missed,2024-05-17,2024-06-07
2024 Moore Lake - confirm lat lon P1,ND,ND,ND,ND,ND,ND
2024 Newberry Springs P1,inf,inf,inf,inf,inf,ND
2024 North Regional Pond,ND,ND,ND,ND,ND,ND
2024 Ohlone - Santa Lucia Preserve P1,inf,2024-05-06,2024-04-20,2024-05-02,2024-05-18,2024-05-23
2024 Ohlone - Santa Lucia Preserve P2,ND,ND,2024-05-12,2024-05-24,ND,2024-06-13
2024 Ohlone - Santa Lucia Preserve P3,ND,ND,2024-06-05,2024-06-17,ND,inf
2024 OR Eureka Lane P1,ND,ND,ND,ND,ND,ND
2024 Panoche Creek Preserve - Dollar Marsh East P1,inf,2024-04-22,2024-04-17,2024-04-29,2024-05-09,2024-06-11
2024 Panoche Creek Preserve - Dollar Marsh East P2,ND,ND,~2024-05-23,~2024-06-08,ND,ND
2024 Panoche Creek Preserve - Dollar Marsh South P1,inf,2024-04-20,2024-04-19,2024-05-01,2024-05-18,2024-06-03
2024 Panoche Creek Preserve - Dollar Marsh West P1,inf,2024-04-20,2024-04-23,2024-05-05,2024-05-14,2024-05-27
2024 Rancho Jamul - Main Pond 1 P1,inf,2024-04-09,2024-04-13,2024-04-25(E),ND,ND
2024 Rancho Jamul - Main Pond 1 P2,2024-05-01,2024-05-13,~2024-05-14,2024-05-28(E),2024-06-09,2024-07-23
2024 Rancho Jamul - Main Pond 2 P1,inf,2024-04-09,2024-04-13,2024-04-25(E),ND,ND
2024 Rancho Jamul - Main Pond 2 P2,2024-04-27,2024-05-13,2024-05-14,~2024-05-24,2024-06-09,ND
2024 Rancho Jamul - North Pond,ND,ND,ND,ND,ND,ND
2024 Sedgwick P1,inf,2024-04-29,2024-04-08,~2024-04-18,~2024-05-03,2024-06-10
2024 SJWA Thistle NW of Bridge Street Pond P1,inf,inf,inf,inf,ND,ND
2024 WA Harder Spring P1,missed,missed,2024-05-26,2024-06-07,2024-06-25,2024-07-04
2024 WA Harder Spring P2,missed,missed,2024-07-06,~2024-07-16,2024-07-27,ND
2024 WA McCain Pond P1,missed,missed,~2024-04-20,~2024-05-02,~2024-05-15,~2024-06-03
2024 Wind Wolves Preserve - Los Lobos P1,inf,inf,inf,inf,2024-05-11,2024-05-14
2024 Wind Wolves Preserve - Los Lobos P2,inf,2024-05-11,~2024-05-08,~2024-05-21(E),2024-06-02,2024-06-14
2024 Wind Wolves Preserve - Pleitito P1,inf,inf,inf,2024-04-16(E),2024-04-28,ND
2024 Wind Wolves Preserve - Pleitito P2,missed,missed,2024-05-13,2024-05-25,2024-06-03,2024-06-17
2024 Wind Wolves Preserve - Santiago P1,inf,inf,inf,inf,2024-05-03,2024-07-02
2024 Wind Wolves Preserve - Tevis P1,inf,inf,2024-04-21,2024-05-03,2024-05-17,2024-06-08
