Site ID,Group,Name,Pretty Name,Comment,Deployment Start,Deployment End,Breeding Type,Complex Types,Pulse Name,Outcome,Substrate,Colony Size,mcstart,incstart,hatch,fledgestart,fledgedisp,abandon,partial abandon
7650,Iron Point,2020 Iron Point,2020 Iron Point,,4/19/2020,8/5/2020,No Colony,,2020 Iron Point p1,No Colony,Himalayan blackberry,No Colony,ND,ND,ND,ND,ND,ND,ND
6404,Markham Ravine,2020 Markham Ravine,2020 Markham Ravine,,4/28/2020,6/24/2020,Simple,,2020 Markham Ravine p1,Partially Abandoned,"Himalayan blackberry, willow",1000,4/29/2020,5/7/2020,5/19/2020,~5/30/2020,6/8/2020,ND,5/18/2020
2915,Solano County,2020 Rush Ranch,2020 Rush Ranch,,2/12/2020,7/10/2020,No Colony,,2020 Rush Ranch p1,No Colony,"Bulrush, cattails",No Colony,ND,ND,ND,ND,ND,ND,ND
18572,Monterey,2020 Ohlone - Santa Lucia Preserve,2020 Santa Lucia Preserve - Ohlone Pond,,3/25/2020,7/18/2020,Simple,,2020 Santa Lucia Preserve - Ohlone Pond p1,Successful,Bulrush (Schoenoplectus spp.),80,ND,~4/22/2020,~5/4/2020,5/12/2020,6/19/2020,ND,ND
24130,Sacramento National Wildlife Refuge Complex,2021 Colusa NWR 27-1,2021 Colusa NWR T27-1&2,,4/21/2021,6/26/2021,Simple,,2021 Colusa NWR T27-1&2 p1,Successful,"Bulrush, cattails",Unknown,5/11/2021,5/25/2021,6/6/2021,~6/15/2021,6/17/2021,ND,ND
24221,Sacramento National Wildlife Refuge Complex,2021 Colusa NWR 27-2,2021 Colusa NWR T27-2S,,4/21/2021,6/21/2021,Unknown,,2021 Colusa NWR T27-2S p1,Unknown,"Bulrush, cattails","10,000",5/19/2021,6/4/2021,6/16/2021,post,post,ND,ND
21652,Central Sacramento Valley,2021 Conaway East,2021 Conaway East,2021 Conaway South:,5/20/2021,7/5/2021,Simple,,2021 Conaway East p1,Successful,Cattails with bulrush,10000,pre,5/29/2021,6/10/2021,6/20/2021,post,ND,ND
24652,Central Sacramento Valley,2021 Conaway South,2021 Conaway South,,5/20/2021,7/5/2021,Simple,,2021 Conaway South p1,Successful,Cattails with bulrush,10000,5/21/2021,5/28/2021,6/9/2021,6/23/2021,7/3/2021,ND,ND
21591,Central Sacramento Valley,2021 Conaway West,2021 Conaway West,2021 Conaway South:,5/12/2021,6/28/2021,Simple,,2021 Conaway West p1,Successful,Cattails with bulrush,10000,pre,5/21/2021,6/2/2021,6/13/2021,post,ND,ND
24122,CNLM,2021 Dagnino Pond,2021 Dagnino Pond,,4/29/2021,7/12/2021,No Colony,,2021 Dagnino Pond p1,No Colony,"Bulrush, cattails, Mustard",No Colony,ND,ND,ND,ND,ND,ND,ND
21681,Solano County,2021 Creed Road,2021 Denverton Creek,,2/2/2021,5/12/2021,No Colony,,2021 Denverton Creek p1,No Colony,Himalayan blackberry,1000,ND,ND,ND,ND,ND,ND,ND
24651,Central Sacramento Valley,2021 Reeds Creek North,2021 Erle Road-Reeds Creek North,2021 Erle Road-Reeds Creek South:,5/4/2021,5/20/2021,Unknown,,2021 Erle Road-Reeds Creek North p1,Abandoned,"Himalayan blackberry, lettuce",1000,pre,ND,ND,abandoned,abandoned,5/14/2021,ND
24653,Central Sacramento Valley,2021 Reeds Creek South,2021 Erle Road-Reeds Creek South,,5/4/2021,5/20/2021,Unknown,,2021 Erle Road-Reeds Creek South p1,Unknown,Himalayan blackberry,1500,pre,5/6/2021,5/18/2021,post,post,ND,ND
21668,Central Sacramento Valley,2021 Foley Ranch,2021 Virginia at Ostrom,,5/4/2021,6/14/2021,Sequential,,2021 Virginia at Ostrom p1,Successful,Himalayan blackberry,10000,pre,4/30/2021,5/12/2021,5/24/2021,post,ND,ND
21668,Central Sacramento Valley,2021 Foley Ranch,2021 Virginia at Ostrom,,5/4/2021,6/14/2021,Sequential,,2021 Virginia at Ostrom p2,Unknown,Himalayan blackberry,10000,5/23/2021,5/31/2021,6/12/2021,post,post,ND,ND
21688,Central Sacramento Valley,2021 Hale Road 2,2021 Hale Road 2,,5/4/2021,6/14/2021,Simple,,2021 Hale Road 2 p1,Successful,"Himalayan blackberry, bulrush",7000,pre,5/1/2021,5/13/2021,5/28/2021,6/4/2021,ND,ND
11101,Solano County,2021 Hay Landfill,2021 Hay Landfill,,2/2/2021,5/8/2021,Unknown,,2021 Hay Landfill p1,Unknown,"Bulrush, cattails",4000,3/1/2021,4/12/2021,4/24/2021,post,post,ND,ND
24658,Iron Point,2021 Iron Point,2021 Iron Point,,2/2/2021,5/14/2021,No Colony,,2021 Iron Point p1,No Colony,Himalayan blackberry,No Colony,ND,ND,ND,ND,ND,ND,ND
24606,Southern Sierra Research Station,2021 Kern 1,2021 Kern 1,,4/9/2021,8/5/2021,Simple,,2021 Kern 1 p1,Successful,"Stinging nettle, mulefat",NEED,5/6/2021,5/20/2021,6/1/2021,ND,~6/24/2021,ND,ND
24544,Southern Sierra Research Station,2021 Kern 2,2021 Kern 2,,4/6/2021,7/30/2021,No Colony,,2021 Kern 2 p1,No Colony,Cattails,No Colony,ND,ND,ND,ND,ND,ND,ND
24641,Southern Sierra Research Station,2021 Kern 3,2021 Kern 3,,4/6/2021,8/5/2021,No Colony,,2021 Kern 3 p1,No Colony,Bulrush,No Colony,ND,ND,ND,ND,ND,ND,ND
24655,Southern Sierra Research Station,2021 Kern 4,2021 Kern 4,,4/19/2021,8/10/2021,Simple,,2021 Kern 4 p1,Partially Abandoned,Stinging nettle,NEED,4/27/2021,5/12/2021,5/24/2021,~5/31/2021,~6/12/2021,ND,5/7/2021
26534,Southern Sierra Research Station,2021 Kern 5,2021 Kern 5,,4/27/2021,8/17/2021,Complex,"Asynchronous, Sequential",2021 Kern 5 p1,Successful,Himalayan blackberry,NEED,pre,pre,pre,5/18/2021,6/2/2021,ND,ND
26534,Southern Sierra Research Station,2021 Kern 5,2021 Kern 5,,4/27/2021,8/17/2021,Complex,"Asynchronous, Sequential",2021 Kern 5 p2,Successful,Himalayan blackberry,NEED,ND,ND,5/23/2021,6/9/2021,6/17/2021,ND,ND
26535,Southern Sierra Research Station,2021 Kern 6,2021 Kern 6,,5/1/2021,8/21/2021,No TRBL,,2021 Kern 6 p1,No TRBL,Cattails,No Colony,ND,ND,ND,ND,ND,ND,ND
26536,Southern Sierra Research Station,2021 Kern 7,2021 Kern 7,,5/17/2021,9/1/2021,Unknown,,2021 Kern 7 p1,Abandoned,Stinging nettle,NEED,pre,5/19/2021,5/31/2021,ND,ND,6/5/2021,ND
26432,Markham Ravine,2021 Markham Ravine,2021 Markham Ravine,,4/30/2021,6/23/2021,No TRBL,,2021 Markham Ravine p1,No TRBL,"Himalayan blackberry, willow",No Colony,ND,ND,ND,ND,ND,ND,ND
24252,Placer County,2021 Orchard Creek,2021 Orchard Creek,,4/19/2021,7/4/2021,Additions,,2021 Orchard Creek p1,Successful,Himalayan blackberry,2500,pre,4/16/2021,4/28/2021,5/15/2021,~5/31/2021,ND,ND
24252,Placer County,2021 Orchard Creek,2021 Orchard Creek,,4/19/2021,7/4/2021,Additions,,2021 Orchard Creek p2,Successful,Himalayan blackberry,2500,5/2/2021,5/13/2021,5/25/2021,~6/3/2021,6/19/2021,ND,ND
24233,CNLM,2021 Panoche Creek Preserve 1W,2021 Panoche Creek Marsh East 1,2021 Panoche Creek Marsh East 2: These were definitely in the same colony. 1E had much better data,4/1/2021,7/14/2021,Simple,,2021 Panoche Creek Marsh East 1 p1,Partially Abandoned,Cattails,NEED,4/6/2021,4/20/2021,5/2/2021,~5/23/2021,~5/25/2021,ND,4/30/2021
24232,CNLM,2021 Panoche Creek Preserve 2E,2021 Panoche Creek Marsh East 2,,4/1/2021,7/14/2021,Simple,,2021 Panoche Creek Marsh East 2 p1,Successful,Cattails,NEED,4/7/2021,4/18/2021,4/30/2021,5/18/2021,5/23/2021,ND,ND
21537,Central Sacramento Valley,2021 Plumas Arboga,2021 Plumas Arboga,,5/14/2021,6/4/2021,Unknown,,2021 Plumas Arboga p1,Unknown,Cattails with Himalayan blackberry,2000,pre,5/15/2021,5/27/2021,post,post,ND,ND
24119,Rancho Jamul,2021 Rancho Jamul,2021 Rancho Jamul,,3/19/2021,6/5/2021,Asynchronous,,2021 Rancho Jamul p1,Successful,"Cattails, bulrush or tule",NEED,ND,ND,ND,ND,post,ND,ND
24231,Placer County,2021 Rodeo Grounds 1,2021 Rodeo Grounds,,4/19/2021,6/13/2021,Simple,,2021 Rodeo Grounds p1,Successful,Himalayan blackberry,40,pre,4/20/2021,5/2/2021,5/11/2021,5/28/2021,ND,ND
24549,Solano County,2021 Rush Ranch,2021 Rush Ranch,,2/2/2021,5/13/2021,No Colony,,2021 Rush Ranch p1,No Colony,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
25171,San Jacinto Wildlife Area,2021 SJWA,2021 San Jacinto Wildlife Area - Bridge Street Pond,,6/2/2021,6/30/2021,Unknown,,2021 San Jacinto Wildlife Area - Bridge Street Pond p1,Abandoned,"Bulrush, cattails",500,pre,6/3/2021,6/15/2021,ND,ND,6/23/2021,ND
11100,Sedgwick,2021 Sedgwick,2021 Sedgwick Reserve Pond,,3/6/2021,5/6/2021,Unknown,,2021 Sedgwick Reserve Pond p1,Unknown,Cattails,250,4/5/2021,4/16/2021,4/28/2021,post,post,ND,ND
24107,CNLM,2021 Willey Wetlands 1,2021 Willey Wetlands 1,2021 Willey Wetlands 3: ,6/10/2021,8/17/2021,Simple,,2021 Willey Wetlands 1 p1,Successful,"Bulrush, cattails",A few hundred,pre,6/8/2021,6/20/2021,~7/2/2021,7/12/2021,ND,ND
24261,CNLM,2021 Willey Wetlands 2,2021 Willey Wetlands 2,,6/10/2021,8/17/2021,Simple,,2021 Willey Wetlands 2 p1,Successful,"Bulrush, cattails",A few hundred,pre,5/31/2021,6/12/2021,6/28/2021,7/10/2021,ND,ND
24263,CNLM,2021 Willey Wetlands 3,2021 Willey Wetlands 3,,6/10/2021,8/15/2021,Simple,,2021 Willey Wetlands 3 p1,Successful,"Bulrush, cattails",A few hundred,pre,pre,pre,6/24/2021,7/10/2021,ND,ND
24790,Wind Wolves Preserve,2021 Wind Wolves Preserve,2021 Wind Wolves Preserve,,4/14/2021,7/20/2021,Simple,,2021 Wind Wolves Preserve p1,Successful,Stinging nettle,NEED,4/19/2021,5/2/2021,5/14/2021,5/28/2021,6/24/2021,ND,ND
34485,Baja,2022 Baja 1,2022 Baja Ciénega Redonda North,,3/23/2022,7/12/2022,Simple,,2022 Baja Ciénega Redonda North p1,Successful,Cattails,300-400,pre,4/2/2022,4/14/2022,4/30/2022,5/23/2022,ND,ND
53136,Baja,2022 Baja 2,2022 Baja Ciénega Redonda North 2,2022 Baja Ciénega Redonda North: Had less detections than Baja 1. Keep Baja 1.,3/23/2022,7/17/2022,Simple,,2022 Baja Ciénega Redonda North 2 p1,Successful,Cattails,---,pre,4/3/2022,4/15/2022,4/30/2022,5/22/2022,ND,ND
34044,Sacramento National Wildlife Refuge Complex,2022 Colusa NWR T27.1,2022 Colusa NWR T27-1&2,,4/18/2022,8/4/2022,No TRBL,,2022 Colusa NWR T27-1&2 p1,No TRBL,"Bulrush, cattails",No Colony,ND,ND,ND,ND,ND,ND,ND
34079,Sacramento National Wildlife Refuge Complex,2022 Colusa NWR T27.2,2022 Colusa NWR T27-2S,,4/18/2022,8/4/2022,Simple,,2022 Colusa NWR T27-2S p1,Successful,"Bulrush, cattails",3000,ND,5/19/2022,5/31/2022,6/16/2022,6/21/2022,ND,ND
34111,Central Sacramento Valley,2022 Conaway New Easement Pond West,2022 Conaway New Easement Pond West,,5/11/2022,6/13/2022,No TRBL,,2022 Conaway New Easement Pond West p1,No TRBL,Cattails with bulrush,No Colony,ND,ND,ND,ND,ND,ND,ND
34112,Central Sacramento Valley,2022 Conaway North,2022 Conaway North,,5/4/2022,6/28/2022,Simple,,2022 Conaway North p1,Successful,"Cattails, Himalayan blackberry, willow",15000,pre,5/9/2022,5/21/2022,5/31/2022,6/20/2022,ND,ND
34113,Central Sacramento Valley,2022 Conaway North A,2022 Conaway North A,2022 Conaway North:,5/4/2022,6/28/2022,Simple,,2022 Conaway North A p1,Successful,"Cattails, Himalayan blackberry, willow",15000,pre,5/10/2022,5/22/2022,6/1/2022,6/18/2022,ND,ND
34115,Central Sacramento Valley,2022 Conaway East,2022 Conaway Ranch Reservoir,,5/9/2022,6/28/2022,Simple,,2022 Conaway Ranch Reservoir p1,Partially Abandoned,Himalayan blackberry,Unknown,pre,5/11/2022,5/23/2022,~6/7/2022,post,ND,5/20/2022
34078,Solano County,2022 Creed Road,2022 Denverton Creek,,2/13/2022,8/20/2022,Simple,,2022 Denverton Creek p1,Successful,Himalayan blackberry,1000,3/24/2022,4/3/2022,4/15/2022,4/28/2022,5/25/2022,ND,ND
34118,Central Sacramento Valley,2022 Foley Ranch A,2022 Virginia at Ostrom A,,4/24/2022,6/6/2022,No Colony,,2022 Virginia at Ostrom A p1,No Colony,Himalayan blackberry,5000,ND,ND,ND,ND,ND,ND,ND
34119,Central Sacramento Valley,2022 Foley Ranch B,2022 Virginia at Ostrom B,2022 Foley Ranch A:,4/24/2022,6/6/2022,No Colony,,2022 Virginia at Ostrom B p1,No Colony,Himalayan blackberry,5000,ND,ND,ND,ND,ND,ND,ND
33966,Solano County,2022 Hay Landfill,2022 Hay Landfill,,2/13/2022,9/9/2022,Sequential,,2022 Hay Landfill p1,Partially Abandoned,"Bulrush, cattails",4000,2/24/2022,3/31/2022,4/12/2022,4/27/2022,5/20/2022,ND,ND
33966,Solano County,2022 Hay Landfill,2022 Hay Landfill,,2/13/2022,9/9/2022,Sequential,,2022 Hay Landfill p2,Successful,"Bulrush, cattails",4000,5/1/2022,5/7/2022,5/19/2022,6/1/2022,6/27/2022,ND,ND
34077,Monterey,2022 Laguna Seca,2022 Laguna Seca,,3/20/2022,7/11/2022,Sequential,,2022 Laguna Seca p1,Successful,"Bulrush, cattails",Unknown,3/27/2022,4/3/2022,4/15/2022,ND,ND,ND,ND
34077,Monterey,2022 Laguna Seca,2022 Laguna Seca,,3/20/2022,7/11/2022,Sequential,,2022 Laguna Seca p2,Unknown,"Bulrush, cattails",Unknown,5/3/2022,5/16/2022,5/28/2022,ND,ND,ND,ND
34117,Los Vaqueros,2022 Los Vaqueros Reservoir,2022 Los Vaqueros Playa,,4/15/2022,6/8/2022,Unknown,,2022 Los Vaqueros Playa p1,Successful,Himalayan blackberry,400-500,pre,4/7/2022,4/19/2022,4/28/2022,5/28/2022,ND,ND
34076,Los Vaqueros,2022 Marsh Creek Reservoir,2022 Marsh Creek Reservoir,,4/15/2022,6/8/2022,No TRBL,,2022 Marsh Creek Reservoir p1,No TRBL,Cattails,No Colony,ND,ND,ND,ND,ND,ND,ND
34075,San Bernardino,2022 Newberry Springs - Lake Wainani,2022 Newberry Springs - Lake Wainani,,5/12/2022,5/20/2022,Unknown,,2022 Newberry Springs - Lake Wainani p1,Successful,"Cattails, willows",500,pre,pre,pre,ND,post,ND,ND
33851,Oregon,2022 OR1,2022 Oregon State - Warm Springs Dizney Lane,,4/18/2022,6/9/2022,No Colony,,2022 Oregon State - Warm Springs Dizney Lane p1,No Colony,"Cattails, Himalayan blackberry",50,ND,ND,ND,ND,ND,ND,ND
34073,Oregon,2022 OR2,2022 Oregon State - Prineville Woodward Rd,,4/24/2022,6/3/2022,Simple,,2022 Oregon State - Prineville Woodward Rd p1,Successful,Cattails,40-80,ND,~5/4/2022,~5/16/2022,~5/25/2022,post,ND,ND
34071,CNLM,2022 Paicines Ranch - Teal Pond,2022 Paicines Ranch - Teal Pond,,4/10/2022,8/6/2022,Simple,,2022 Paicines Ranch - Teal Pond p1,Successful,"Bulrush, cattails",4000,pre,4/10/2022,4/22/2022,5/8/2022,5/28/2022,ND,ND
34072,CNLM,2022 Paicines Ranch - Teal Pond B,2022 Paicines Ranch - Teal Pond B,2022 Paicines Ranch - Teal Pond:,4/11/2022,8/3/2022,Simple,,2022 Paicines Ranch - Teal Pond B p1,Successful,"Bulrush, cattails",4000,pre,4/10/2022,4/22/2022,5/9/2022,6/4/2022,ND,ND
52598,CNLM,2022 Panoche Creek Preserve Loc4,2022 Panoche Creek Marsh East 1,,3/22/2022,4/14/2022,No Colony,,2022 Panoche Creek Marsh East 1 p1,No Colony,Cattails,NEED,ND,ND,ND,ND,ND,ND,ND
34130,CNLM,2022 Panoche Creek Preserve Loc5,2022 Panoche Creek Marsh East 2,,4/14/2022,6/23/2022,Simple,,2022 Panoche Creek Marsh East 2 p1,Successful,Cattails,NEED,pre,4/8/2022,4/20/2022,5/1/2022,5/16/2022,ND,ND
52597,CNLM,2022 Panoche Creek Preserve Loc3,2022 Panoche Creek Preserve Location 3,,3/18/2022,6/23/2022,Simple,,2022 Panoche Creek Preserve Location 3 p1,Successful,NEED,NEED,pre,4/8/2022,4/20/2022,5/3/2022,5/21/2022,ND,ND
34012,Central Sacramento Valley,2022 Plumas Arboga East,2022 Plumas Arboga 6 East,,5/4/2022,6/28/2022,Complex,"Asynchronous, Sequential",2022 Plumas Arboga 6 East p1,Successful,Himalayan blackberry,9000,pre,pre,pre,5/12/2022,5/31/2022,ND,ND
34012,Central Sacramento Valley,2022 Plumas Arboga East,2022 Plumas Arboga 6 East,,5/4/2022,6/28/2022,Complex,"Asynchronous, Sequential",2022 Plumas Arboga 6 East p2,Successful,Himalayan blackberry,9000,ND,5/10/2022,5/22/2022,6/7/2022,post,ND,ND
34013,Central Sacramento Valley,2022 Plumas Arboga West,2022 Plumas Arboga 6 West,2022 Plumas Arboga 6 East:,5/11/2022,6/28/2022,Simple,,2022 Plumas Arboga 6 West p1,Successful,Himalayan blackberry,9000,pre,5/12/2022,5/24/2022,6/1/2022,post,ND,ND
34131,Dairies,2022 Private Site 1 - not real lat lon,2022 Private Site 1 - approximate lat lon,,4/19/2022,6/3/2022,Asynchronous,,2022 Private Site 1 - approximate lat lon p1,Successful,Triticale,"35,000",pre,4/18/2022,4/30/2022,5/8/2022,5/28/2022,ND,ND
34133,Dairies,2022 Private Site 2 - not real lat lon,2022 Private Site 2 - approximate lat lon,,4/19/2022,5/2/2022,Asynchronous,,2022 Private Site 2 - approximate lat lon p1,Successful,Triticale,"15,000",pre,pre,pre,4/25/2022,post,ND,ND
34132,Dairies,2022 Private Site 3 - not real lat lon,2022 Private Site 3 - approximate lat lon,,4/19/2022,6/3/2022,Asynchronous,,2022 Private Site 3 - approximate lat lon p1,Successful,Milk thistle,ND,pre,pre,pre,5/9/2022,5/26/2022,ND,ND
34045,Rancho Jamul,2022 Rancho Jamul,2022 Rancho Jamul,,3/2/2022,7/2/2022,Asynchronous,,2022 Rancho Jamul p1,Successful,NEED,NEED,3/20/2022,4/2/2022,4/14/2022,4/27/2022,post,ND,ND
34046,San Jacinto Wildlife Area,2022 SJWA,2022 San Jacinto Wildlife Area - Bridge Street Pond,,5/10/2022,6/27/2022,Asynchronous,,2022 San Jacinto Wildlife Area - Bridge Street Pond p1,Successful,Cattails,800,pre,5/14/2022,5/26/2022,~6/11/2022,post,ND,ND
34090,Monterey,2022 Ohlone - Santa Lucia Preserve,2022 Santa Lucia Preserve - Ohlone Pond,,3/21/2022,8/16/2022,Asynchronous,,2022 Santa Lucia Preserve - Ohlone Pond p1,Successful,Bulrush (Schoenoplectus spp.),50,4/5/2022,4/20/2022,5/2/2022,5/20/2022,6/28/2022,ND,ND
33985,Sedgwick,2022 Sedgwick,2022 Sedgwick Reserve Pond,,3/20/2022,7/12/2022,Sequential,,2022 Sedgwick Reserve Pond p1,Successful,Cattails,200,pre,3/29/2022,4/10/2022,4/26/2022,5/13/2022,ND,ND
33985,Sedgwick,2022 Sedgwick,2022 Sedgwick Reserve Pond,,3/20/2022,7/12/2022,Sequential,,2022 Sedgwick Reserve Pond p2,Successful,Cattails,200,5/1/2022,5/9/2022,5/21/2022,6/3/2022,6/17/2022,ND,ND
33984,Washington,2022 WA Harder Spring,2022 Washington State - Harder Spring,,3/18/2022,7/13/2022,Additions,,2022 Washington State - Harder Spring p1,Successful,"Bulrush, cattails, common reed",200,4/27/2022,~5/5/2022,~5/17/2022,5/30/2022,ND,ND,ND
33984,Washington,2022 WA Harder Spring,2022 Washington State - Harder Spring,,3/18/2022,7/13/2022,Additions,,2022 Washington State - Harder Spring p2,Successful,"Bulrush, cattails, common reed",200,5/18/2022,5/26/2022,6/7/2022,ND,7/10/2022,ND,ND
