Site ID,Group,Name,Pretty Name,Comment,Deployment Start,Deployment End,Breeding Type,Complex Types,Pulse Name,Outcome,Substrate,Colony Size,mcstart,incstart,hatch,fledgestart,fledgedisp,abandon,partial abandon
2059,Solano County,2017 Rush Ranch,2017 Rush Ranch,,3/2/2017,7/24/2017,Sequential,,2017 Rush Ranch p1,Abandoned,"Bulrush, cattails",800,3/7/2017,4/19/2017,5/1/2017,ND,ND,5/3/2017,ND
2059,Solano County,2017 Rush Ranch,2017 Rush Ranch,,3/2/2017,7/24/2017,Sequential,,2017 Rush Ranch p2,Successful,"Bulrush, cattails",800,5/8/2017,5/18/2017,5/30/2017,6/12/2017,6/26/2017,ND,ND
2059,Solano County,2017 Rush Ranch,2017 Rush Ranch,,3/2/2017,7/24/2017,Sequential,,2017 Rush Ranch p3,Successful,"Bulrush, cattails",800,6/2/2017,6/16/2017,6/28/2017,ND,ND,ND,ND
3150,Iron Point,2018 Iron Point,2018 Iron Point,,4/22/2018,5/19/2018,No Colony,,2018 Iron Point p1,No Colony,Himalayan blackberry,2000,pre,ND,ND,ND,ND,ND,ND
3348,Markham Ravine,2018 Markham Ravine Main,2018 Markham Ravine,,6/26/2018,7/23/2018,Asynchronous,,2018 Markham Ravine p1,Successful,Himalayan blackberry,1000,pre,pre,ND,ND,ND,ND,ND
3366,Markham Ravine,2018 Markham Ravine westside,2018 Markham Ravine - West,2018 Markham Ravine Main:,6/26/2018,7/13/2018,Unknown,,2018 Markham Ravine - West p1,Successful,Himalayan blackberry,1000,pre,pre,pre,pre,post,ND,ND
3281,Placer County,2018 Red Wing Ranch,2018 Yankee Slough Ranch Preserve,,5/4/2018,6/4/2018,Unknown,,2018 Yankee Slough Ranch Preserve p1,Abandoned,"Himalayan blackberry, Bulrush, cattails",3000,pre,5/5/2018,5/17/2018,ND,ND,5/22/2018,ND
2719,Solano County,2018 Rush Ranch,2018 Rush Ranch,,2/9/2018,6/26/2018,Simple,,2018 Rush Ranch p1,Successful,"Bulrush, cattails",2000,5/4/2018,5/14/2018,5/26/2018,6/11/2018,post,ND,ND
3682,San Jacinto Wildlife Area,2018 SJWA-rose-2,2018 San Jacinto Wildlife Area - Bridge St. Pond,,4/10/2018,4/27/2018,Unknown,,2018 San Jacinto Wildlife Area - Bridge St. Pond p1,Abandoned,"Bulrush, cattails",30000,pre,ND,ND,ND,ND,4/22/2018,ND
3417,San Jacinto Wildlife Area,2018 SJWA-rose-1,2018 San Jacinto Wildlife Area - Little Ramona,2018 SJWA Little Ramona:,4/2/2018,4/10/2018,No Colony,,2018 San Jacinto Wildlife Area - Little Ramona p1,No Colony,"Bulrush, cattails",30000,ND,ND,ND,ND,ND,ND,ND
82621,San Jacinto Wildlife Area,2018 SJWA WSS,2018 SJWA Little Ramona,,4/2/2018,5/1/2018,Unknown,,2018 SJWA Little Ramona p1,Abandoned,"Bulrush, cattails",30000,4/10/2018,~4/18/2018,~4/30/2018,ND,ND,4/22/2018,ND
5642,Sacramento National Wildlife Refuge Complex,2019 Colusa NWR 27-1,2019 Colusa NWR T27-1N,,5/27/2019,8/12/2019,Simple,,2019 Colusa NWR T27-1N p1,Successful,"Bulrush, cattails",20000,pre,ND,ND,6/27/2019,7/22/2019,ND,ND
5643,Sacramento National Wildlife Refuge Complex,2019 Colusa NWR 27-2,2019 Colusa NWR T27-2S,,5/21/2019,6/18/2019,Simple,,2019 Colusa NWR T27-2S p1,Partially Abandoned,"Bulrush, cattails",200,pre,5/17/2019,5/29/2019,~6/14/2019,~6/15/2019,ND,5/26/2019
4455,Solano County,2019 Creed Road,2019 Denverton Creek,,3/17/2019,7/7/2019,Sequential,,2019 Denverton Creek p1,Successful,Himalayan blackberry,1000,3/24/2019,4/28/2019,5/10/2019,5/23/2019,6/2/2019,ND,ND
4455,Solano County,2019 Creed Road,2019 Denverton Creek,,3/17/2019,7/7/2019,Sequential,,2019 Denverton Creek p2,Abandoned,Himalayan blackberry,1000,5/13/2019,~5/19/2019,~5/31/2019,ND,ND,5/31/2019,ND
4456,Solano County,2019 Hay Landfill,2019 Hay Landfill,,4/8/2019,7/7/2019,Sequential,,2019 Hay Landfill p1,Successful,"Bulrush, cattails",4000,4/8/2019,4/15/2019,4/27/2019,5/11/2019,5/30/2019,ND,ND
4456,Solano County,2019 Hay Landfill,2019 Hay Landfill,,4/8/2019,7/7/2019,Sequential,,2019 Hay Landfill p2,Partially Abandoned,"Bulrush, cattails",4000,5/20/2019,5/28/2019,6/9/2019,6/23/2019,7/3/2019,ND,6/13/2019
4979,Iron Point,2019 Iron Point,2019 Iron Point,,4/24/2019,8/1/2019,Asynchronous,,2019 Iron Point p1,Successful,Himalayan blackberry,1500,pre,4/21/2019,5/3/2019,5/14/2019,7/7/2019,ND,ND
4639,Solano County,2019 Leisure Town,2019 Leisure Town Road,,3/17/2019,7/7/2019,Sequential,,2019 Leisure Town Road p1,Successful,"Bulrush, cattails",2000,3/29/2019,ND,ND,ND,ND,ND,ND
4639,Solano County,2019 Leisure Town,2019 Leisure Town Road,,3/17/2019,7/7/2019,Sequential,,2019 Leisure Town Road p2,Successful,"Bulrush, cattails",2000,5/19/2019,ND,ND,ND,ND,ND,ND
5637,Markham Ravine,2019 Markham Ravine,2019 Markham Ravine,,5/10/2019,7/8/2019,Simple,,2019 Markham Ravine p1,Partially Abandoned,"Himalayan blackberry, willow",1500,pre,5/16/2019,5/28/2019,6/16/2019,6/22/2019,ND,5/28/2019
5640,Markham Ravine,2019 Markham Ravine 2,2019 Markham Ravine 2,,5/10/2019,7/8/2019,Simple,,2019 Markham Ravine 2 p1,Partially Abandoned,"Himalayan blackberry, willow",10000,pre,5/19/2019,5/31/2019,~6/9/2019,~6/21/2019,ND,5/24/2019
5638,Solano County,2019 Rush Ranch,2019 Rush Ranch,,2/6/2019,7/6/2019,Unknown,,2019 Rush Ranch p1,Abandoned,"Bulrush, cattails",500,5/1/2019,~5/5/2019,~5/17/2019,ND,ND,5/22/2019,ND
7657,Central Sacramento Valley,2020 Conaway Ranch,2020 Conaway Ranch,,5/18/2020,7/10/2020,Asynchronous,,2020 Conaway Ranch p1,Successful,Cattails with bulrush,19000,pre,5/25/2020,6/6/2020,6/18/2020,post,ND,ND
2908,Solano County,2020 Creed Road,2020 Denverton Creek,,2/12/2020,7/11/2020,No Colony,,2020 Denverton Creek p1,No Colony,Himalayan blackberry,1000,ND,ND,ND,ND,ND,ND,ND
57589,Monterey,2020 Fort Ord,2020 Fort Ord,,4/8/2020,7/15/2020,Simple,,2020 Fort Ord p1,Successful,"Stinging nettle (Urtica spp.), Poison hemlock (Conium maculatum)",No Colony,pre,4/12/2020,4/24/2020,5/9/2020,6/1/2020,ND,ND
6199,Solano County,2020 Hay Landfill,2020 Hay Landfill,,2/12/2020,7/10/2020,Asynchronous,,2020 Hay Landfill p1,Successful,"Bulrush, cattails",4000,4/1/2020,4/18/2020,4/30/2020,5/11/2020,post,ND,ND
6199,Solano County,2020 Hay Landfill,2020 Hay Landfill,,2/12/2020,7/10/2020,Asynchronous,,2020 Hay Landfill p2,Successful,"Bulrush, cattails",4000,ND,ND,ND,ND,ND,ND,ND
