site,old_site,breeding_type,outcome,hatch_date,abandon_date,partial_abandon_date,substrate,approx_colony_size,distance_to_colony,first_recording,last_recording
2019 Denverton Creek P1,2019 Creed Road P1,Sequential,Successful,2019-05-10,ND,ND,Himalayan blackberry,1000,125,2019-03-17,2019-07-07
2019 Denverton Creek P2,2019 Creed Road P2,Sequential,Abandoned,2019-06-04(E),2019-05-31,ND,Himalayan blackberry,1000,125,2019-03-17,2019-07-07
2019 Hay Landfill P1,2019 Hay Landfill P1,Sequential,Successful,2019-04-28,ND,ND,"Bulrush, cattails",4000,0,2019-04-08,2019-07-07
2019 Hay Landfill P2,2019 Hay Landfill P2,Sequential,Partially Abandoned,2019-06-09,ND,2019-06-13,"Bulrush, cattails",4000,0,2019-04-08,2019-07-07
2019 Iron Point P1,2019 Iron Point P1,Complex,Successful,~2019-04-30,ND,ND,Himalayan blackberry,1500,15,2019-04-24,2019-08-01
2019 Iron Point P2,2019 Iron Point P2,Complex,Successful,2019-05-28,ND,ND,Himalayan blackberry,1500,15,2019-04-24,2019-08-01
2019 Iron Point P3,2019 Iron Point P3,Complex,Successful,2019-06-10,ND,ND,Himalayan blackberry,1500,15,2019-04-24,2019-08-01
2019 Leisure Town Road P1,2019 Leisure Town P1,Sequential,Successful,missed,ND,ND,"Bulrush, cattails",2000,50,2019-03-17,2019-07-07
2019 Leisure Town Road P2,2019 Leisure Town P2,Sequential,Successful,2019-06-04,ND,ND,"Bulrush, cattails",2000,50,2019-03-17,2019-07-07
2019 Markham Ravine 2 P1,2019 Markham Ravine 2 P1,Simple,Partially Abandoned,2019-05-28,ND,2019-05-24,"Himalayan blackberry, willow",10000,20,2019-05-10,2019-07-08
2019 Markham Ravine P1,2019 Markham Ravine P1,Simple,Partially Abandoned,2019-05-27,ND,2019-05-28,"Himalayan blackberry, willow",1500,20,2019-05-10,2019-07-08
2019 Riosa Redwing Ranch,2019 Red Wing Ranch,No Colony,No Colony,ND,ND,ND,"Himalayan blackberry, Bulrush, cattails",No Colony,No Colony,2019-04-24,2019-05-10
2019 Rush Ranch P1,2019 Rush Ranch P1,Unknown,Abandoned,2019-05-21(E),2019-05-22,ND,"Bulrush, cattails",500,3,2019-02-06,2019-07-06
2020 Conaway Ranch P1,2020 Conaway Ranch P1,Asynchronous,Successful,~2020-06-04,ND,ND,Cattails with bulrush,19000,10,2020-05-18,2020-07-10
2020 Denverton Creek,2020 Creed Road,No Colony,No Colony,ND,ND,ND,Himalayan blackberry,1000,125,2020-02-12,2020-07-11
2020 Fort Ord P1,2020 Fort Ord P1,Asynchronous,Successful,2020-04-24,ND,ND,"Stinging nettle (Urtica spp.), Poison hemlock (Conium maculatum)",No Colony,No Colony,2020-04-08,2020-07-15
2020 Hay Landfill P1,2020 Hay Landfill P1,Complex,Successful,2020-04-27,ND,ND,"Bulrush, cattails",4000,0,2020-02-12,2020-07-10
2020 Hay Landfill P2,2020 Hay Landfill P2,Complex,Successful,~2020-06-06,ND,ND,"Bulrush, cattails",4000,0,2020-02-12,2020-07-10
2020 Iron Point,2020 Iron Point,No Colony,No Colony,ND,ND,ND,Himalayan blackberry,No Colony,15,2020-04-19,2020-08-05
2020 Markham Ravine P1,2020 Markham Ravine P1,Simple,Partially Abandoned,2020-05-19,ND,2020-05-18,"Himalayan blackberry, willow",1000,10,2020-04-28,2020-06-24
2020 Santa Lucia Preserve - Ohlone Pond P1,2020 Ohlone - Santa Lucia Preserve P1,Simple,Successful,~2020-05-01,ND,ND,Bulrush (Schoenoplectus spp.),80,3,2020-03-25,2020-07-18
2020 Rush Ranch,2020 Rush Ranch,No Colony,No Colony,ND,ND,ND,"Bulrush, cattails",No Colony,No Colony,2020-02-12,2020-07-10
2021 Colusa NWR T27-1&2 P1,2021 Colusa NWR 27-1 P1,Simple,Successful,~2021-06-02,ND,ND,"Bulrush, cattails",Unknown,Unknown,2021-04-21,2021-06-26
2021 Colusa NWR T27-2S P1,2021 Colusa NWR 27-2 P1,Unknown,Unknown,~2021-06-13,ND,ND,"Bulrush, cattails",10000,10,2021-04-21,2021-06-21
2021 Conaway East P1,2021 Conaway East P1,Simple,Successful,~2021-06-08,ND,ND,Cattails with bulrush,10000,5,2021-05-20,2021-07-05
2021 Conaway South P1,2021 Conaway South P1,Simple,Successful,2021-06-09,ND,ND,Cattails with bulrush,10000,5,2021-05-20,2021-07-05
2021 Conaway West P1,2021 Conaway West P1,Simple,Successful,~2021-05-31,ND,ND,Cattails with bulrush,10000,5,2021-05-12,2021-06-28
2021 Denverton Creek,2021 Creed Road,No Colony,No Colony,ND,ND,ND,Himalayan blackberry,1000,125,2021-02-02,2021-05-12
2021 Dagnino Pond,2021 Dagnino Pond,No Colony,No Colony,ND,ND,ND,"Bulrush, cattails, Mustard",No Colony,53,2021-04-29,2021-07-12
2021 Virginia at Ostrom P1,2021 Foley Ranch P1,Sequential,Successful,2021-05-12,ND,ND,Himalayan blackberry,10000,20,2021-05-04,2021-06-14
2021 Virginia at Ostrom P2,2021 Foley Ranch P2,Sequential,Unknown,2021-06-13,ND,ND,Himalayan blackberry,10000,20,2021-05-04,2021-06-14
2021 Hale Road 2 P1,2021 Hale Road 2 P1,Simple,Successful,2021-05-14,ND,ND,"Himalayan blackberry, bulrush",7000,20,2021-05-04,2021-06-14
2021 Hay Landfill P1,2021 Hay Landfill P1,Unknown,Unknown,~2021-04-23,ND,ND,"Bulrush, cattails",4000,0,2021-02-02,2021-05-08
2021 Iron Point P1,2021 Iron Point P1,Unknown,Abandoned,2021-05-04(E),2021-04-23,ND,Himalayan blackberry,No Colony,15,2021-02-02,2021-05-14
2021 Kern 1 P1,2021 Kern 1 P1,Simple,Successful,~2021-05-30,ND,ND,"Stinging nettle, mulefat",NEED,2,2021-04-09,2021-08-05
2021 Kern 2,2021 Kern 2,No Colony,No Colony,ND,ND,ND,Cattails,No Colony,5,2021-04-06,2021-07-30
2021 Kern 3,2021 Kern 3,No Colony,No Colony,ND,ND,ND,Bulrush,No Colony,40,2021-04-06,2021-08-05
2021 Kern 4 P1,2021 Kern 4 P1,Simple,Partially Abandoned,~2021-05-13,ND,2021-05-07,Stinging nettle,NEED,15,2021-04-19,2021-08-10
2021 Kern 5 P1,2021 Kern 5 P1,Asynchronous,Successful,~2021-04-25,ND,ND,Himalayan blackberry,NEED,0,2021-04-27,2021-08-17
2021 Kern 5 P2,,,,2021-05-14,,,Himalayan blackberry,NEED,0,2021-04-27,2021-08-17
2021 Kern 6,2021 Kern 6,No TRBL,No TRBL,ND,ND,ND,Cattails,No Colony,30,2021-05-01,2021-08-21
2021 Kern 7 P1,2021 Kern 7 P1,Unknown,Abandoned,2021-05-31,2021-06-05,ND,Stinging nettle,NEED,12,2021-05-17,2021-09-01
2021 Markham Ravine,2021 Markham Ravine,No TRBL,No TRBL,ND,ND,ND,"Himalayan blackberry, willow",No Colony,No Colony,2021-04-30,2021-06-23
2021 Orchard Creek P1,2021 Orchard Creek P1,Additions,Successful,2021-05-01,ND,ND,Himalayan blackberry,2500,error,2021-04-19,2021-07-04
2021 Orchard Creek P2,2021 Orchard Creek P2,Additions,Successful,2021-05-25,ND,ND,Himalayan blackberry,2500,error,2021-04-19,2021-07-04
2021 Panoche Creek Marsh East 1 P1,2021 Panoche Creek Preserve 1W P1,Simple,Partially Abandoned,2021-05-04,ND,2021-04-30,Cattails,3500,10,2021-04-01,2021-07-14
2021 Panoche Creek Marsh East 2 P1,2021 Panoche Creek Preserve 2E P1,Simple,Successful,2021-05-02,ND,ND,Cattails,3500,5,2021-04-01,2021-07-14
2021 Plumas Arboga P1,2021 Plumas Arboga P1,Unknown,Unknown,2021-05-27,ND,ND,Cattails with Himalayan blackberry,2000,10,2021-05-14,2021-06-04
2021 Rancho Jamul P1,2021 Rancho Jamul P1,Asynchronous,Successful,ND,ND,ND,"Cattails, bulrush or tule",NEED,NEED,2021-03-19,2021-06-05
2021 Erle Road-Reeds Creek North P1,2021 Reeds Creek North P1,Unknown,Abandoned,ND,2021-05-14,ND,"Himalayan blackberry, lettuce",1000,20,2021-05-04,2021-05-20
2021 Erle Road-Reeds Creek South P1,2021 Reeds Creek South P1,Unknown,Unknown,2021-05-18,ND,ND,Himalayan blackberry,1500,20,2021-05-04,2021-05-20
2021 Rodeo Grounds P1,2021 Rodeo Grounds 1 P1,Simple,Successful,2021-05-02,ND,ND,Himalayan blackberry,40,1,2021-04-19,2021-06-13
2021 Rush Ranch,2021 Rush Ranch,No Colony,No Colony,ND,ND,ND,No Colony,No Colony,2,2021-02-02,2021-05-13
2021 Sedgwick Reserve Pond P1,2021 Sedgwick P1,Unknown,Unknown,2021-04-28,ND,ND,Cattails,250,2,2021-03-06,2021-05-06
2021 San Jacinto Wildlife Area - Bridge Street Pond P1,2021 SJWA P1,Unknown,Abandoned,2021-06-15,2021-06-23,ND,"Bulrush, cattails",500,10,2021-06-02,2021-06-30
2021 Willey Wetlands 1 P1,2021 Willey Wetlands 1 P1,Simple,Successful,2021-06-20,ND,ND,"Bulrush, cattails",300,5,2021-06-10,2021-08-17
2021 Willey Wetlands 2 P1,2021 Willey Wetlands 2 P1,Simple,Successful,~2021-06-12,ND,ND,"Bulrush, cattails",300,6,2021-06-10,2021-08-17
2021 Willey Wetlands 3 P1,2021 Willey Wetlands 3 P1,Simple,Successful,inf,ND,ND,"Bulrush, cattails",300,15,2021-06-10,2021-08-15
2021 Wind Wolves Preserve P1,2021 Wind Wolves Preserve P1,Simple,Successful,2021-05-14,ND,ND,Stinging nettle,NEED,NEED,2021-04-14,2021-07-20
2022 Baja Ciénega Redonda North P1,2022 Baja 1 P1,Asynchronous,Successful,~2022-04-12,ND,ND,Cattails,350,2,2022-03-23,2022-07-12
2022 Baja Ciénega Redonda North 2 P1,2022 Baja 2 P1,Asynchronous,Successful,~2022-04-13,ND,ND,Cattails,350,2,2022-03-23,2022-07-17
2022 Colusa NWR T27-1&2,2022 Colusa NWR T27.1,No TRBL,No TRBL,ND,ND,ND,"Bulrush, cattails",No Colony,No Colony,2022-04-18,2022-08-04
2022 Colusa NWR T27-2S P1,2022 Colusa NWR T27.2 P1,Simple,Successful,2022-05-31,ND,ND,"Bulrush, cattails",3000,20,2022-04-18,2022-08-04
2022 Conaway Ranch Reservoir P1,2022 Conaway East P1,Simple,Partially Abandoned,2022-05-23,ND,2022-05-20,Himalayan blackberry,Unknown,Unknown,2022-05-09,2022-06-28
2022 Conaway New Easement Pond West,2022 Conaway New Easement Pond West,No TRBL,No TRBL,ND,ND,ND,Cattails with bulrush,No Colony,No Colony,2022-05-11,2022-06-13
2022 Conaway North A P1,2022 Conaway North A P1,Simple,Successful,2022-05-22,ND,ND,"Cattails, Himalayan blackberry, willow",15000,5,2022-05-04,2022-06-28
2022 Conaway North P1,2022 Conaway North P1,Simple,Successful,2022-05-21,ND,ND,"Cattails, Himalayan blackberry, willow",15000,5,2022-05-04,2022-06-28
2022 Denverton Creek P1,2022 Creed Road P1,Simple,Successful,2022-04-15,ND,ND,Himalayan blackberry,1000,125,2022-02-13,2022-08-20
2022 Virginia at Ostrom A,2022 Foley Ranch A,No Colony,No Colony,ND,ND,ND,Himalayan blackberry,5000,20,2022-04-24,2022-06-06
2022 Virginia at Ostrom B,2022 Foley Ranch B,No Colony,No Colony,ND,ND,ND,Himalayan blackberry,5000,20,2022-04-24,2022-06-06
2022 Hay Landfill P1,2022 Hay Landfill P1,Sequential,Partially Abandoned,~2022-04-10,ND,2022-04-08,"Bulrush, cattails",4000,0,2022-02-13,2022-09-09
2022 Hay Landfill P2,2022 Hay Landfill P2,Sequential,Successful,2022-05-19,ND,ND,"Bulrush, cattails",4000,0,2022-02-13,2022-09-09
2022 Laguna Seca P1,2022 Laguna Seca P1,Sequential,Successful,2022-04-15,ND,ND,"Bulrush, cattails",Unknown,3,2022-03-20,2022-07-11
2022 Laguna Seca P2,2022 Laguna Seca P2,Sequential,Successful,2022-05-25,ND,ND,"Bulrush, cattails",Unknown,3,2022-03-20,2022-07-11
2022 Los Vaqueros Playa P1,2022 Los Vaqueros Reservoir P1,Unknown,Successful,inf,ND,ND,Himalayan blackberry,450,0,2022-04-15,2022-06-08
2022 Los Vaqueros Playa P2,2022 Los Vaqueros Reservoir P2,,,2022-04-19,ND,ND,Himalayan blackberry,450,0,2022-04-15,2022-06-08
2022 Marsh Creek Reservoir,2022 Marsh Creek Reservoir,No TRBL,No TRBL,ND,ND,ND,Cattails,No Colony,No Colony,2022-04-15,2022-06-08
2022 Newberry Springs - Lake Wainani,2022 Newberry Springs - Lake Wainani,Unknown,Successful,inf,ND,ND,"Cattails, willows",500,90,2022-05-12,2022-05-20
2022 Santa Lucia Preserve - Ohlone Pond P1,2022 Ohlone - Santa Lucia Preserve P1,Asynchronous,Successful,~2022-05-02,ND,ND,Bulrush (Schoenoplectus spp.),50,3,2022-03-21,2022-08-16
2022 Oregon State - Warm Springs Dizney Lane,2022 OR1,No Colony,No Colony,ND,ND,ND,"Cattails, Himalayan blackberry",50,10,2022-04-18,2022-06-09
2022 Oregon State - Prineville Woodward Rd P1,2022 OR2 P1,Simple,Successful,2022-05-18(E),ND,ND,Cattails,60,10,2022-04-24,2022-06-03
2022 Paicines Ranch - Teal Pond B P1,2022 Paicines Ranch - Teal Pond B P1,Simple,Successful,2022-04-25,ND,ND,"Bulrush, cattails",4000,3,2022-04-11,2022-08-03
2022 Paicines Ranch - Teal Pond P1,2022 Paicines Ranch - Teal Pond P1,Simple,Successful,2022-04-22,ND,ND,"Bulrush, cattails",4000,3,2022-04-10,2022-08-06
2022 Panoche Creek Preserve Location 3 P1,2022 Panoche Creek Preserve Loc3 P1,Simple,Successful,2022-04-20,ND,ND,NEED,4500,10,2022-03-18,2022-06-23
2022 Panoche Creek Marsh East 1,2022 Panoche Creek Preserve Loc4,No Colony,No Colony,ND,ND,ND,Cattails,4500,10,2022-03-22,2022-04-14
2022 Panoche Creek Marsh East 2 P1,2022 Panoche Creek Preserve Loc5 P1,Simple,Successful,2022-04-20,ND,ND,Cattails,4500,10,2022-04-14,2022-06-23
2022 Plumas Arboga 6 East P1,2022 Plumas Arboga East P1,Complex,Successful,inf,ND,ND,Himalayan blackberry,9000,15,2022-05-04,2022-06-28
2022 Plumas Arboga 6 East P2,2022 Plumas Arboga East P2,Complex,Successful,2022-05-22,ND,ND,Himalayan blackberry,9000,15,2022-05-04,2022-06-28
2022 Plumas Arboga 6 West P1,2022 Plumas Arboga West P1,Simple,Successful,2022-05-24,ND,ND,Himalayan blackberry,9000,1,2022-05-11,2022-06-28
2022 Private Site 1 - approximate lat lon P1,2022 Private Site 1 - not real lat lon P1,Asynchronous,Successful,~2022-04-28,ND,ND,Triticale,35000,5,2022-04-19,2022-06-03
2022 Private Site 2 - approximate lat lon P1,2022 Private Site 2 - not real lat lon P1,Asynchronous,Successful,inf,ND,ND,Triticale,15000,ND,2022-04-19,2022-05-02
2022 Private Site 3 - approximate lat lon P1,2022 Private Site 3 - not real lat lon P1,Asynchronous,Successful,inf,ND,ND,Milk thistle,ND,ND,2022-04-19,2022-06-03
2022 Rancho Jamul P1,2022 Rancho Jamul P1,Asynchronous,Successful,2022-04-14,ND,ND,NEED,NEED,NEED,2022-03-02,2022-07-02
2022 Sedgwick Reserve Pond P1,2022 Sedgwick P1,Sequential,Successful,2022-04-10,ND,ND,Cattails,200,2,2022-03-20,2022-07-12
2022 Sedgwick Reserve Pond P2,2022 Sedgwick P2,Sequential,Successful,2022-05-21,ND,ND,Cattails,200,2,2022-03-20,2022-07-12
2022 San Jacinto Wildlife Area - Bridge Street Pond P1,2022 SJWA P1,Asynchronous,Successful,~2022-05-27,ND,ND,Cattails,800,10,2022-05-10,2022-06-27
2022 Washington State - Harder Spring P1,2022 WA Harder Spring P1,Additions,Successful,~2022-05-17,ND,ND,"Bulrush, cattails, common reed",200,20,2022-03-18,2022-07-13
2022 Washington State - Harder Spring P2,2022 WA Harder Spring P2,Additions,Successful,2022-06-07,ND,ND,"Bulrush, cattails, common reed",200,20,2022-03-18,2022-07-13
2022 Washington State - McCain Wetands P1,2022 WA1 P1,Unknown,Successful,inf,ND,ND,"Bulrush, cattails, common reed",175,10,2022-05-27,2022-08-01
2022 Wind Wolves Preserve - Pleitito Creek,2022 Wind Wolves Preserve Pleitito Creek,No Colony,No Colony,ND,ND,ND,Stinging nettle,No Colony,No Colony,2022-03-11,2022-05-26
2022 Wind Wolves Preserve - Santiago Wetlands P1,2022 Wind Wolves Preserve Santiago Wetlands P1,Asynchronous,Successful,~2022-04-21,ND,ND,Stinging nettle,75,40,2022-02-23,2022-08-17
2023 Baja Ciénega Redonda North P1,2023 Baja Rancho Cinega P1,Unknown,Successful,missed,ND,ND,Cattails,150,2,2023-04-14,2023-08-22
2023 San Jacinto Wildlife Area - Bridge St. Pond,2023 Bridge St Pond,No TRBL,No TRBL,ND,ND,ND,"Bulrush, cattails",No Colony,No Colony,2023-04-18,2023-05-06
2023 Colusa NWR T27-1&2 P1,2023 Colusa NWR T27.1 P1,Simple,Partially Abandoned,2023-07-16,ND,2023-07-24,"Bulrush, cattails",2000,10,2023-06-01,2023-08-01
2023 Colusa NWR T27-2S P1,2023 Colusa NWR T27.2 P1,Simple,Successful,2023-06-20,ND,ND,"Bulrush, cattails",23000,5,2023-06-01,2023-08-01
2023 Conaway Ranch Headquarters P1,2023 Conaway Ranch - HQ P1,Simple,Successful,2023-06-13,ND,ND,Himalayan blackberry,5000,30,2023-05-24,2023-07-05
2023 Conaway Ranch NE P1,2023 Conaway Ranch NE P1,Simple,Successful,2023-06-11,ND,ND,Himalayan blackberry,9000,3,2023-05-26,2023-07-11
2023 Conaway Ranch North 1 P1,2023 Conaway Ranch North 1 P1,Simple,Successful,2023-06-18,ND,ND,"Himalayan blackberry, cattails",10000,5,2023-06-08,2023-07-13
2023 Conaway Ranch North 2 P1,2023 Conaway Ranch North 2 P1,Simple,Successful,2023-06-28,ND,ND,"Himalayan blackberry, cattails",10000,5,2023-06-13,2023-07-27
2023 Denverton Creek P1,2023 Creed Rd P1,Simple,Abandoned,2023-05-21(E),2023-05-10,ND,Himalayan blackberry,1000,125,2023-03-12,2023-08-07
2023 Delevan NWR T43-1,2023 Delevan NWR T43.1,No TRBL,No TRBL,ND,ND,ND,"Bulrush, cattails, Himalayan blackberry",No Colony,No Colony,2023-05-16,2023-07-18
2023 Delevan NWR T43-2,2023 Delevan NWR T43.2,No TRBL,No TRBL,ND,ND,ND,"Bulrush, cattails, Himalayan blackberry",No Colony,No Colony,2023-05-16,2023-09-16
2023 Delevan NWR T6,2023 Delevan T6,No TRBL,No TRBL,ND,ND,ND,Bulrush,No Colony,No Colony,2023-05-30,2023-07-25
2023 Hale Road P1,2023 Hale Road P1,Sequential,Successful,2023-06-06,ND,ND,"Himalayan blackberry, cattails",10000,2,2023-04-18,2023-07-08
2023 Hale Road P2,2023 Hale Road P2,Sequential,Unknown,ND,ND,ND,"Himalayan blackberry, cattails",10000,2,2023-04-18,2023-07-08
2023 Hale Road Site 2 P1,2023 Hale Road Site 2 P1,Simple,Successful,2023-06-06,ND,ND,"Himalayan blackberry, cattails",10000,2,2023-04-11,2023-07-08
2023 Iron Point P1,2023 Iron Point P1,Simple,Partially Abandoned,inf,ND,2023-05-13,Himalayan blackberry,600,15,2023-05-09,2023-08-22
2023 Kentucky Lateral P1,2023 Kentucky Lateral P1,Asynchronous,Successful,2023-04-26,ND,ND,Bull thistle,500,10,2023-04-15,2023-05-22
2023 Kern - Canebreak Ecological Reserve 4,2023 Kern - Canebreak Ecological Reserve 4,No TRBL,No TRBL,ND,ND,ND,Stinging nettle,No Colony,0,2023-05-25,2023-08-11
2023 Kern - Headquarters 2 P1,2023 Kern - HQ2 P1,Sequential,Successful,2023-06-08,ND,ND,Sandbar Willow,100,3,2023-05-03,2023-08-11
2023 Kern - Headquarters 2 P2,2023 Kern - HQ2 P2,Sequential,Successful,2023-07-05,ND,ND,Sandbar Willow,100,3,2023-05-03,2023-08-11
2023 45 Sump P1,2023 Laguna Fry Confluence - 45 Sump P1,Simple,Successful,2023-05-11,ND,ND,Himalayan blackberry,5500,15,2023-04-25,2023-06-18
2023 Laguna Frye Confluence 3 P1,2023 Laguna Fry Confluence - Site 1 P1,Simple,Successful,2023-05-17,ND,ND,"Himalayan blackberry, cattails, tule",17500,5,2023-05-09,2023-06-18
2023 Los Vaqueros - Walnut Trail Marsh P1,2023 Los Vaqueros - Walnut Trail Marsh P1,Simple,Abandoned,2023-04-26,2023-04-30,ND,"Bulrush, cattails",500,15,2023-04-07,2023-07-07
2023 Los Vaqueros Playa P1,2023 Los Vaqueros Reservoir P1,Complex,Successful,2023-04-28,ND,ND,Himalayan blackberry,2000,0,2023-03-24,2023-07-31
2023 Los Vaqueros Playa P2,2023 Los Vaqueros Reservoir P2,Complex,Successful,2023-06-15,ND,ND,Himalayan blackberry,2000,0,2023-03-24,2023-07-31
2023 Markham Ravine P1,2023 Markham Ravine P1,Simple,Partially Abandoned,2023-05-31,ND,2023-05-23,"Himalayan blackberry, willow",3500,9,2023-05-15,2023-07-17
2023 Merced NWR - Cottonwood Trail P1,2023 Merced NWR - Cottonwood P1,Sequential,Successful,inf,ND,ND,"Buttonwillow, milk thistle",ND,error,2023-05-12,2023-06-16
2023 Merced NWR - Cottonwood Trail P2,2023 Merced NWR - Cottonwood P2,Sequential,Partially Abandoned,~2023-05-27,ND,2023-06-02,"Buttonwillow, milk thistle",ND,error,2023-05-12,2023-06-16
2023 Merced NWR - Deadman Wetland Ditch P1,2023 Merced NWR Deadman Wetland Ditch P1,Simple,Abandoned,2023-05-31,2023-06-04,ND,"Milk thistle, mustard",200,25,2023-05-23,2023-06-27
2023 North Regional Pond P1,2023 North Regional Pond P1,Simple,Successful,~2023-05-03,ND,ND,"Mustard, milk thistle",150,20,2023-03-31,2023-06-02
2023 Oregon State - Warm Springs Dizney Lane P1,2023 OR Dizney Rd P1,Simple,Partially Abandoned,~2023-05-17,ND,2023-05-25,"Cattails, Himalayan blackberry",87,4,2023-04-29,2023-07-15
2023 Oregon State - Metolius Eureka Lane P1,2023 OR Eureka Rd P1,Simple,Successful,~2023-05-17,ND,ND,"Cattails, Himalayan blackberry",100,10,2023-04-29,2023-07-24
2023 Oregon State - Prineville Grimes Rd P1,2023 OR Prineville North P1,Sequential,Successful,2023-05-15,ND,ND,Cattails,62,5,2023-04-29,2023-07-15
2023 Oregon State - Prineville Grimes Rd P2,2023 OR Prineville North P2,Sequential,Successful,~2023-06-19,ND,ND,Cattails,62,5,2023-04-29,2023-07-15
2023 Panoche Creek Preserve - Corrals North West P1,2023 Panoche Creek Preserve - Corrals NW P1,Simple,Successful,inf,ND,ND,"Fiddleneck, cheeseweed, London rocket, and Chilean chess",450,5,2023-04-29,2023-06-12
2023 Panoche Creek Preserve - Corrals Southeast P1,2023 Panoche Creek Preserve - Corrals SE P1,Simple,Successful,inf,ND,ND,"Fiddleneck, cheeseweed, London rocket, and Chilean chess",450,5,2023-04-29,2023-06-12
2023 Petersen Ranch Pond - East,2023 Peterson Ranch Pond - East,No Colony,No Colony,ND,ND,ND,Bulrush,No Colony,50,2023-04-05,2023-07-28
2023 Petersen Ranch Pond - West,2023 Peterson Ranch Pond - West,No Colony,No Colony,ND,ND,ND,Bulrush,No Colony,50,2023-04-05,2023-07-28
2023 Plumas Arboga 2 P1,2023 Plumas Arboga 2 P1,Simple,Successful,2023-06-07,ND,ND,Himalayan blackberry,7000,3,2023-05-26,2023-07-08
2023 Plumas Arboga 8 P1,2023 Plumas Arboga 8 - North Regional Pond P1,Sequential,Partially Abandoned,~2023-05-04,ND,2023-05-06,Himalayan blackberry,4000,3,2023-04-21,2023-07-08
2023 Plumas Arboga 8 P2,2023 Plumas Arboga 8 - North Regional Pond P2,Sequential,Successful,2023-06-15,ND,ND,Himalayan blackberry,4000,3,2023-04-21,2023-07-08
2023 Rancho Jamul - North Pond P1,2023 Rancho Jamul North Pond - fix lat lon P1,Simple,Successful,2023-05-13(E),ND,ND,NEED,NEED,NEED,2023-03-27,2023-08-04
2023 Rancho Jamul - Site 1 P1,2023 Rancho Jamul Site 1 fix lat lon P1,Sequential,Successful,~2023-04-23,ND,ND,NEED,NEED,NEED,2023-03-27,2023-08-03
2023 Rancho Jamul - Site 1 P2,2023 Rancho Jamul Site 1 fix lat lon P2,Sequential,Successful,~2023-06-16,ND,ND,NEED,NEED,NEED,2023-03-27,2023-08-03
2023 San Luis NWR - Tanager Slough P1,2023 San Luis Bear Creek P1,Simple,Partially Abandoned,2023-07-05,ND,2023-06-20,Willows,550,30,2023-06-16,2023-07-24
2023 San Luis NWR - Fiddleneck Lake P1,2023 San Luis NWR - West Bank Creek P1,Simple,Partially Abandoned,2023-06-14,ND,2023-06-05,"Milk thistle, mustard",500,75,2023-05-26,2023-07-12
2023 Sedgwick Reserve Pond P1,2023 Sedgwick P1,Asynchronous,Successful,~2023-04-15,ND,ND,Cattails,300,2,2023-03-26,2023-07-29
2023 South Virginia Road 3,2023 South Virginia Road 3,No TRBL,No TRBL,ND,ND,ND,"Himalayan blackberry, willows",No Colony,No Colony,2023-04-11,2023-06-06
