site,old_site,breeding_type,outcome,hatch_date,abandon_date,partial_abandon_date,substrate,approx_colony_size,distance_to_colony,first_recording,last_recording
2017 Rush Ranch P1,2017 Rush Ranch P1,Sequential,Abandoned,~2017-04-29,2017-05-03,ND,"Bulrush, cattails",800,3,2017-03-02,2017-07-24
2017 Rush Ranch P2,2017 Rush Ranch P2,Sequential,Successful,2017-05-30,ND,ND,"Bulrush, cattails",800,3,2017-03-02,2017-07-24
2017 Rush Ranch P3,2017 Rush Ranch P3,Sequential,Successful,2017-06-29,ND,ND,"Bulrush, cattails",800,3,2017-03-02,2017-07-24
2018 Iron Point,2018 Iron Point,No Colony,No Colony,ND,ND,ND,Himalayan blackberry,2000,15,2018-04-22,2018-05-19
2018 Markham Ravine,2018 Markham Ravine Main,Unknown,Successful,ND,ND,ND,Himalayan blackberry,1000,10,2018-06-26,2018-07-23
2018 Markham Ravine - West P1,2018 Markham Ravine westside P1,Unknown,Successful,ND,ND,ND,Himalayan blackberry,1000,20,2018-06-26,2018-07-13
2018 Yankee Slough Ranch Preserve P1,2018 Red Wing Ranch P1,Unknown,Abandoned,2018-05-17,2018-05-22,ND,"Himalayan blackberry, Bulrush, cattails",3000,10,2018-05-04,2018-06-04
2018 Rush Ranch P1,2018 Rush Ranch P1,Simple,Successful,2018-05-26,ND,ND,"Bulrush, cattails",2000,3,2018-02-09,2018-06-26
2018 SJWA Little Ramona P1,2018 SJWA WSS P1,Unknown,Abandoned,~2018-04-27,2018-04-22,ND,"Bulrush, cattails",30000,10,2018-04-02,2018-05-01
2018 San Jacinto Wildlife Area - Little Ramona,2018 SJWA-rose-1,No Colony,No Colony,ND,ND,ND,"Bulrush, cattails",30000,10,2018-04-02,2018-04-10
2018 San Jacinto Wildlife Area - Bridge St. Pond P1,2018 SJWA-rose-2 P1,Unknown,Abandoned,ND,2018-04-22,ND,"Bulrush, cattails",30000,10,2018-04-10,2018-04-27
2019 Colusa NWR T27-1N P1,2019 Colusa NWR 27-1 P1,Simple,Successful,~2019-06-14(C),ND,ND,"Bulrush, cattails",20000,100,2019-05-27,2019-08-12
2019 Colusa NWR T27-1N P2,2019 Colusa NWR 27-1 P2,,,~2019-07-03(C),,,"Bulrush, cattails",20000,100,2019-05-27,2019-08-12
2019 Colusa NWR T27-2S P1,2019 Colusa NWR 27-2 P1,Simple,Partially Abandoned,2019-05-29,ND,2019-05-26,"Bulrush, cattails",200,20,2019-05-21,2019-06-18
