id,site,base_site_name,old_site,pulse,breeding_type,outcome,settlement_start,incubation_onset,brooding_onset,fledging_onset,fledgling_dispersal,abandon_date,partial_abandon_date,first_recording,last_recording,distance_to_colony,approx_colony_size,altitude,latitude,longitude,substrate
4455,2019 Denverton Creek P2,2019 Denverton Creek,2019 Creed Road P2,P2,Sequential,Abandoned,2019-05-13,2019-05-23,2019-06-04(E),ND,ND,2019-05-31,ND,2019-03-17,2019-07-07,125,1000,12,38.241,-121.888,Himalayan blackberry
4456,2019 Hay Landfill P1,2019 Hay Landfill,2019 Hay Landfill P1,P1,Sequential,Successful,inf,2019-04-16,2019-04-28,2019-05-11,2019-05-30,ND,ND,2019-04-08,2019-07-07,0,4000,6,38.306,-121.825,"Bulrush, cattails"
4456,2019 Hay Landfill P2,2019 Hay Landfill,2019 Hay Landfill P2,P2,Sequential,Partially Abandoned,2019-05-20,2019-05-28,2019-06-09,2019-06-23,2019-07-03,ND,2019-06-13,2019-04-08,2019-07-07,0,4000,6,38.306,-121.825,"Bulrush, cattails"
4979,2019 Iron Point P1,2019 Iron Point,2019 Iron Point P1,P1,Complex,Successful,inf,~2019-04-18,~2019-04-30,2019-05-14,continuous,ND,ND,2019-04-24,2019-08-01,15,1500,172,38.647,-121.104,Himalayan blackberry
4979,2019 Iron Point P2,2019 Iron Point,2019 Iron Point P2,P2,Complex,Successful,2019-04-29,2019-05-16,2019-05-28,continuous,continuous,ND,ND,2019-04-24,2019-08-01,15,1500,172,38.647,-121.104,Himalayan blackberry
4979,2019 Iron Point P3,2019 Iron Point,2019 Iron Point P3,P3,Complex,Successful,2019-05-27,2019-05-29,2019-06-10,continuous,2019-07-07,ND,ND,2019-04-24,2019-08-01,15,1500,172,38.647,-121.104,Himalayan blackberry
4639,2019 Leisure Town Road P1,2019 Leisure Town Road,2019 Leisure Town P1,P1,Sequential,Successful,inf,missed,missed,missed,ND,ND,ND,2019-03-17,2019-07-07,50,2000,28,38.3199,-121.938,"Bulrush, cattails"
4639,2019 Leisure Town Road P2,2019 Leisure Town Road,2019 Leisure Town P2,P2,Sequential,Successful,2019-05-19,2019-05-23,2019-06-04,~2019-06-17,~2019-07-05,ND,ND,2019-03-17,2019-07-07,50,2000,28,38.3199,-121.938,"Bulrush, cattails"
5640,2019 Markham Ravine 2 P1,2019 Markham Ravine 2,2019 Markham Ravine 2 P1,P1,Simple,Partially Abandoned,inf,2019-05-16,2019-05-28,ND,ND,ND,2019-05-24,2019-05-10,2019-07-08,20,10000,21,38.8866,-121.4653,"Himalayan blackberry, willow"
5637,2019 Markham Ravine P1,2019 Markham Ravine,2019 Markham Ravine P1,P1,Simple,Partially Abandoned,inf,2019-05-15,2019-05-27,2019-06-16,2019-06-20,ND,2019-05-28,2019-05-10,2019-07-08,20,1500,17,38.8897,-121.4653,"Himalayan blackberry, willow"
82630,2019 Riosa Redwing Ranch,2019 Riosa Redwing Ranch,2019 Red Wing Ranch,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2019-04-24,2019-05-10,No Colony,No Colony,33,38.9781,-121.331,"Himalayan blackberry, Bulrush, cattails"
5638,2019 Rush Ranch P1,2019 Rush Ranch,2019 Rush Ranch P1,P1,Unknown,Abandoned,2019-05-02,2019-05-09,2019-05-21(E),ND,ND,2019-05-22,ND,2019-02-06,2019-07-06,3,500,6,38.208,-122.014,"Bulrush, cattails"
7657,2020 Conaway Ranch P1,2020 Conaway Ranch,2020 Conaway Ranch P1,P1,Asynchronous,Successful,inf,~2020-05-23,~2020-06-04,2020-06-18,ND,ND,ND,2020-05-18,2020-07-10,10,19000,9,38.639,-121.709,Cattails with bulrush
2908,2020 Denverton Creek,2020 Denverton Creek,2020 Creed Road,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2020-02-12,2020-07-11,125,1000,12,38.241,-121.888,Himalayan blackberry
57589,2020 Fort Ord P1,2020 Fort Ord,2020 Fort Ord P1,P1,Asynchronous,Successful,inf,2020-04-12,2020-04-24,2020-05-09,2020-05-28,ND,ND,2020-04-08,2020-07-15,No Colony,No Colony,55,36.59,-121.714,"Stinging nettle (Urtica spp.), Poison hemlock (Conium maculatum)"
6199,2020 Hay Landfill P1,2020 Hay Landfill,2020 Hay Landfill P1,P1,Complex,Successful,2020-03-16,2020-04-15,2020-04-27,2020-05-11,continuous,ND,ND,2020-02-12,2020-07-10,0,4000,6,38.306,-121.825,"Bulrush, cattails"
6199,2020 Hay Landfill P2,2020 Hay Landfill,2020 Hay Landfill P2,P2,Complex,Successful,2020-05-12,~2020-05-25,~2020-06-06,continuous,inf,ND,ND,2020-02-12,2020-07-10,0,4000,6,38.306,-121.825,"Bulrush, cattails"
7650,2020 Iron Point,2020 Iron Point,2020 Iron Point,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2020-04-19,2020-08-05,15,No Colony,172,38.647,-121.104,Himalayan blackberry
6404,2020 Markham Ravine P1,2020 Markham Ravine,2020 Markham Ravine P1,P1,Simple,Partially Abandoned,inf,2020-05-07,2020-05-19,~2020-05-30,~2020-06-11,ND,2020-05-18,2020-04-28,2020-06-24,10,1000,19,38.8897,-121.4653,"Himalayan blackberry, willow"
18572,2020 Santa Lucia Preserve - Ohlone Pond P1,2020 Santa Lucia Preserve - Ohlone Pond,2020 Ohlone - Santa Lucia Preserve P1,P1,Simple,Successful,missed,~2020-04-19,~2020-05-01,2020-05-12,2020-06-15,ND,ND,2020-03-25,2020-07-18,3,80,318,36.4692,-121.7937,Bulrush (Schoenoplectus spp.)
2915,2020 Rush Ranch,2020 Rush Ranch,2020 Rush Ranch,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2020-02-12,2020-07-10,No Colony,No Colony,54,38.208,-121.014,"Bulrush, cattails"
24130,2021 Colusa NWR T27-1&2 P1,2021 Colusa NWR T27-1&2,2021 Colusa NWR 27-1 P1,P1,Simple,Successful,2021-05-11,~2021-05-21,~2021-06-02,2021-06-14,2021-06-16,ND,ND,2021-04-21,2021-06-26,Unknown,Unknown,14,39.1409,-122.0284,"Bulrush, cattails"
24221,2021 Colusa NWR T27-2S P1,2021 Colusa NWR T27-2S,2021 Colusa NWR 27-2 P1,P1,Unknown,Unknown,2021-05-19,~2021-06-01,~2021-06-13,ND,ND,ND,ND,2021-04-21,2021-06-21,10,10000,13,39.137,-122.026,"Bulrush, cattails"
21652,2021 Conaway East P1,2021 Conaway East,2021 Conaway East P1,P1,Simple,Successful,inf,~2021-05-27,~2021-06-08,2021-06-20,ND,ND,ND,2021-05-20,2021-07-05,5,10000,9,38.6386,-121.707,Cattails with bulrush
24652,2021 Conaway South P1,2021 Conaway South,2021 Conaway South P1,P1,Simple,Successful,inf,2021-05-29,2021-06-09,2021-06-23,2021-07-01,ND,ND,2021-05-20,2021-07-05,5,10000,9,38.6376,-121.709,Cattails with bulrush
21591,2021 Conaway West P1,2021 Conaway West,2021 Conaway West P1,P1,Simple,Successful,inf,~2021-05-19,~2021-05-31,2021-06-13,ND,ND,ND,2021-05-12,2021-06-28,5,10000,9,38.639,-121.71,Cattails with bulrush
21681,2021 Denverton Creek,2021 Denverton Creek,2021 Creed Road,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2021-02-02,2021-05-12,125,1000,12,38.241,-121.888,Himalayan blackberry
24122,2021 Dagnino Pond,2021 Dagnino Pond,2021 Dagnino Pond,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2021-04-29,2021-07-12,53,No Colony,180,37.7459,-121.744,"Bulrush, cattails, Mustard"
21668,2021 Virginia at Ostrom P1,2021 Virginia at Ostrom,2021 Foley Ranch P1,P1,Sequential,Successful,inf,2021-04-30,2021-05-12,2021-05-24,2021-06-13,ND,ND,2021-05-04,2021-06-14,20,10000,21,39.0769,-121.494,Himalayan blackberry
21668,2021 Virginia at Ostrom P2,2021 Virginia at Ostrom,2021 Foley Ranch P2,P2,Sequential,Unknown,2021-05-23,2021-06-01,2021-06-13,ND,ND,ND,ND,2021-05-04,2021-06-14,20,10000,21,39.0769,-121.494,Himalayan blackberry
21688,2021 Hale Road 2 P1,2021 Hale Road 2,2021 Hale Road 2 P1,P1,Simple,Successful,inf,2021-05-02,2021-05-14,2021-05-28,2021-06-04,ND,ND,2021-05-04,2021-06-14,20,7000,18,39.0839,-121.516,"Himalayan blackberry, bulrush"
11101,2021 Hay Landfill P1,2021 Hay Landfill,2021 Hay Landfill P1,P1,Unknown,Unknown,2021-02-16,~2021-04-11,~2021-04-23,ND,ND,ND,ND,2021-02-02,2021-05-08,0,4000,6,38.306,-121.825,"Bulrush, cattails"
24658,2021 Iron Point P1,2021 Iron Point,2021 Iron Point P1,P1,Unknown,Abandoned,2021-04-02,2021-04-22,2021-05-04(E),ND,ND,2021-04-23,ND,2021-02-02,2021-05-14,15,No Colony,172,38.647,-121.104,Himalayan blackberry
24606,2021 Kern 1 P1,2021 Kern 1,2021 Kern 1 P1,P1,Simple,Successful,missed,~2021-05-18,~2021-05-30,ND,ND,ND,ND,2021-04-09,2021-08-05,2,NEED,815,35.677,-118.27,"Stinging nettle, mulefat"
24544,2021 Kern 2,2021 Kern 2,2021 Kern 2,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2021-04-06,2021-07-30,5,No Colony,756,35.62,-118.476,Cattails
24641,2021 Kern 3,2021 Kern 3,2021 Kern 3,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2021-04-06,2021-08-05,40,No Colony,862,35.731,-118.172,Bulrush
24655,2021 Kern 4 P1,2021 Kern 4,2021 Kern 4 P1,P1,Simple,Partially Abandoned,missed,~2021-05-01,~2021-05-13,~2021-05-27,~2021-06-05,ND,2021-05-07,2021-04-19,2021-08-10,15,NEED,805,35.666,-118.307,Stinging nettle
26534,2021 Kern 5 P1,2021 Kern 5,2021 Kern 5 P1,P1,Asynchronous,Successful,inf,~2021-04-12,~2021-04-24,2021-05-07,2021-06-17,ND,ND,2021-04-27,2021-08-17,0,NEED,803,35.66,-118.312,Himalayan blackberry
26534,2021 Kern 5 P2,2021 Kern 5,2021 Kern 5 P2,P2,,,inf,2021-05-02,2021-05-14,continuous,ND,ND,ND,2021-04-27,2021-08-17,0,NEED,803,35.66,-118.312,Himalayan blackberry
26535,2021 Kern 6,2021 Kern 6,2021 Kern 6,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2021-05-01,2021-08-21,30,No Colony,1150,35.3955,-118.449,Cattails
26536,2021 Kern 7 P1,2021 Kern 7,2021 Kern 7 P1,P1,Unknown,Abandoned,inf,2021-05-19,2021-05-31,ND,ND,2021-06-05,ND,2021-05-17,2021-09-01,12,NEED,809,35.671,-118.29,Stinging nettle
26432,2021 Markham Ravine,2021 Markham Ravine,2021 Markham Ravine,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2021-04-30,2021-06-23,No Colony,No Colony,19,38.8897,-121.4653,"Himalayan blackberry, willow"
24252,2021 Orchard Creek P1,2021 Orchard Creek,2021 Orchard Creek P1,P1,Additions,Successful,inf,2021-04-19,2021-05-01,2021-05-15,2021-05-31,ND,ND,2021-04-19,2021-07-04,error,2500,28,38.8467,-121.3061,Himalayan blackberry
24252,2021 Orchard Creek P2,2021 Orchard Creek,2021 Orchard Creek P2,P2,Additions,Successful,inf,2021-05-13,2021-05-25,2021-06-03,2021-06-17,ND,ND,2021-04-19,2021-07-04,error,2500,28,38.8467,-121.3061,Himalayan blackberry
24233,2021 Panoche Creek Marsh East 1 P1,2021 Panoche Creek Marsh East 1,2021 Panoche Creek Preserve 1W P1,P1,Simple,Partially Abandoned,2021-04-05,2021-04-22,2021-05-04,ND,ND,ND,2021-04-30,2021-04-01,2021-07-14,10,3500,314,36.5906,-120.769,Cattails
24232,2021 Panoche Creek Marsh East 2 P1,2021 Panoche Creek Marsh East 2,2021 Panoche Creek Preserve 2E P1,P1,Simple,Successful,inf,2021-04-20,2021-05-02,2021-05-18,2021-05-22,ND,ND,2021-04-01,2021-07-14,5,3500,307,36.5907,-120.765,Cattails
21537,2021 Plumas Arboga P1,2021 Plumas Arboga,2021 Plumas Arboga P1,P1,Unknown,Unknown,inf,2021-05-15,2021-05-27,ND,ND,ND,ND,2021-05-14,2021-06-04,10,2000,17,39.0296,-121.537,Cattails with Himalayan blackberry
24119,2021 Rancho Jamul P1,2021 Rancho Jamul,2021 Rancho Jamul P1,P1,Asynchronous,Successful,ND,ND,ND,ND,ND,ND,ND,2021-03-19,2021-06-05,NEED,NEED,234,32.6846,-116.856,"Cattails, bulrush or tule"
24651,2021 Erle Road-Reeds Creek North P1,2021 Erle Road-Reeds Creek North,2021 Reeds Creek North P1,P1,Unknown,Abandoned,inf,ND,ND,ND,ND,2021-05-14,ND,2021-05-04,2021-05-20,20,1000,21,39.1079,-121.507,"Himalayan blackberry, lettuce"
24653,2021 Erle Road-Reeds Creek South P1,2021 Erle Road-Reeds Creek South,2021 Reeds Creek South P1,P1,Unknown,Unknown,inf,2021-05-06,2021-05-18,ND,ND,ND,ND,2021-05-04,2021-05-20,20,1500,21,39.1049,-121.507,Himalayan blackberry
24231,2021 Rodeo Grounds P1,2021 Rodeo Grounds,2021 Rodeo Grounds 1 P1,P1,Simple,Successful,inf,2021-04-20,2021-05-02,2021-05-11,2021-05-24,ND,ND,2021-04-19,2021-06-13,1,40,52,38.8627,-121.2879,Himalayan blackberry
24549,2021 Rush Ranch,2021 Rush Ranch,2021 Rush Ranch,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2021-02-02,2021-05-13,2,No Colony,6,38.208,-122.014,No Colony
11100,2021 Sedgwick Reserve Pond P1,2021 Sedgwick Reserve Pond,2021 Sedgwick P1,P1,Unknown,Unknown,2021-04-04,2021-04-16,2021-04-28,ND,ND,ND,ND,2021-03-06,2021-05-06,2,250,343,34.695,-120.042,Cattails
25171,2021 San Jacinto Wildlife Area - Bridge Street Pond P1,2021 San Jacinto Wildlife Area - Bridge Street Pond,2021 SJWA P1,P1,Unknown,Abandoned,inf,2021-06-03,2021-06-15,ND,ND,2021-06-23,ND,2021-06-02,2021-06-30,10,500,434,33.8625,-117.072,"Bulrush, cattails"
24107,2021 Willey Wetlands 1 P1,2021 Willey Wetlands 1,2021 Willey Wetlands 1 P1,P1,Simple,Successful,inf,2021-06-08,2021-06-20,ND,ND,ND,ND,2021-06-10,2021-08-17,5,300,6,38.7777,-121.5639,"Bulrush, cattails"
24261,2021 Willey Wetlands 2 P1,2021 Willey Wetlands 2,2021 Willey Wetlands 2 P1,P1,Simple,Successful,inf,~2021-05-31,~2021-06-12,2021-06-28,2021-07-06,ND,ND,2021-06-10,2021-08-17,6,300,6,38.7751,-121.5639,"Bulrush, cattails"
24263,2021 Willey Wetlands 3 P1,2021 Willey Wetlands 3,2021 Willey Wetlands 3 P1,P1,Simple,Successful,inf,inf,inf,2021-06-24,2021-07-09,ND,ND,2021-06-10,2021-08-15,15,300,6,38.7743,-121.5636,"Bulrush, cattails"
24790,2021 Wind Wolves Preserve P1,2021 Wind Wolves Preserve,2021 Wind Wolves Preserve P1,P1,Simple,Successful,2021-04-21,2021-05-02,2021-05-14,2021-05-28,2021-06-07,ND,ND,2021-04-14,2021-07-20,NEED,NEED,750,34.9574,-119.132,Stinging nettle
34485,2022 Baja Ciénega Redonda North P1,2022 Baja Ciénega Redonda North,2022 Baja 1 P1,P1,Asynchronous,Successful,inf,~2022-03-31,~2022-04-12,2022-04-29,2022-05-18,ND,ND,2022-03-23,2022-07-12,2,350,972,32.538,-116.318,Cattails
53136,2022 Baja Ciénega Redonda North 2 P1,2022 Baja Ciénega Redonda North 2,2022 Baja 2 P1,P1,Asynchronous,Successful,inf,~2022-04-01,~2022-04-13,2022-04-30,2022-05-18,ND,ND,2022-03-23,2022-07-17,2,350,972,32.538,-116.318,Cattails
34044,2022 Colusa NWR T27-1&2,2022 Colusa NWR T27-1&2,2022 Colusa NWR T27.1,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2022-04-18,2022-08-04,No Colony,No Colony,14,39.1409,-122.0285,"Bulrush, cattails"
34079,2022 Colusa NWR T27-2S P1,2022 Colusa NWR T27-2S,2022 Colusa NWR T27.2 P1,P1,Simple,Successful,missed,2022-05-19,2022-05-31,2022-06-13,2022-06-20,ND,ND,2022-04-18,2022-08-04,20,3000,14,39.1374,-122.026,"Bulrush, cattails"
34115,2022 Conaway Ranch Reservoir P1,2022 Conaway Ranch Reservoir,2022 Conaway East P1,P1,Simple,Partially Abandoned,inf,2022-05-11,2022-05-23,~2022-06-07,2022-06-17,ND,2022-05-20,2022-05-09,2022-06-28,Unknown,Unknown,10,38.646,-121.694,Himalayan blackberry
34111,2022 Conaway New Easement Pond West,2022 Conaway New Easement Pond West,2022 Conaway New Easement Pond West,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2022-05-11,2022-06-13,No Colony,No Colony,9,38.6389,-121.709,Cattails with bulrush
34113,2022 Conaway North A P1,2022 Conaway North A,2022 Conaway North A P1,P1,Simple,Successful,inf,2022-05-10,2022-05-22,2022-06-01,2022-06-16,ND,ND,2022-05-04,2022-06-28,5,15000,8,38.6547,-121.686,"Cattails, Himalayan blackberry, willow"
34112,2022 Conaway North P1,2022 Conaway North,2022 Conaway North P1,P1,Simple,Successful,inf,2022-05-09,2022-05-21,2022-05-31,2022-06-19,ND,ND,2022-05-04,2022-06-28,5,15000,8,38.6547,-121.686,"Cattails, Himalayan blackberry, willow"
34078,2022 Denverton Creek P1,2022 Denverton Creek,2022 Creed Road P1,P1,Simple,Successful,2022-03-13,2022-04-03,2022-04-15,2022-04-28,2022-05-20,ND,ND,2022-02-13,2022-08-20,125,1000,12,38.241,-121.888,Himalayan blackberry
34118,2022 Virginia at Ostrom A,2022 Virginia at Ostrom A,2022 Foley Ranch A,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2022-04-24,2022-06-06,20,5000,21,39.0769,-121.494,Himalayan blackberry
34119,2022 Virginia at Ostrom B,2022 Virginia at Ostrom B,2022 Foley Ranch B P1,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2022-04-24,2022-06-06,20,5000,21,39.0769,-121.494,Himalayan blackberry
33966,2022 Hay Landfill P1,2022 Hay Landfill,2022 Hay Landfill P1,P1,Sequential,Partially Abandoned,2022-02-24,~2022-03-29,~2022-04-10,2022-04-27,2022-05-15,ND,2022-04-08,2022-02-13,2022-09-09,0,4000,6,38.306,-121.825,"Bulrush, cattails"
33966,2022 Hay Landfill P2,2022 Hay Landfill,2022 Hay Landfill P2,P2,Sequential,Successful,2022-05-04,2022-05-07,2022-05-19,2022-06-01,2022-06-27,ND,ND,2022-02-13,2022-09-09,0,4000,6,38.306,-121.825,"Bulrush, cattails"
34077,2022 Laguna Seca P1,2022 Laguna Seca,2022 Laguna Seca P1,P1,Sequential,Successful,inf,2022-04-03,2022-04-15,ND,ND,ND,ND,2022-03-20,2022-07-11,3,Unknown,117,36.5718,-121.768,"Bulrush, cattails"
34077,2022 Laguna Seca P2,2022 Laguna Seca,2022 Laguna Seca P2,P2,Sequential,Successful,2022-05-03,2022-05-13,2022-05-25,ND,ND,ND,ND,2022-03-20,2022-07-11,3,Unknown,117,36.5718,-121.768,"Bulrush, cattails"
34117,2022 Los Vaqueros Playa P1,2022 Los Vaqueros Playa,2022 Los Vaqueros Reservoir P1,P1,Unknown,Successful,,,,,,ND,ND,2022-04-15,2022-06-08,0,450,82,37.8377,-121.696,Himalayan blackberry
34117,2022 Los Vaqueros Playa P2,2022 Los Vaqueros Playa,2022 Los Vaqueros Reservoir P2,P2,,,inf,2022-04-07,2022-04-19,2022-05-01,2022-05-24,ND,ND,2022-04-15,2022-06-08,0,450,82,37.8377,-121.696,Himalayan blackberry
34076,2022 Marsh Creek Reservoir,2022 Marsh Creek Reservoir,2022 Marsh Creek Reservoir,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2022-04-15,2022-06-08,No Colony,No Colony,51,37.8884,-121.726,Cattails
34075,2022 Newberry Springs - Lake Wainani,2022 Newberry Springs - Lake Wainani,2022 Newberry Springs - Lake Wainani,,Unknown,Successful,inf,inf,inf,ND,ND,ND,ND,2022-05-12,2022-05-20,90,500,549,34.8773,-116.606,"Cattails, willows"
34090,2022 Santa Lucia Preserve - Ohlone Pond P1,2022 Santa Lucia Preserve - Ohlone Pond,2022 Ohlone - Santa Lucia Preserve P1,P1,Asynchronous,Successful,2022-04-05,~2022-04-20,~2022-05-02,2022-05-12,2022-06-20,ND,ND,2022-03-21,2022-08-16,3,50,318,36.4692,-121.7937,Bulrush (Schoenoplectus spp.)
33851,2022 Oregon State - Warm Springs Dizney Lane,2022 Oregon State - Warm Springs Dizney Lane,2022 OR1,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2022-04-18,2022-06-09,10,50,482,44.72275,-121.23785,"Cattails, Himalayan blackberry"
34073,2022 Oregon State - Prineville Woodward Rd P1,2022 Oregon State - Prineville Woodward Rd,2022 OR2 P1,P1,Simple,Successful,missed,2022-05-05,2022-05-18(E),2022-05-30,ND,ND,ND,2022-04-24,2022-06-03,10,60,888,44.37166,-120.92661,Cattails
34072,2022 Paicines Ranch - Teal Pond B P1,2022 Paicines Ranch - Teal Pond B,2022 Paicines Ranch - Teal Pond B P1,P1,Simple,Successful,inf,2022-04-13,2022-04-25,2022-05-09,2022-06-02,ND,ND,2022-04-11,2022-08-03,3,4000,192,36.7136,-121.296,"Bulrush, cattails"
34071,2022 Paicines Ranch - Teal Pond P1,2022 Paicines Ranch - Teal Pond,2022 Paicines Ranch - Teal Pond P1,P1,Simple,Successful,inf,2022-04-10,2022-04-22,2022-05-06,2022-05-27,ND,ND,2022-04-10,2022-08-06,3,4000,192,36.7136,-121.296,"Bulrush, cattails"
52597,2022 Panoche Creek Preserve Location 3 P1,2022 Panoche Creek Preserve Location 3,2022 Panoche Creek Preserve Loc3 P1,P1,Simple,Successful,inf,2022-04-08,2022-04-20,2022-05-03,2022-05-18,ND,ND,2022-03-18,2022-06-23,10,4500,207,36.591,-120.591,NEED
52598,2022 Panoche Creek Marsh East 1,2022 Panoche Creek Marsh East 1,2022 Panoche Creek Preserve Loc4,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2022-03-22,2022-04-14,10,4500,319,36.591,-120.769,Cattails
34130,2022 Panoche Creek Marsh East 2 P1,2022 Panoche Creek Marsh East 2,2022 Panoche Creek Preserve Loc5 P1,P1,Simple,Successful,inf,2022-04-08,2022-04-20,2022-05-01,2022-05-16,ND,ND,2022-04-14,2022-06-23,10,4500,319,36.591,-120.769,Cattails
34012,2022 Plumas Arboga 6 East P1,2022 Plumas Arboga 6 East,2022 Plumas Arboga East P1,P1,Complex,Successful,inf,inf,inf,2022-05-12,2022-06-01,ND,ND,2022-05-04,2022-06-28,15,9000,18,39.0374,-121.534,Himalayan blackberry
34012,2022 Plumas Arboga 6 East P2,2022 Plumas Arboga 6 East,2022 Plumas Arboga East P2,P2,Complex,Successful,ND,2022-05-10,2022-05-22,2022-06-04,ND,ND,ND,2022-05-04,2022-06-28,15,9000,18,39.0374,-121.534,Himalayan blackberry
34013,2022 Plumas Arboga 6 West P1,2022 Plumas Arboga 6 West,2022 Plumas Arboga West P1,P1,Simple,Successful,inf,2022-05-12,2022-05-24,2022-06-08,ND,ND,ND,2022-05-11,2022-06-28,1,9000,18,39.0374,-121.537,Himalayan blackberry
