id,site,base_site_name,old_site,pulse,breeding_type,outcome,settlement_start,incubation_onset,brooding_onset,fledging_onset,fledgling_dispersal,abandon_date,partial_abandon_date,first_recording,last_recording,distance_to_colony,approx_colony_size,altitude,latitude,longitude,substrate
2059,2017 Rush Ranch P1,2017 Rush Ranch,2017 Rush Ranch P1,P1,Sequential,Abandoned,~2017-03-07,~2017-04-17,~2017-04-29,ND,ND,2017-05-03,ND,2017-03-02,2017-07-24,3,800,6,38.208,-122.014,"Bulrush, cattails"
2059,2017 Rush Ranch P2,2017 Rush Ranch,2017 Rush Ranch P2,P2,Sequential,Successful,2017-05-08,2017-05-18,2017-05-30,2017-06-12,2017-06-22,ND,ND,2017-03-02,2017-07-24,3,800,6,38.208,-122.014,"Bulrush, cattails"
2059,2017 Rush Ranch P3,2017 Rush Ranch,2017 Rush Ranch P3,P3,Sequential,Successful,2017-06-02,2017-06-17,2017-06-29,ND,ND,ND,ND,2017-03-02,2017-07-24,3,800,6,38.208,-122.014,"Bulrush, cattails"
3150,2018 Iron Point,2018 Iron Point,2018 Iron Point,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2018-04-22,2018-05-19,15,2000,172,38.647,-121.104,Himalayan blackberry
3348,2018 Markham Ravine,2018 Markham Ravine,2018 Markham Ravine Main,,Unknown,Successful,ND,ND,ND,ND,ND,ND,ND,2018-06-26,2018-07-23,10,1000,19,38.8897,-121.4653,Himalayan blackberry
3366,2018 Markham Ravine - West P1,2018 Markham Ravine - West,2018 Markham Ravine westside P1,P1,Unknown,Successful,inf,inf,ND,ND,ND,ND,ND,2018-06-26,2018-07-13,20,1000,17,38.8896,-121.4693,Himalayan blackberry
3281,2018 Yankee Slough Ranch Preserve P1,2018 Yankee Slough Ranch Preserve,2018 Red Wing Ranch P1,P1,Unknown,Abandoned,inf,2018-05-05,2018-05-17,ND,ND,2018-05-22,ND,2018-05-04,2018-06-04,10,3000,33,38.9622,-121.3453,"Himalayan blackberry, Bulrush, cattails"
2719,2018 Rush Ranch P1,2018 Rush Ranch,2018 Rush Ranch P1,P1,Simple,Successful,missed,2018-05-14,2018-05-26,2018-06-11,2018-06-23,ND,ND,2018-02-09,2018-06-26,3,2000,6,38.208,-122.014,"Bulrush, cattails"
82621,2018 SJWA Little Ramona P1,2018 SJWA Little Ramona,2018 SJWA WSS P1,P1,Unknown,Abandoned,2018-04-10,~2018-04-15,~2018-04-27,ND,ND,2018-04-22,ND,2018-04-02,2018-05-01,10,30000,434,33.869,-117.086,"Bulrush, cattails"
3417,2018 San Jacinto Wildlife Area - Little Ramona,2018 San Jacinto Wildlife Area - Little Ramona,2018 SJWA-rose-1,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2018-04-02,2018-04-10,10,30000,434,33.869,-117.086,"Bulrush, cattails"
3682,2018 San Jacinto Wildlife Area - Bridge St. Pond P1,2018 San Jacinto Wildlife Area - Bridge St. Pond,2018 SJWA-rose-2 P1,P1,Unknown,Abandoned,inf,2018-04-19,ND,ND,ND,2018-04-22,ND,2018-04-10,2018-04-27,10,30000,435,33.8625,-117.0716,"Bulrush, cattails"
5642,2019 Colusa NWR T27-1N P1,2019 Colusa NWR T27-1N,2019 Colusa NWR 27-1 P1,P1,Simple,Successful,inf,~2019-06-02(C),~2019-06-14(C),2019-06-27,~2019-07-07,ND,ND,2019-05-27,2019-08-12,100,20000,14,39.1441,-122.0293,"Bulrush, cattails"
5642,2019 Colusa NWR T27-1N P2,2019 Colusa NWR T27-1N,2019 Colusa NWR 27-1 P2,P2,,,,,,,,,,2019-05-27,2019-08-12,100,20000,14,39.1441,-122.0293,"Bulrush, cattails"
5643,2019 Colusa NWR T27-2S P1,2019 Colusa NWR T27-2S,2019 Colusa NWR 27-2 P1,P1,Simple,Partially Abandoned,inf,2019-05-17,2019-05-29,ND,ND,ND,2019-05-26,2019-05-21,2019-06-18,20,200,13,39.1375,-122.0281,"Bulrush, cattails"
4455,2019 Denverton Creek P1,2019 Denverton Creek,2019 Creed Road P1,P1,Sequential,Successful,2019-03-23,2019-04-28,2019-05-10,2019-05-23,2019-05-31,ND,ND,2019-03-17,2019-07-07,125,1000,12,38.241,-121.888,Himalayan blackberry
