id,site,old_site,pulse,breeding_type,outcome,settlement_start,incubation_onset,brooding_onset,fledging_onset,fledgling_dispersal,abandon_date,partial_abandon_date
6199,2020 Hay Landfill,2020 Hay Landfill P2,P2,Complex,Successful,2020-05-12,~2020-05-25,~2020-06-06,continuous,inf,ND,ND
7650,2020 Iron Point,2020 Iron Point,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
6404,2020 Markham Ravine,2020 Markham Ravine P1,P1,Simple,Partially Abandoned,inf,2020-05-07,2020-05-19,~2020-05-30,~2020-06-11,ND,2020-05-18
18572,2020 Santa Lucia Preserve - Ohlone Pond,2020 Ohlone - Santa Lucia Preserve P1,P1,Simple,Successful,missed,~2020-04-19,~2020-05-01,2020-05-12,2020-06-15,ND,ND
2915,2020 Rush Ranch,2020 Rush Ranch,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
24130,2021 Colusa NWR T27-1&2,2021 Colusa NWR 27-1 P1,P1,Simple,Successful,2021-05-11,~2021-05-21,~2021-06-02,2021-06-14,2021-06-16,ND,ND
24221,2021 Colusa NWR T27-2S,2021 Colusa NWR 27-2 P1,P1,Unknown,Unknown,2021-05-19,~2021-06-01,~2021-06-13,ND,ND,ND,ND
21652,2021 Conaway East,2021 Conaway East P1,P1,Simple,Successful,inf,~2021-05-27,~2021-06-08,2021-06-20,ND,ND,ND
24652,2021 Conaway South,2021 Conaway South P1,P1,Simple,Successful,inf,2021-05-29,2021-06-09,2021-06-23,2021-07-01,ND,ND
21591,2021 Conaway West,2021 Conaway West P1,P1,Simple,Successful,inf,~2021-05-19,~2021-05-31,2021-06-13,ND,ND,ND
21681,2021 Denverton Creek,2021 Creed Road,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
24122,2021 Dagnino Pond,2021 Dagnino Pond,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
21668,2021 Virginia at Ostrom,2021 Foley Ranch P1,P1,Sequential,Successful,inf,2021-04-30,2021-05-12,2021-05-24,2021-06-13,ND,ND
21668,2021 Virginia at Ostrom,2021 Foley Ranch P2,P2,Sequential,Unknown,2021-05-23,2021-06-01,2021-06-13,ND,ND,ND,ND
21688,2021 Hale Road 2,2021 Hale Road 2 P1,P1,Simple,Successful,inf,2021-05-02,2021-05-14,2021-05-28,2021-06-04,ND,ND
11101,2021 Hay Landfill,2021 Hay Landfill P1,P1,Unknown,Unknown,2021-02-16,~2021-04-11,~2021-04-23,ND,ND,ND,ND
24658,2021 Iron Point,2021 Iron Point P1,P1,Unknown,Abandoned,2021-04-02,2021-04-22,2021-05-04(E),ND,ND,2021-04-23,ND
24606,2021 Kern 1,2021 Kern 1 P1,P1,Simple,Successful,missed,~2021-05-18,~2021-05-30,ND,ND,ND,ND
24544,2021 Kern 2,2021 Kern 2,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
24641,2021 Kern 3,2021 Kern 3,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
24655,2021 Kern 4,2021 Kern 4 P1,P1,Simple,Partially Abandoned,missed,~2021-05-01,~2021-05-13,~2021-05-27,~2021-06-05,ND,2021-05-07
26534,2021 Kern 5,2021 Kern 5 P1,P1,Asynchronous,Successful,inf,~2021-04-12,~2021-04-24,2021-05-07,2021-06-17,ND,ND
26534,2021 Kern 5,2021 Kern 5 P2,P2,,,inf,2021-05-02,2021-05-14,continuous,ND,ND,ND
26535,2021 Kern 6,2021 Kern 6,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
26536,2021 Kern 7,2021 Kern 7 P1,P1,Unknown,Abandoned,inf,2021-05-19,2021-05-31,ND,ND,2021-06-05,ND
26432,2021 Markham Ravine,2021 Markham Ravine,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
24252,2021 Orchard Creek,2021 Orchard Creek P1,P1,Additions,Successful,inf,2021-04-19,2021-05-01,2021-05-15,2021-05-31,ND,ND
24252,2021 Orchard Creek,2021 Orchard Creek P2,P2,Additions,Successful,inf,2021-05-13,2021-05-25,2021-06-03,2021-06-17,ND,ND
24233,2021 Panoche Creek Marsh East 1,2021 Panoche Creek Preserve 1W P1,P1,Simple,Partially Abandoned,2021-04-05,2021-04-22,2021-05-04,ND,ND,ND,2021-04-30
24232,2021 Panoche Creek Marsh East 2,2021 Panoche Creek Preserve 2E P1,P1,Simple,Successful,inf,2021-04-20,2021-05-02,2021-05-18,2021-05-22,ND,ND
21537,2021 Plumas Arboga,2021 Plumas Arboga P1,P1,Unknown,Unknown,inf,2021-05-15,2021-05-27,ND,ND,ND,ND
24119,2021 Rancho Jamul,2021 Rancho Jamul P1,P1,Asynchronous,Successful,ND,ND,ND,ND,ND,ND,ND
24651,2021 Erle Road-Reeds Creek North,2021 Reeds Creek North P1,P1,Unknown,Abandoned,inf,ND,ND,ND,ND,2021-05-14,ND
24653,2021 Erle Road-Reeds Creek South,2021 Reeds Creek South P1,P1,Unknown,Unknown,inf,2021-05-06,2021-05-18,ND,ND,ND,ND
24231,2021 Rodeo Grounds,2021 Rodeo Grounds 1 P1,P1,Simple,Successful,inf,2021-04-20,2021-05-02,2021-05-11,2021-05-24,ND,ND
24549,2021 Rush Ranch,2021 Rush Ranch,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
11100,2021 Sedgwick Reserve Pond,2021 Sedgwick P1,P1,Unknown,Unknown,2021-04-04,2021-04-16,2021-04-28,ND,ND,ND,ND
25171,2021 San Jacinto Wildlife Area - Bridge Street Pond,2021 SJWA P1,P1,Unknown,Abandoned,inf,2021-06-03,2021-06-15,ND,ND,2021-06-23,ND
24107,2021 Willey Wetlands 1,2021 Willey Wetlands 1 P1,P1,Simple,Successful,inf,2021-06-08,2021-06-20,ND,ND,ND,ND
24261,2021 Willey Wetlands 2,2021 Willey Wetlands 2 P1,P1,Simple,Successful,inf,~2021-05-31,~2021-06-12,2021-06-28,2021-07-06,ND,ND
24263,2021 Willey Wetlands 3,2021 Willey Wetlands 3 P1,P1,Simple,Successful,inf,inf,inf,2021-06-24,2021-07-09,ND,ND
24790,2021 Wind Wolves Preserve,2021 Wind Wolves Preserve P1,P1,Simple,Successful,2021-04-21,2021-05-02,2021-05-14,2021-05-28,2021-06-07,ND,ND
34485,2022 Baja Ciénega Redonda North,2022 Baja 1 P1,P1,Asynchronous,Successful,inf,~2022-03-31,~2022-04-12,2022-04-29,2022-05-18,ND,ND
53136,2022 Baja Ciénega Redonda North 2,2022 Baja 2 P1,P1,Asynchronous,Successful,inf,~2022-04-01,~2022-04-13,2022-04-30,2022-05-18,ND,ND
34044,2022 Colusa NWR T27-1&2,2022 Colusa NWR T27.1,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
34079,2022 Colusa NWR T27-2S,2022 Colusa NWR T27.2 P1,P1,Simple,Successful,missed,2022-05-19,2022-05-31,2022-06-13,2022-06-20,ND,ND
34115,2022 Conaway Ranch Reservoir,2022 Conaway East P1,P1,Simple,Partially Abandoned,inf,2022-05-11,2022-05-23,~2022-06-07,2022-06-17,ND,2022-05-20
34111,2022 Conaway New Easement Pond West,2022 Conaway New Easement Pond West,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
34113,2022 Conaway North A,2022 Conaway North A P1,P1,Simple,Successful,inf,2022-05-10,2022-05-22,2022-06-01,2022-06-16,ND,ND
34112,2022 Conaway North,2022 Conaway North P1,P1,Simple,Successful,inf,2022-05-09,2022-05-21,2022-05-31,2022-06-19,ND,ND
34078,2022 Denverton Creek,2022 Creed Road P1,P1,Simple,Successful,2022-03-13,2022-04-03,2022-04-15,2022-04-28,2022-05-20,ND,ND
34118,2022 Virginia at Ostrom A,2022 Foley Ranch A,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
34119,2022 Virginia at Ostrom B,2022 Foley Ranch B P1,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
33966,2022 Hay Landfill,2022 Hay Landfill P1,P1,Sequential,Partially Abandoned,2022-02-24,~2022-03-29,~2022-04-10,2022-04-27,2022-05-15,ND,2022-04-08
33966,2022 Hay Landfill,2022 Hay Landfill P2,P2,Sequential,Successful,2022-05-04,2022-05-07,2022-05-19,2022-06-01,2022-06-27,ND,ND
34077,2022 Laguna Seca,2022 Laguna Seca P1,P1,Sequential,Successful,inf,2022-04-03,2022-04-15,ND,ND,ND,ND
34077,2022 Laguna Seca,2022 Laguna Seca P2,P2,Sequential,Successful,2022-05-03,2022-05-13,2022-05-25,ND,ND,ND,ND
34117,2022 Los Vaqueros Playa,2022 Los Vaqueros Reservoir P1,P1,Unknown,Successful,,,,,,ND,ND
34117,2022 Los Vaqueros Playa,2022 Los Vaqueros Reservoir P2,P2,,,inf,2022-04-07,2022-04-19,2022-05-01,2022-05-24,ND,ND
34076,2022 Marsh Creek Reservoir,2022 Marsh Creek Reservoir,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
34075,2022 Newberry Springs - Lake Wainani,2022 Newberry Springs - Lake Wainani,,Unknown,Successful,inf,inf,inf,ND,ND,ND,ND
34090,2022 Santa Lucia Preserve - Ohlone Pond,2022 Ohlone - Santa Lucia Preserve P1,P1,Asynchronous,Successful,2022-04-05,~2022-04-20,~2022-05-02,2022-05-12,2022-06-20,ND,ND
33851,2022 Oregon State - Warm Springs Dizney Lane,2022 OR1,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
34073,2022 Oregon State - Prineville Woodward Rd,2022 OR2 P1,P1,Simple,Successful,missed,2022-05-05,2022-05-18(E),2022-05-30,ND,ND,ND
34072,2022 Paicines Ranch - Teal Pond B,2022 Paicines Ranch - Teal Pond B P1,P1,Simple,Successful,inf,2022-04-13,2022-04-25,2022-05-09,2022-06-02,ND,ND
34071,2022 Paicines Ranch - Teal Pond,2022 Paicines Ranch - Teal Pond P1,P1,Simple,Successful,inf,2022-04-10,2022-04-22,2022-05-06,2022-05-27,ND,ND
52597,2022 Panoche Creek Preserve Location 3,2022 Panoche Creek Preserve Loc3 P1,P1,Simple,Successful,inf,2022-04-08,2022-04-20,2022-05-03,2022-05-18,ND,ND
52598,2022 Panoche Creek Marsh East 1,2022 Panoche Creek Preserve Loc4,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
34130,2022 Panoche Creek Marsh East 2,2022 Panoche Creek Preserve Loc5 P1,P1,Simple,Successful,inf,2022-04-08,2022-04-20,2022-05-01,2022-05-16,ND,ND
34012,2022 Plumas Arboga 6 East,2022 Plumas Arboga East P1,P1,Complex,Successful,inf,inf,inf,2022-05-12,2022-06-01,ND,ND
34012,2022 Plumas Arboga 6 East,2022 Plumas Arboga East P2,P2,Complex,Successful,ND,2022-05-10,2022-05-22,2022-06-04,ND,ND,ND
34013,2022 Plumas Arboga 6 West,2022 Plumas Arboga West P1,P1,Simple,Successful,inf,2022-05-12,2022-05-24,2022-06-08,ND,ND,ND
34131,2022 Private Site 1 - approximate lat lon,2022 Private Site 1 - not real lat lon P1,P1,Asynchronous,Successful,inf,~2022-04-16,~2022-04-28,2022-05-08,2022-05-28,ND,ND
34133,2022 Private Site 2 - approximate lat lon,2022 Private Site 2 - not real lat lon P1,P1,Asynchronous,Successful,inf,inf,inf,2022-04-25,ND,ND,ND
34132,2022 Private Site 3 - approximate lat lon,2022 Private Site 3 - not real lat lon P1,P1,Asynchronous,Successful,inf,inf,inf,2022-05-09,2022-05-26,ND,ND
34045,2022 Rancho Jamul,2022 Rancho Jamul P1,P1,Asynchronous,Successful,2022-03-20,2022-04-02,2022-04-14,2022-04-27,ND,ND,ND
33985,2022 Sedgwick Reserve Pond,2022 Sedgwick P1,P1,Sequential,Successful,inf,2022-03-29,2022-04-10,2022-04-26,2022-05-07,ND,ND
33985,2022 Sedgwick Reserve Pond,2022 Sedgwick P2,P2,Sequential,Successful,2022-05-01,2022-05-09,2022-05-21,2022-06-03,2022-06-12,ND,ND
34046,2022 San Jacinto Wildlife Area - Bridge Street Pond,2022 SJWA P1,P1,Asynchronous,Successful,inf,~2022-05-15,~2022-05-27,~2022-06-11,ND,ND,ND
33984,2022 Washington State - Harder Spring,2022 WA Harder Spring P1,P1,Additions,Successful,2022-04-27,~2022-05-05,~2022-05-17,2022-05-30,2022-06-12,ND,ND
33984,2022 Washington State - Harder Spring,2022 WA Harder Spring P2,P2,Additions,Successful,2022-05-18,2022-05-26,2022-06-07,2022-06-15,2022-06-22,ND,ND
33845,2022 Washington State - McCain Wetands,2022 WA1 P1,P1,Unknown,Successful,inf,inf,inf,inf,2022-06-01,ND,ND
34088,2022 Wind Wolves Preserve - Pleitito Creek,2022 Wind Wolves Preserve Pleitito Creek,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
34087,2022 Wind Wolves Preserve - Santiago Wetlands,2022 Wind Wolves Preserve Santiago Wetlands P1,P1,Asynchronous,Successful,2022-03-07,~2022-04-09,~2022-04-21,2022-05-03,2022-06-03,ND,ND
48395,2023 Baja Ciénega Redonda North,2023 Baja Rancho Cinega P1,P1,Unknown,Successful,inf,missed,missed,~2023-04-28,~2023-07-28,ND,ND
48438,2023 San Jacinto Wildlife Area - Bridge St. Pond,2023 Bridge St Pond,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
48455,2023 Colusa NWR T27-1&2,2023 Colusa NWR T27.1 P1,P1,Simple,Partially Abandoned,2023-06-26,2023-07-04,2023-07-16,2023-07-27,2023-07-30,ND,2023-07-24
58629,2023 Colusa NWR T27-2S,2023 Colusa NWR T27.2 P1,P1,Simple,Successful,inf,2023-06-08,2023-06-20,2023-06-29,2023-07-20,ND,ND
48473,2023 Conaway Ranch Headquarters,2023 Conaway Ranch - HQ P1,P1,Simple,Successful,2023-05-26,2023-06-01,2023-06-13,2023-06-23,2023-06-30,ND,ND
48474,2023 Conaway Ranch NE,2023 Conaway Ranch NE P1,P1,Simple,Successful,inf,2023-05-30,2023-06-11,2023-06-25,2023-06-30,ND,ND
48477,2023 Conaway Ranch North 1,2023 Conaway Ranch North 1 P1,P1,Simple,Successful,inf,2023-06-06,2023-06-18,2023-06-27,ND,ND,ND
48476,2023 Conaway Ranch North 2,2023 Conaway Ranch North 2 P1,P1,Simple,Successful,inf,2023-06-16,2023-06-28,2023-07-07,2023-07-23,ND,ND
48462,2023 Denverton Creek,2023 Creed Rd P1,P1,Simple,Abandoned,2023-04-26,2023-05-09,2023-05-21(E),ND,ND,2023-05-10,ND
48454,2023 Delevan NWR T43-1,2023 Delevan NWR T43.1,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
48877,2023 Delevan NWR T43-2,2023 Delevan NWR T43.2,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
48472,2023 Delevan NWR T6,2023 Delevan T6,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
48463,2023 Hale Road,2023 Hale Road P1,P1,Sequential,Successful,2023-05-20,2023-05-25,2023-06-06,2023-06-20,2023-07-06,ND,ND
48463,2023 Hale Road,2023 Hale Road P2,P2,Sequential,Unknown,2023-06-26,2023-07-04,ND,ND,ND,ND,ND
48468,2023 Hale Road Site 2,2023 Hale Road Site 2 P1,P1,Simple,Successful,2023-05-20,2023-05-25,2023-06-06,2023-06-19,2023-07-05,ND,ND
48457,2023 Iron Point,2023 Iron Point P1,P1,Simple,Partially Abandoned,inf,inf,inf,ND,ND,ND,2023-05-13
48434,2023 Kentucky Lateral,2023 Kentucky Lateral P1,P1,Asynchronous,Successful,inf,2023-04-14,2023-04-26,2023-05-12,ND,ND,ND
48467,2023 Kern - Canebreak Ecological Reserve 4,2023 Kern - Canebreak Ecological Reserve 4,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
48470,2023 Kern - Headquarters 2,2023 Kern - HQ2 P1,P1,Sequential,Successful,2023-05-20,2023-05-27,2023-06-08,2023-06-20,2023-07-03,ND,ND
48470,2023 Kern - Headquarters 2,2023 Kern - HQ2 P2,P2,Sequential,Successful,2023-06-23,2023-06-23,2023-07-05,2023-07-19,2023-08-07,ND,ND
48459,2023 45 Sump,2023 Laguna Fry Confluence - 45 Sump P1,P1,Simple,Successful,inf,2023-04-29,2023-05-11,2023-05-21,2023-05-30,ND,ND
48465,2023 Laguna Frye Confluence 3,2023 Laguna Fry Confluence - Site 1 P1,P1,Simple,Successful,inf,2023-05-05,2023-05-17,2023-05-26,2023-06-01,ND,ND
48428,2023 Los Vaqueros - Walnut Trail Marsh,2023 Los Vaqueros - Walnut Trail Marsh P1,P1,Simple,Abandoned,inf,2023-04-14,2023-04-26,ND,ND,2023-04-30,ND
48444,2023 Los Vaqueros Playa,2023 Los Vaqueros Reservoir P1,P1,Complex,Successful,inf,2023-04-16,2023-04-28,2023-05-06,2023-06-14,ND,ND
48444,2023 Los Vaqueros Playa,2023 Los Vaqueros Reservoir P2,P2,Complex,Successful,2023-05-31,2023-06-03,2023-06-15,2023-06-26,2023-07-17,ND,ND
48436,2023 Markham Ravine,2023 Markham Ravine P1,P1,Simple,Partially Abandoned,inf,2023-05-19,2023-05-31,2023-06-16,2023-06-30,ND,2023-05-23
48446,2023 Merced NWR - Cottonwood Trail,2023 Merced NWR - Cottonwood P1,P1,Sequential,Successful,inf,inf,inf,inf,2023-05-30,ND,ND
48446,2023 Merced NWR - Cottonwood Trail,2023 Merced NWR - Cottonwood P2,P2,Sequential,Partially Abandoned,inf,~2023-05-15,~2023-05-27,~2023-06-04,ND,ND,2023-06-02
48490,2023 Merced NWR - Deadman Wetland Ditch,2023 Merced NWR Deadman Wetland Ditch P1,P1,Simple,Abandoned,inf,2023-05-19,2023-05-31,ND,ND,2023-06-04,ND
48448,2023 North Regional Pond,2023 North Regional Pond P1,P1,Simple,Successful,~2023-04-07,~2023-04-21,~2023-05-03,2023-05-15,2023-05-30,ND,ND
48397,2023 Oregon State - Warm Springs Dizney Lane,2023 OR Dizney Rd P1,P1,Simple,Partially Abandoned,inf,~2023-05-05,~2023-05-17,~2023-06-03,~2023-06-09,ND,2023-05-25
48392,2023 Oregon State - Metolius Eureka Lane,2023 OR Eureka Rd P1,P1,Simple,Successful,missed,~2023-05-05,~2023-05-17,2023-05-29,2023-06-21,ND,ND
48445,2023 Oregon State - Prineville Grimes Rd,2023 OR Prineville North P1,P1,Sequential,Successful,inf,2023-05-03,2023-05-15,2023-05-27,2023-06-13,ND,ND
48445,2023 Oregon State - Prineville Grimes Rd,2023 OR Prineville North P2,P2,Sequential,Successful,2023-06-04,~2023-06-07,~2023-06-19,2023-07-06,2023-07-12,ND,ND
48796,2023 Panoche Creek Preserve - Corrals North West,2023 Panoche Creek Preserve - Corrals NW P1,P1,Simple,Successful,inf,inf,inf,2023-05-08,2023-05-14,ND,ND
48797,2023 Panoche Creek Preserve - Corrals Southeast,2023 Panoche Creek Preserve - Corrals SE P1,P1,Simple,Successful,inf,inf,inf,2023-05-07,2023-05-17,ND,ND
48440,2023 Petersen Ranch Pond - East,2023 Peterson Ranch Pond - East,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
48461,2023 Petersen Ranch Pond - West,2023 Peterson Ranch Pond - West,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
48475,2023 Plumas Arboga 2,2023 Plumas Arboga 2 P1,P1,Simple,Successful,inf,2023-05-26,2023-06-07,2023-06-17,2023-07-01,ND,ND
48437,2023 Plumas Arboga 8,2023 Plumas Arboga 8 - North Regional Pond P1,P1,Sequential,Partially Abandoned,inf,~2023-04-22,~2023-05-04,2023-05-15,2023-05-24,ND,2023-05-06
48437,2023 Plumas Arboga 8,2023 Plumas Arboga 8 - North Regional Pond P2,P2,Sequential,Successful,2023-05-27,2023-06-03,2023-06-15,~2023-06-30,ND,ND,ND
48764,2023 Rancho Jamul - North Pond,2023 Rancho Jamul North Pond - fix lat lon P1,P1,Simple,Successful,2023-04-21,~2023-05-02,2023-05-14,2023-05-22,~2023-05-02,ND,ND
48765,2023 Rancho Jamul - Site 1,2023 Rancho Jamul Site 1 fix lat lon P1,P1,Sequential,Successful,2023-03-29,~2023-04-11,~2023-04-23,ND,ND,ND,ND
48765,2023 Rancho Jamul - Site 1,2023 Rancho Jamul Site 1 fix lat lon P2,P2,Sequential,Successful,2023-05-26,~2023-06-04,~2023-06-16,ND,ND,ND,ND
48447,2023 San Luis NWR - Tanager Slough,2023 San Luis Bear Creek P1,P1,Simple,Partially Abandoned,inf,2023-06-23,2023-07-05,2023-07-15,2023-07-18,ND,2023-06-20
48464,2023 San Luis NWR - Fiddleneck Lake,2023 San Luis NWR - West Bank Creek P1,P1,Simple,Partially Abandoned,inf,2023-06-02,2023-06-14,ND,ND,ND,2023-06-05
48466,2023 Sedgwick Reserve Pond,2023 Sedgwick P1,P1,Asynchronous,Successful,inf,~2023-04-03,~2023-04-15,2023-04-29,2023-05-18,ND,ND
48478,2023 South Virginia Road 3,2023 South Virginia Road 3,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
48456,2023 Virginia at Ostrom,2023 Virginia at Ostrom,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
48398,2023 Washington State - Harder Spring,2023 WA Harder Spring P1,P1,Sequential,Successful,missed,missed,missed,2023-06-16,2023-06-25,ND,ND
48398,2023 Washington State - Harder Spring,2023 WA Harder Spring P2,P2,Sequential,Successful,missed,missed,missed,2023-07-27,~2023-08-03,ND,ND
48393,2023 Washington State - McCain Wetlands,2023 WA McCain Wetlands P1,P1,Simple,Partially Abandoned,missed,~2023-04-28,~2023-05-10,~2023-05-24,2023-05-28(C),ND,2023-05-21
48747,2023 Laguna Frye Confluence 1,2023 Weagell Property 1 P1,P1,Complex,Successful,inf,2023-05-12,2023-05-03,continuous,continuous,ND,ND
48747,2023 Laguna Frye Confluence 1,2023 Weagell Property 1 P2,P2,Complex,Successful,2023-05-02,2023-05-12,2023-05-24,continuous,ND,ND,ND
48747,2023 Laguna Frye Confluence 1,2023 Weagell Property 1 P3,P3,Complex,Successful,~2023-05-16,~2023-05-27,~2023-06-08,ND,ND,ND,ND
48458,2023 Laguna Frye Confluence 2,2023 Weagell Property 2 P1,P1,Sequential,Successful,inf,~2023-05-05,~2023-05-17,2023-05-25,2023-06-07,ND,ND
48458,2023 Laguna Frye Confluence 2,2023 Weagell Property 2 P2,P2,Sequential,Unknown,2023-06-02,2023-06-09,ND,ND,ND,ND,ND
48439,2023 San Jacinto Wildlife Area West of Davis Road,2023 West of Davis P1,P1,Sequential,Successful,inf,inf,inf,inf,~2023-05-11,ND,ND
48439,2023 San Jacinto Wildlife Area West of Davis Road,2023 West of Davis P2,P2,Sequential,Successful,inf,~2023-05-08,~2023-05-20,2023-06-02,2023-06-06,ND,ND
48471,2023 Wind Wolves Preserve - Los Lobos,2023 Wind Wolves Preserve site 1 P1,P1,Asynchronous,Successful,missed,~2023-04-21,~2023-05-03,2023-05-17,2023-06-01,ND,ND
