id,site,old_site,pulse,breeding_type,outcome,settlement_start,incubation_onset,brooding_onset,fledging_onset,fledgling_dispersal,abandon_date,partial_abandon_date
2059,2017 Rush Ranch,2017 Rush Ranch P1,P1,Sequential,Abandoned,~2017-03-07,~2017-04-17,~2017-04-29,ND,ND,2017-05-03,ND
2059,2017 Rush Ranch,2017 Rush Ranch P2,P2,Sequential,Successful,2017-05-08,2017-05-18,2017-05-30,2017-06-12,2017-06-22,ND,ND
2059,2017 Rush Ranch,2017 Rush Ranch P3,P3,Sequential,Successful,2017-06-02,2017-06-17,2017-06-29,ND,ND,ND,ND
3150,2018 Iron Point,2018 Iron Point,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
3348,2018 Markham Ravine,2018 Markham Ravine Main,,Unknown,Successful,ND,ND,ND,ND,ND,ND,ND
3366,2018 Markham Ravine - West,2018 Markham Ravine westside P1,P1,Unknown,Successful,inf,inf,ND,ND,ND,ND,ND
3281,2018 Yankee Slough Ranch Preserve,2018 Red Wing Ranch P1,P1,Unknown,Abandoned,inf,2018-05-05,2018-05-17,ND,ND,2018-05-22,ND
2719,2018 Rush Ranch,2018 Rush Ranch P1,P1,Simple,Successful,missed,2018-05-14,2018-05-26,2018-06-11,2018-06-23,ND,ND
82621,2018 SJWA Little Ramona,2018 SJWA WSS P1,P1,Unknown,Abandoned,2018-04-10,~2018-04-15,~2018-04-27,ND,ND,2018-04-22,ND
3417,2018 San Jacinto Wildlife Area - Little Ramona,2018 SJWA-rose-1,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
3682,2018 San Jacinto Wildlife Area - Bridge St. Pond,2018 SJWA-rose-2 P1,P1,Unknown,Abandoned,inf,2018-04-19,ND,ND,ND,2018-04-22,ND
5642,2019 Colusa NWR T27-1N,2019 Colusa NWR 27-1 P1,P1,Simple,Successful,inf,~2019-06-02(C),~2019-06-14(C),2019-06-27,~2019-07-07,ND,ND
5642,2019 Colusa NWR T27-1N,2019 Colusa NWR 27-1 P2,P2,,,,,,,,,
5643,2019 Colusa NWR T27-2S,2019 Colusa NWR 27-2 P1,P1,Simple,Partially Abandoned,inf,2019-05-17,2019-05-29,ND,ND,ND,2019-05-26
4455,2019 Denverton Creek,2019 Creed Road P1,P1,Sequential,Successful,2019-03-23,2019-04-28,2019-05-10,2019-05-23,2019-05-31,ND,ND
4455,2019 Denverton Creek,2019 Creed Road P2,P2,Sequential,Abandoned,2019-05-13,2019-05-23,2019-06-04(E),ND,ND,2019-05-31,ND
4456,2019 Hay Landfill,2019 Hay Landfill P1,P1,Sequential,Successful,inf,2019-04-16,2019-04-28,2019-05-11,2019-05-30,ND,ND
4456,2019 Hay Landfill,2019 Hay Landfill P2,P2,Sequential,Partially Abandoned,2019-05-20,2019-05-28,2019-06-09,2019-06-23,2019-07-03,ND,2019-06-13
4979,2019 Iron Point,2019 Iron Point P1,P1,Complex,Successful,inf,~2019-04-18,~2019-04-30,2019-05-14,continuous,ND,ND
4979,2019 Iron Point,2019 Iron Point P2,P2,Complex,Successful,2019-04-29,2019-05-16,2019-05-28,continuous,continuous,ND,ND
4979,2019 Iron Point,2019 Iron Point P3,P3,Complex,Successful,2019-05-27,2019-05-29,2019-06-10,continuous,2019-07-07,ND,ND
4639,2019 Leisure Town Road,2019 Leisure Town P1,P1,Sequential,Successful,inf,missed,missed,missed,ND,ND,ND
4639,2019 Leisure Town Road,2019 Leisure Town P2,P2,Sequential,Successful,2019-05-19,2019-05-23,2019-06-04,~2019-06-17,~2019-07-05,ND,ND
5640,2019 Markham Ravine 2,2019 Markham Ravine 2 P1,P1,Simple,Partially Abandoned,inf,2019-05-16,2019-05-28,ND,ND,ND,2019-05-24
5637,2019 Markham Ravine,2019 Markham Ravine P1,P1,Simple,Partially Abandoned,inf,2019-05-15,2019-05-27,2019-06-16,2019-06-20,ND,2019-05-28
82630,2019 Riosa Redwing Ranch,2019 Red Wing Ranch,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
5638,2019 Rush Ranch,2019 Rush Ranch P1,P1,Unknown,Abandoned,2019-05-02,2019-05-09,2019-05-21(E),ND,ND,2019-05-22,ND
7657,2020 Conaway Ranch,2020 Conaway Ranch P1,P1,Asynchronous,Successful,inf,~2020-05-23,~2020-06-04,2020-06-18,ND,ND,ND
2908,2020 Denverton Creek,2020 Creed Road,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
57589,2020 Fort Ord,2020 Fort Ord P1,P1,Asynchronous,Successful,inf,2020-04-12,2020-04-24,2020-05-09,2020-05-28,ND,ND
6199,2020 Hay Landfill,2020 Hay Landfill P1,P1,Complex,Successful,2020-03-16,2020-04-15,2020-04-27,2020-05-11,continuous,ND,ND
