site,settlement_start,settlement_end,incubation_onset,brooding_onset,fledging_onset,fledgling_dispersal
2017 Rush Ranch P1,2017-04-10,2017-04-12,2017-04-19(C),2017-05-01,ND,ND
2017 Rush Ranch P2,2017-05-08,2017-05-15,2017-05-18(C),2017-05-30,2017-06-12,2017-06-22(C)
2017 Rush Ranch P3,2017-06-02,2017-06-15,2017-06-17(C),2017-06-29,ND,ND
2018 Iron Point,ND,ND,ND,ND,ND,ND
2018 Markham Ravine Main,ND,ND,ND,ND,ND,ND
2018 Markham Ravine westside P1,inf,inf,inf,inf,2018-07-06,2018-07-07(C)
2018 Red Wing Ranch P1,inf,inf,2018-05-05(C),2018-05-17,ND,ND
2018 Rush Ranch P1,2018-05-07,2018-05-07,2018-05-14(C),2018-05-26,2018-06-11,2018-06-24(C)
2018 SJWA WSS P1,2018-04-10,2018-04-19,2018-04-16(C),2018-04-28(E),ND,ND
2018 SJWA-rose-1,ND,ND,ND,ND,ND,ND
2018 SJWA-rose-2 P1,inf,2018-04-20,2018-04-19(C),ND,ND,ND
2019 Colusa NWR 27-1 P1,inf,2019-05-29,missed,missed,2019-06-27,2019-07-21(C)
2019 Colusa NWR 27-2 P1,inf,inf,2019-05-17(C),2019-05-29,ND,ND
2019 Creed Road P1,2019-03-23,2019-04-28,2019-04-28(C),2019-05-10,2019-05-23,2019-05-31(C)
2019 Creed Road P2,2019-05-13,2019-05-21,2019-05-23(C),2019-06-04(E),ND,ND
2019 Hay Landfill P1,inf,2019-04-15,2019-04-16(C),2019-04-28,2019-05-11,2019-05-30(C)
2019 Hay Landfill P2,2019-05-20,2019-05-28,2019-05-28(C),2019-06-09,2019-06-23,2019-07-03(C)
2019 Iron Point P1,inf,inf,2019-04-21(C),2019-05-03,2019-05-14,Continuous
2019 Iron Point P2,2019-04-29,2019-05-14,2019-05-16(C),2019-05-28,Continuous,Continuous
2019 Iron Point P3,2019-05-27,2019-05-28,2019-05-29(C),2019-06-10,Continuous,2019-07-07(C)
2019 Leisure Town P1,2019-05-19,2019-05-29,missed,missed,2019-06-21,2019-06-22(C)
2019 Markham Ravine P1,inf,2019-05-13,2019-05-15(C),2019-05-27,2019-06-16,2019-06-20(C)
2019 Markham Ravine 2 P1,inf,2019-05-17,2019-05-16(C),2019-05-28,ND,ND
2019 Red Wing Ranch,ND,ND,ND,ND,ND,ND
2019 Rush Ranch P1,2019-05-02,2019-05-07,2019-05-09(C),2019-05-21(E),ND,ND
2020 Conaway Ranch P1,inf,2020-06-02,2020-05-25(C),2020-06-06,2020-06-18,ND
2020 Creed Road,ND,ND,ND,ND,ND,ND
2020 Fort Ord P1,inf,2020-04-23,2020-04-12(C),2020-04-24,2020-05-09,2020-05-28(C)
2020 Hay Landfill P1,2020-03-16,2020-04-15,2020-04-15(C),2020-04-27,2020-05-11,Continuous
2020 Hay Landfill P2,2020-05-12,2020-05-24,2020-05-27(C),2020-06-08,Continuous,2020-07-10(C)
2020 Iron Point,ND,ND,ND,ND,ND,ND
2020 Markham Ravine P1,inf,2020-05-03,2020-05-07(C),2020-05-19,2020-05-30,2020-06-08(C)
2020 Ohlone - Santa Lucia Preserve P1,missed,missed,2020-04-22(C),2020-05-04,2020-05-12,2020-06-15(C)
2020 Rush Ranch,ND,ND,ND,ND,ND,ND
2021 Colusa NWR 27-1 P1,2021-05-11,2021-05-23,2021-05-25(C),2021-06-06,2021-06-14,2021-06-16(C)
2021 Colusa NWR 27-2 P1,missed,missed,2021-06-07(C),2021-06-19,ND,ND
2021 Conaway East P1,inf,2021-05-28,2021-05-30(C),2021-06-11,2021-06-20,ND
2021 Conaway South P1,inf,2021-05-29,2021-05-29(C),2021-06-10,2021-06-23,2021-07-01(C)
2021 Conaway West P1,inf,2021-05-21,2021-05-21(C),2021-06-02,2021-06-13,ND
2021 Creed Road,ND,ND,ND,ND,ND,ND
2021 Dagnino Pond,ND,ND,ND,ND,ND,ND
2021 Foley Ranch P1,inf,inf,2021-04-30(C),2021-05-12,2021-05-24,ND
2021 Foley Ranch P2,2021-05-23,2021-05-29,2021-06-01(C),2021-06-13,ND,ND
2021 Hale Road 2 P1,inf,inf,2021-05-02(C),2021-05-14,2021-05-28,2021-06-04(C)
2021 Hay Landfill P1,2021-02-16,2021-04-19,2021-04-13(C),2021-04-25,ND,ND
2021 Iron Point P1,2021-04-02,2021-04-19,2021-04-22(C),2021-05-04(E),ND,ND
2021 Kern 1 P1,missed,missed,2021-05-20(C),2021-06-01,ND,ND
2021 Kern 2,ND,ND,ND,ND,ND,ND
2021 Kern 3,ND,ND,ND,ND,ND,ND
2021 Kern 4 P1,missed,missed,2021-05-12(C),2021-05-24,ND,ND
2021 Kern 5 P1,inf,inf,2021-04-17(C),2021-04-29,2021-05-07,Continuous
2021 Kern 5 P2,inf,2021-05-22,2021-05-11(C),2021-05-23,Continuous,2021-06-17(C)
2021 Kern 6,ND,ND,ND,ND,ND,ND
2021 Kern 7 P1,inf,inf,2021-05-19(C),2021-05-31,ND,ND
2021 Markham Ravine,ND,ND,ND,ND,ND,ND
2021 Orchard Creek P1,inf,inf,2021-04-19(C),2021-05-01,2021-05-15,2021-05-31(C)
2021 Orchard Creek P2,inf,2021-05-16,2021-05-13(C),2021-05-25,2021-06-03,2021-06-17(C)
2021 Panoche Creek Preserve 1W P1,2021-04-05,2021-04-20,2021-04-22(C),2021-05-04,ND,ND
2021 Panoche Creek Preserve 2E P1,inf,2021-04-20,2021-04-20(C),2021-05-02,2021-05-18,2021-05-22(C)
2021 Plumas Arboga P1,inf,2021-05-15,2021-05-15(C),2021-05-27,ND,ND
2021 Rancho Jamul,ND,ND,ND,ND,ND,ND
2021 Reeds Creek North P1,inf,inf,inf,ND,ND,ND
2021 Reeds Creek South P1,inf,2021-05-04,2021-05-06(C),2021-05-18,ND,ND
2021 Rodeo Grounds 1 P1,inf,2021-04-23,2021-04-20(C),2021-05-02,2021-05-11,2021-05-24(C)
2021 Rush Ranch,ND,ND,ND,ND,ND,ND
2021 SJWA P1,inf,2021-06-05,2021-06-03(C),2021-06-15,ND,ND
2021 Sedgwick P1,2021-04-04,2021-04-17,2021-04-16(C),2021-04-28,ND,ND
2021 Willey Wetlands 1 P1,inf,inf,2021-06-08(C),2021-06-20,ND,ND
2021 Willey Wetlands 2 P1,inf,inf,2021-06-02(C),2021-06-14,2021-06-28,2021-07-06(C)
2021 Willey Wetlands 3 P1,inf,inf,inf,inf,2021-06-24,2021-07-09(C)
2021 Wind Wolves Preserve P1,2021-04-21,2021-05-03,2021-05-02(C),2021-05-14,2021-05-28,2021-06-07(C)
2022 Baja 1 P1,inf,2022-04-29,2022-04-02(C),2022-04-14,2022-04-29,2022-05-18(C)
2022 Baja 2 P1,inf,2022-05-02,2022-04-03(C),2022-04-15,2022-04-30,2022-05-18(C)
2022 Colusa NWR T27.1,ND,ND,ND,ND,ND,ND
2022 Colusa NWR T27.2 P1,missed,missed,2022-05-19(C),2022-05-31,2022-06-13,2022-06-20(C)
2022 Conaway East P1,inf,2022-05-11,2022-05-11(C),2022-05-23,2022-06-11,2022-06-17(C)
2022 Conaway New Easement Pond West,ND,ND,ND,ND,ND,ND
2022 Conaway North P1,inf,2022-05-12,2022-05-09(C),2022-05-21,2022-05-31(C),2022-06-19(C)
2022 Conaway North A P1,inf,2022-05-10,2022-05-10(C),2022-05-22,2022-06-01,2022-06-16(C)
2022 Creed Road P1,2022-03-13,2022-04-04,2022-04-03(C),2022-04-15,2022-04-28,2022-05-20(C)
2022 Foley Ranch A,ND,ND,ND,ND,ND,ND
2022 Foley Ranch B P1,ND,ND,ND,ND,2022-06-02,2022-06-07(C)
2022 Hay Landfill P1,2022-02-24,2022-04-01,2022-03-31(C),2022-04-12,2022-04-27,2022-05-15(C)
2022 Hay Landfill P2,2022-05-04,2022-05-14,2022-05-07(C),2022-05-19,2022-06-01,2022-06-27(C)
2022 Laguna Seca P1,inf,2022-04-09,2022-04-03(C),2022-04-15,ND,ND
2022 Laguna Seca P2,2022-05-03,2022-05-11,2022-05-13(C),2022-05-25,ND,ND
2022 Los Vaqueros Reservoir P1,inf,inf,2022-04-07(C),2022-04-19,2022-05-01,2022-05-24(C)
2022 Marsh Creek Reservoir,ND,ND,ND,ND,ND,ND
2022 Newberry Springs - Lake Wainani,ND,ND,ND,ND,ND,ND
2022 OR1,ND,ND,ND,ND,ND,ND
2022 OR2 P1,missed,missed,2022-05-05(E),2022-05-18(E),2022-05-30,ND
2022 Ohlone - Santa Lucia Preserve P1,2022-04-05,2022-04-21,2022-04-22(C),2022-05-04,2022-05-12,2022-06-20(C)
2022 Paicines Ranch - Teal Pond P1,inf,2022-04-14,2022-04-10(C),2022-04-22,2022-05-06,2022-05-27(C)
2022 Paicines Ranch - Teal Pond B P1,inf,inf,2022-04-13(C),2022-04-25,2022-05-09,2022-06-02(C)
2022 Panoche Creek Preserve Loc3 P1,inf,2022-04-15,2022-04-08(C),2022-04-20,2022-05-03,2022-05-18(C)
2022 Panoche Creek Preserve Loc4,ND,ND,ND,ND,ND,ND
2022 Panoche Creek Preserve Loc5 P1,inf,inf,2022-04-08(C),2022-04-20,2022-05-01,2022-05-16(C)
2022 Plumas Arboga East P1,inf,inf,inf,inf,2022-05-12,2022-06-01(C)
2022 Plumas Arboga East P2,inf,2022-05-31,2022-05-10(C),2022-05-22,2022-06-07,ND
2022 Plumas Arboga West P1,inf,inf,2022-05-12(C),2022-05-24,2022-05-31,ND
2022 Private Site 1 - not real lat lon P1,inf,inf,2022-04-18(C),2022-04-30,2022-05-08,2022-05-28(C)
2022 Private Site 2 - not real lat lon P1,inf,inf,inf,inf,2022-04-25,ND
2022 Private Site 3 - not real lat lon P1,inf,inf,inf,inf,2022-05-09,2022-05-26(C)
2022 Rancho Jamul P1,2022-03-20,2022-04-10,2022-04-02(C),2022-04-14,2022-04-27,ND
2022 SJWA P1,inf,2022-06-03,2022-05-17(C),2022-05-29,ND,ND
2022 Sedgwick P1,inf,2022-04-04,2022-03-29(C),2022-04-10,2022-04-26,2022-05-07(C)
2022 Sedgwick P2,2022-05-01,2022-05-07,2022-05-09(C),2022-05-21,2022-06-03,2022-06-12(C)
2022 WA Harder Spring P1,2022-05-10,2022-05-24,2022-05-11(C),2022-05-23,2022-05-30,2022-06-12(C)
2022 WA Harder Spring P2,Continuous,Continuous,2022-05-26(C),2022-06-07,2022-06-15,2022-06-22(C)
2022 WA1 P1,inf,inf,inf,inf,inf,2022-06-01(C)
2022 Wind Wolves Preserve Pleitito Creek,ND,ND,ND,ND,ND,ND
2022 Wind Wolves Preserve Santiago Wetlands P1,2022-04-07,2022-04-08,2022-04-11(C),2022-04-23,2022-05-02,2022-06-03(C)
2023 Baja Rancho Cinega P1,inf,2023-05-11,missed,missed,2023-05-24,2023-06-06(C)
2023 Baja Rancho Cinega P2,ND,ND,ND,2023-06-09(E),2023-06-21,2023-06-25(C)
2023 Bridge St Pond,ND,ND,ND,ND,ND,ND
2023 Colusa NWR T27.1 P1,2023-06-26,2023-07-04,2023-07-04(C),2023-07-16,2023-07-27,2023-07-30(C)
2023 Colusa NWR T27.2 P1,inf,2023-06-05,2023-06-08(C),2023-06-20,2023-06-29,2023-07-20(C)
2023 Conaway Ranch - HQ P1,2023-05-26,2023-05-31,2023-06-01(C),2023-06-13,2023-06-23,2023-06-30(C)
2023 Conaway Ranch NE P1,inf,2023-06-03,2023-05-30(C),2023-06-11,2023-06-25,2023-06-30(C)
2023 Conaway Ranch North 1 P1,inf,inf,2023-06-06(C),2023-06-18,2023-06-27,ND
2023 Conaway Ranch North 2 P1,inf,2023-06-18,2023-06-16(C),2023-06-28,2023-07-07,2023-07-23(C)
2023 Creed Rd P1,2023-04-26,2023-05-05,2023-05-09(C),2023-05-21(E),ND,ND
2023 Delevan NWR T43.1,ND,ND,ND,ND,ND,ND
2023 Delevan NWR T43.2,ND,ND,ND,ND,ND,ND
2023 Delevan T6,ND,ND,ND,ND,ND,ND
