site,settlement_start,settlement_end,incubation_onset,brooding_onset,fledging_onset,fledgling_dispersal
2023 Hale Road P1,2023-05-20,2023-05-25,2023-05-25(C),2023-06-06,2023-06-12,2023-07-06(C)
2023 Hale Road P2,2023-06-26,2023-06-30,2023-07-04(C),ND,ND,ND
2023 Hale Road Site 2 P1,2023-05-20,2023-05-24,2023-05-25(C),2023-06-06,2023-06-11,2023-07-05(C)
2023 Iron Point P1,inf,inf,inf,inf,ND,ND
2023 Kentucky Lateral P1,inf,inf,2023-04-14(C),2023-04-26,2023-05-12,ND
2023 Kern - Canebreak Ecological Reserve 4,ND,ND,ND,ND,ND,ND
2023 Kern - HQ2 P1,2023-05-20,2023-05-24,2023-05-27(C),2023-06-08,2023-06-20(C),2023-07-03(C)
2023 Kern - HQ2 P2,2023-06-23,2023-06-25,2023-06-23(C),2023-07-05,2023-07-19,2023-08-07(C)
2023 Laguna Fry Confluence - 45 Sump P1,inf,2023-04-30,2023-04-29(C),2023-05-11,2023-05-21,2023-05-30(C)
2023 Laguna Fry Confluence - Site 1 P1,inf,inf,2023-05-05(C),2023-05-17,2023-05-26,2023-06-01(C)
2023 Los Vaqueros - Walnut Trail Marsh P1,inf,2023-04-17,2023-04-14(C),2023-04-26,ND,ND
2023 Los Vaqueros Reservoir P1,inf,2023-04-28,2023-04-16(C),2023-04-28,2023-05-06,2023-06-14(C)
2023 Los Vaqueros Reservoir P2,2023-05-31,2023-06-05,2023-06-03(C),2023-06-15,2023-06-26,2023-07-17(C)
2023 Markham Ravine P1,inf,2023-05-16,2023-05-19(C),2023-05-31,2023-06-16,2023-06-30(C)
2023 Merced NWR - Cottonwood P1,inf,inf,inf,inf,inf,2023-05-30(C)
2023 Merced NWR - Cottonwood P2,inf,inf,2023-05-17(C),2023-05-29,ND,ND
2023 Merced NWR Deadman Wetland Ditch P1,inf,inf,2023-05-19(C),2023-05-31,ND,ND
2023 North Regional Pond P1,2023-04-23,2023-04-27,2023-04-23(C),2023-05-05,2023-05-15,ND
2023 North Regional Pond P2,ND,ND,ND,2023-05-06(E),2023-05-18,2023-06-03(C)
2023 OR Dizney Rd P1,inf,2023-05-06,2023-05-07(C),2023-05-19,ND,ND
2023 OR Eureka Rd P1,missed,missed,2023-05-07(C),2023-05-19,2023-05-29,2023-06-21(C)
2023 OR Prineville North P1,inf,2023-05-01,2023-05-03(C),2023-05-15,2023-05-27,2023-06-13(C)
2023 OR Prineville North P2,2023-06-04,2023-06-09,2023-06-09(C),2023-06-21,2023-07-06,2023-07-12(C)
2023 Panoche Creek Preserve - Corrals NW P1,inf,inf,inf,inf,2023-05-08,2023-05-14(C)
2023 Panoche Creek Preserve - Corrals SE P1,inf,inf,inf,inf,2023-05-07,2023-05-17(C)
2023 Peterson Ranch Pond - East,ND,ND,ND,ND,ND,ND
2023 Peterson Ranch Pond - West,ND,ND,ND,ND,ND,ND
2023 Plumas Arboga 2 P1,inf,2023-05-28,2023-05-26(C),2023-06-07,2023-06-17,2023-07-01(C)
2023 Plumas Arboga 8 - North Regional Pond P1,inf,2023-04-26,2023-04-24(C),2023-05-06,2023-05-15,2023-05-24(C)
2023 Plumas Arboga 8 - North Regional Pond P2,2023-05-27,2023-06-02,2023-06-03(C),2023-06-15,2023-06-22,ND
2023 Rancho Jamul North Pond - fix lat lon P1,2023-04-21,2023-04-30,2023-05-04(C),2023-05-16,2023-05-26,2023-05-27(C)
2023 Rancho Jamul Site 1 fix lat lon P1,2023-03-29,2023-04-19,2023-04-13(C),2023-04-25,ND,ND
2023 Rancho Jamul Site 1 fix lat lon P2,missed,missed,2023-06-15(E),2023-06-28(E),2023-07-10,2023-07-12(C)
2023 San Luis Bear Creek P1,inf,2023-06-20,2023-06-23(C),2023-07-05,2023-07-15,2023-07-18(C)
2023 San Luis NWR - West Bank Creek P1,inf,2023-05-29,2023-06-02(C),2023-06-14,ND,ND
2023 Sedgwick P1,inf,2023-04-19,2023-04-04(E),2023-04-17(E),2023-04-29,2023-05-18(C)
2023 South Virginia Road 3,ND,ND,ND,ND,ND,ND
2023 Virginia at Ostrom,ND,ND,ND,ND,ND,ND
2023 WA Harder Spring P1,ND,ND,ND,ND,2023-06-17,2023-06-26(C)
2023 WA Harder Spring P2,ND,ND,ND,ND,2023-07-27,2023-07-29(C)
2023 WA McCain Wetlands P1,missed,missed,2023-05-03(C),2023-05-15,2023-05-26,2023-05-28(C)
2023 Weagell Property 1 P1,inf,2023-04-27,2023-04-21(C),2023-05-03,2023-05-22,Continuous
2023 Weagell Property 1 P2,2023-05-02,2023-05-12,2023-05-12(C),2023-05-24,Continuous,2023-06-18(C)
2023 Weagell Property 1 P3,missed,missed,2023-06-06(C),2023-06-18(E),ND,ND
2023 Weagell Property 2 P1,inf,2023-05-05,2023-05-07(C),2023-05-19,2023-05-25,2023-06-07(C)
2023 Weagell Property 2 P2,2023-06-02,2023-06-03,2023-06-09(C),ND,ND,ND
2023 West of Davis P1,inf,2023-05-07,2023-05-10(C),2023-05-22,2023-06-02,2023-06-06(C)
2023 Wind Wolves Preserve Site 2 P1,inf,2023-04-20,2023-04-19(C),2023-05-01,2023-05-09(C),2023-06-12(C)
2023 Wind Wolves Preserve site 1 P1,missed,missed,2023-04-23(C),2023-05-05,2023-05-17,2023-06-01(C)
2024 Baja Lago Mesa Redonda P1,inf,inf,inf,inf,inf,Continuous
2024 Baja Lago Mesa Redonda P2,inf,2024-05-17,2024-05-10(C),2024-05-22,Continuous,2024-07-08(C)
2024 Baja Rancho Cinega Redonda 1 P1,inf,inf,inf,inf,2024-05-06,Continuous
2024 Baja Rancho Cinega Redonda 1 P2,inf,2024-05-12,2024-05-13(C),2024-05-25,Continuous,2024-06-22(C)
2024 Baja Rancho Cinega Redonda 2 P1,inf,inf,2024-04-17(C),2024-04-29,2024-05-10,2024-06-04(C)
2024 Baja Rancho Cinega Redonda 2 P2,2024-05-12,2024-05-23,2024-05-23(C),2024-06-04,2024-06-12(C),2024-06-30(C)
2024 Colusa NWR T27.1 P1,2024-05-25,2024-05-31,2024-06-01(C),2024-06-13,ND,ND
2024 Colusa NWR T27.2,ND,ND,ND,ND,ND,ND
2024 Dublin Ranch Preserve - Lin Livermore Conservation Area P1,inf,inf,2024-05-19(C),2024-05-31,2024-06-09(C),2024-06-24(C)
2024 Kern 1 - check lat lon,ND,ND,ND,ND,ND,ND
2024 Los Vaqueros Reservoir P1,inf,2024-04-23,2024-04-23(C),2024-05-05,ND,ND
2024 Los Vaqueros Reservoir P2,2024-05-17,2024-05-26,2024-05-28(C),2024-06-09,2024-06-20,ND
2024 Markham Ravine 1,ND,ND,ND,ND,ND,ND
2024 Markham Ravine 2,ND,ND,ND,ND,ND,ND
2024 Markham Ravine 3,ND,ND,ND,ND,ND,ND
2024 Merced NWR - Cottonwood Trail P1,inf,inf,inf,missed,2024-05-17,2024-06-07(C)
2024 Moore Lake - confirm lat lon,ND,ND,ND,ND,ND,ND
2024 Newberry Springs P1,inf,inf,inf,inf,inf,ND
2024 North Regional Pond,ND,ND,ND,ND,ND,ND
2024 OR Eureka Lane,ND,ND,ND,ND,ND,ND
2024 Ohlone - Santa Lucia Preserve P1,inf,2024-05-06,2024-04-20(C),2024-05-02,2024-05-18,2024-05-23(C)
2024 Ohlone - Santa Lucia Preserve P2,2024-05-04,2024-05-06,2024-05-12(C),2024-05-24,ND,ND
2024 Ohlone - Santa Lucia Preserve P3,missed,missed,2024-06-05(C),2024-06-17,ND,ND
2024 Panoche Creek Preserve - Dollar Marsh East P1,inf,2024-04-22,2024-04-17(C),2024-04-29,2024-05-09,2024-06-11(C)
2024 Panoche Creek Preserve - Dollar Marsh East P2,missed,missed,2024-05-29(C),2024-06-10,ND,ND
2024 Panoche Creek Preserve - Dollar Marsh South P1,inf,2024-04-20,2024-04-19(C),2024-05-01,2024-05-18,2024-06-03(C)
2024 Panoche Creek Preserve - Dollar Marsh West P1,inf,2024-04-20,2024-04-23(C),2024-05-05,2024-05-14,2024-05-27(C)
2024 Rancho Jamul - Main Pond 1 P1,inf,2024-04-09,2024-04-13(C),2024-04-25(E),2024-05-19,2024-05-23(C)
2024 Rancho Jamul - Main Pond 1 P2,2024-05-01,2024-05-13,2024-05-15(E),2024-05-28(E),2024-06-09,2024-07-23(C)
2024 Rancho Jamul - Main Pond 2 P1,inf,2024-04-09,2024-04-13(C),2024-04-25(E),ND,ND
2024 Rancho Jamul - Main Pond 2 P2,2024-04-27,2024-05-13,2024-05-14(C),2024-05-26,2024-06-09,ND
2024 Rancho Jamul - North Pond,ND,ND,ND,ND,ND,ND
2024 SJWA Thistle NW of Bridge Street Pond,ND,ND,ND,ND,ND,ND
2024 Sedgwick P1,inf,2024-04-29,2024-04-08(C),2024-04-20,2024-05-08,2024-06-10(C)
2024 WA Harder Spring P1,missed,missed,2024-05-26(C),2024-06-07,2024-06-25,2024-07-04(C)
2024 WA Harder Spring P2,missed,missed,2024-07-06(C),2024-07-18,2024-07-27,ND
2024 WA McCain Pond P1,missed,missed,2024-04-28(C),2024-05-10,2024-05-31,2024-06-01(C)
2024 Wind Wolves Preserve - Los Lobos P1,inf,inf,inf,inf,2024-05-11,2024-05-14(C)
2024 Wind Wolves Preserve - Los Lobos P2,inf,2024-05-11,2024-05-17(C),2024-05-29(E),2024-06-02,2024-06-14(C)
2024 Wind Wolves Preserve - Pleitito P1,ND,ND,ND,2024-04-16(E),2024-04-28,2024-05-31(C)
2024 Wind Wolves Preserve - Pleitito P2,missed,missed,2024-05-13(C),2024-05-25,2024-06-03,2024-06-17(C)
2024 Wind Wolves Preserve - Santiago P1,inf,inf,inf,inf,2024-05-03,2024-07-02(C)
2024 Wind Wolves Preserve - Tevis P1,inf,inf,2024-04-21(C),2024-05-03,2024-05-17,2024-06-08(C)
